player,predicted_prob,odds,expected_value
Andy Murray,0.9511162280894628,1.32,0.255473421078091
Ilya Ivashka,0.768343511004816,1.5,0.15251526650722402
Borna Coric,0.7164153149478961,1.58,0.13193619761767594
Bernabe Zapata Miralles,0.72970476536788,1.56,0.1383394339738928
Grigor Dimitrov,0.8967737168638128,1.28,0.1478703575856804
Daniel  Evans,0.8397591492943702,1.39,0.16726521751917456
Matteo Berrettini,0.7634022354183437,1.51,0.15273737548169902
John Isner,0.8247464871516799,1.4,0.15464508201235172
Dominic Thiem,0.8242646316303851,2.4,0.9782351159129242
Alexei Popyrin,0.7164153149478961,1.58,0.13193619761767594
Casper Ruud,0.9300245380312976,1.2,0.11602944563755707
Francisco Cerundolo,0.936541686331278,1.43,0.3392546114537275
Jiri Vesely,0.8785142354069897,1.32,0.15963879073722648
Lorenzo Sonego,0.8835202631295053,1.3,0.1485763420683569
Tomas Martin Etcheverry,0.9098954926229036,1.63,0.4831296529753327
Adrian Mannarino,0.8269555177554854,1.41,0.1660072800352343
Laslo Djere,0.9065587518184708,1.68,0.5230187030550308
Nicolas Jarry,0.6957532941841447,1.59,0.10624773775279006
Daniel  Evans,0.9136866735630638,1.62,0.48017241117216336
Jack Draper,0.7941122142291821,2.72,1.1599852227033756
Taylor Fritz,0.9673763337105068,1.15,0.11248278376708273
Andrey Rublev,0.9387889015618286,1.41,0.32369235120217826
Novak Djokovic,0.9663928049809626,1.16,0.12101565377791651
Stefanos Tsitsipas,0.9657486294154352,1.3,0.25547321824006575
Alejandro Davidovich Fokina,0.9399189447821688,1.57,0.475672743308005
Rinky Hijikata,0.9021219949228931,1.96,0.7681591100488705
Cameron Norrie,0.969753597661232,1.25,0.21219199707654005
Stan Wawrinka,0.8149205358256987,1.5,0.22238080373854802
Michael Mmoh,0.8257824199258796,2.88,1.3782533693865333
Lloyd Harris,0.8594871720249064,1.42,0.22047178427536707
Daniel Altmaier,0.6147458552592715,1.87,0.14957474933483772
Felipe Meligeni Alves,0.6049066222948848,1.89,0.1432735161373322
Casper Ruud,0.9341445408240413,1.25,0.16768067603005163
Rinky Hijikata,0.7950852423576503,3.4,1.7032898240160108
Jakub Mensik,0.67371502992955,1.7,0.145315550880235
Arthur Rinderknech,0.7172474708148727,5.2,2.729686848237338
Arthur Fils,0.7385412501172699,1.64,0.21120765019232257
Grigor Dimitrov,0.9132729411100706,1.87,0.7078203998758321
Michael Mmoh,0.9581514789642119,1.17,0.12103723038812789
Alex De Minaur,0.9705336481004763,1.24,0.20346172364459056
Andrey Rublev,0.9485024344000615,1.49,0.4132686272560917
Stan Wawrinka,0.9632716395975485,1.33,0.28115128066473954
Ben Shelton,0.7395250863028121,1.67,0.23500689412569614
Jack Draper,0.882760735743461,1.38,0.2182098153259761
Alex De Minaur,0.9273893668505835,1.27,0.17778449590024104
Ben Shelton,0.9616890988175626,1.15,0.10594246364019691
Daniil Medvedev,0.8672139753833314,1.38,0.19675528602899728
Carlos Alcaraz,0.972562722816578,1.21,0.1768008946080593
