bankroll,stake,payout,odds,won,ev
1003.2,1.0,4.2,4.2,1,2.9899999999999998
1006.2,1.0,4.0,4.0,1,2.8
1007.44,1.0,2.24,2.24,1,1.1280000000000001
1008.5200000000001,1.0,2.08,2.08,1,0.976
1009.2600000000001,1.0,1.74,1.74,1,0.653
1009.9700000000001,1.0,1.71,1.71,1,0.6244999999999998
1010.2800000000001,1.0,1.31,1.31,1,0.24449999999999994
1010.58,1.0,1.3,1.3,1,0.23499999999999988
1010.85,1.0,1.27,1.27,1,0.2064999999999999
1011.0600000000001,1.0,1.21,1.21,1,0.14949999999999997
1011.24,1.0,1.18,1.18,1,0.121
1011.42,1.0,1.18,1.18,1,0.121
1011.68,1.0,1.26,1.26,1,0.09609572836409708
1011.8299999999999,1.0,1.15,1.15,1,0.0924999999999998
1012.16,1.0,1.33,1.33,1,0.08878418016025935
1012.48,1.0,1.32,1.32,1,0.08211485855523559
1011.48,1.0,0.0,1.3,0,0.0813148356433051
1011.6,1.0,1.12,1.12,1,0.06400000000000006
1011.72,1.0,1.12,1.12,1,0.06400000000000006
1011.83,1.0,1.11,1.11,1,0.05449999999999999
1010.83,1.0,0.0,1.38,0,0.05103880035129538
1010.9300000000001,1.0,1.1,1.1,1,0.04499999999999993
1011.2900000000001,1.0,1.36,1.36,1,0.03963676182766962
1011.3800000000001,1.0,1.09,1.09,1,0.03550000000000009
1011.8000000000001,1.0,1.42,1.42,1,0.016745258795712203
1011.8700000000001,1.0,1.07,1.07,1,0.01649999999999996
1011.9400000000002,1.0,1.07,1.07,1,0.01649999999999996
