market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.208566495,Novak Djokovic,Roberto Carballes Baena,1.03,34.0,Novak Djokovic,Novak Djokovic,Roberto Carballes Baena,2023-01-16,novak djokovic,roberto carballes baena,2249229,7185192,0.970873786407767,0.029411764705882353,0.0002855511136492517,0.9414620217018846
1.208566501,Fabio Fognini,Thanasi Kokkinakis,190.0,1.2,Thanasi Kokkinakis,Thanasi Kokkinakis,Fabio Fognini,2023-01-16,fabio fognini,thanasi kokkinakis,2319544,8172416,0.005263157894736842,0.8333333333333334,-0.16140350877192977,-0.8280701754385965
1.208566507,Andy Murray,Matteo Berrettini,1.01,1000.0,Andy Murray,Andy Murray,Matteo Berrettini,2023-01-16,andy murray,matteo berrettini,2256509,8962036,0.9900990099009901,0.001,-0.008900990099009909,0.9890990099009901
1.208566513,Dominic Thiem,Andrey Rublev,4.2,1.32,Andrey Rublev,Andrey Rublev,Dominic Thiem,2023-01-16,dominic thiem,andrey rublev,5720747,7797771,0.23809523809523808,0.7575757575757576,-0.0043290043290042934,-0.5194805194805194
1.208567542,Luca Van Assche,Cameron Norrie,13.5,1.08,Cameron Norrie,Cameron Norrie,Luca Van Assche,2023-01-16,luca van assche,cameron norrie,27752969,42669524,0.07407407407407407,0.9259259259259258,-1.1102230246251565e-16,-0.8518518518518517
1.208567548,Jordan Thompson,J.j. Wolf,1000.0,1.01,J J Wolf,J J Wolf,Jordan Thompson,2023-01-16,jordan thompson,jj wolf,19924841,35727604,0.001,0.9900990099009901,-0.008900990099009909,-0.9890990099009901
1.208567554,Pablo Carreno Busta,Pedro Cachin,1.1,100.0,Pablo Carreno Busta,Pablo Carreno Busta,Pedro Cachin,2023-01-16,pablo carreno busta,pedro cachin,5479878,8461316,0.9090909090909091,0.01,-0.08090909090909093,0.899090909090909
1.20856756,Marton Fucsovics,Federico Coria,1.16,4.1,Marton Fucsovics,Marton Fucsovics,Federico Coria,2023-01-16,marton fucsovics,federico coria,4827766,8326752,0.8620689655172414,0.24390243902439027,0.10597140454163179,0.6181665264928512
1.208567566,Albert Ramos-Vinolas,Maxime Cressy,5.1,1.25,Maxime Cressy,Maxime Cressy,Albert Ramos,2023-01-16,albert ramos vinolas,maxime cressy,8621877,11510005,0.19607843137254904,0.8,-0.0039215686274509665,-0.603921568627451
1.208567572,Christopher O'Connell,Jenson Brooksby,2.98,1.5,Jenson Brooksby,Jenson Brooksby,Christopher Oconnell,2023-01-16,christopher o'connell,jenson brooksby,8942164,11881072,0.33557046979865773,0.6666666666666666,0.0022371364653244186,-0.3310961968680089
1.208567578,John Millman,Marc-Andrea Huesler,2.28,1.78,John Millman,John Millman,Marc Andrea Huesler,2023-01-16,john millman,marc andrea huesler,4415206,9631939,0.4385964912280702,0.5617977528089888,0.00039424403705901057,-0.1232012615809186
1.208567584,Kyle Edmund,Jannik Sinner,19.0,1.04,Jannik Sinner,Jannik Sinner,Kyle Edmund,2023-01-16,kyle edmund,jannik sinner,5626817,10372253,0.05263157894736842,0.9615384615384615,0.014170040485829816,-0.9089068825910931
1.20856759,Dusan Lajovic,Denis Shapovalov,9.0,1.13,Denis Shapovalov,Denis Shapovalov,Dusan Lajovic,2023-01-16,dusan lajovic,denis shapovalov,4688724,19924829,0.1111111111111111,0.8849557522123894,-0.003933136676499416,-0.7738446411012783
1.208567596,Jeremy Chardy,Daniel Elahi Galan,1.15,8.6,Jeremy Chardy,Jeremy Chardy,Daniel Elahi Galan,2023-01-16,jeremy chardy,daniel elahi galan,2304933,8860646,0.8695652173913044,0.11627906976744186,-0.01415571284125372,0.7532861476238626
1.208567602,Alexander Bublik,Alejandro Davidovich Fokina,120.0,1.01,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Alexander Bublik,2023-01-16,alexander bublik,alejandro davidovich fokina,8907933,10901351,0.008333333333333333,0.9900990099009901,-0.001567656765676606,-0.9817656765676568
1.208567608,Vasek Pospisil,Felix Auger-Aliassime,12.5,1.07,Felix Auger Aliassime,Felix Auger Aliassime,Vasek Pospisil,2023-01-16,vasek pospisil,felix auger aliassime,4903598,12210252,0.08,0.9345794392523364,0.014579439252336401,-0.8545794392523365
