market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y
1.208566495,Novak Djokovic,Roberto Carballes Baena,1.03,34.0,Novak Djokovic,Novak Djokovic,Roberto Carballes Baena,2023-01-16,novak djokovic,roberto carballes baena,2249229,7185192,1.03,34.0
1.208566501,Fabio Fognini,Thanasi Kokkinakis,190.0,1.2,Thanasi Kokkinakis,Thanasi Kokkinakis,Fabio Fognini,2023-01-16,fabio fognini,thanasi kokkinakis,2319544,8172416,190.0,1.2
1.208566507,Andy Murray,Matteo Berrettini,1.01,1000.0,Andy Murray,Andy Murray,Matteo Berrettini,2023-01-16,andy murray,matteo berrettini,2256509,8962036,1.01,1000.0
1.208566513,Dominic Thiem,Andrey Rublev,4.2,1.32,Andrey Rublev,Andrey Rublev,Dominic Thiem,2023-01-16,dominic thiem,andrey rublev,5720747,7797771,4.2,1.32
1.208567542,Luca Van Assche,Cameron Norrie,13.5,1.08,Cameron Norrie,Cameron Norrie,Luca Van Assche,2023-01-16,luca van assche,cameron norrie,27752969,42669524,13.5,1.08
1.208567548,Jordan Thompson,J.j. Wolf,1000.0,1.01,J J Wolf,J J Wolf,Jordan Thompson,2023-01-16,jordan thompson,jj wolf,19924841,35727604,1000.0,1.01
1.208567554,Pablo Carreno Busta,Pedro Cachin,1.1,100.0,Pablo Carreno Busta,Pablo Carreno Busta,Pedro Cachin,2023-01-16,pablo carreno busta,pedro cachin,5479878,8461316,1.1,100.0
1.20856756,Marton Fucsovics,Federico Coria,1.16,4.1,Marton Fucsovics,Marton Fucsovics,Federico Coria,2023-01-16,marton fucsovics,federico coria,4827766,8326752,1.16,4.1
1.208567566,Albert Ramos-Vinolas,Maxime Cressy,5.1,1.25,Maxime Cressy,Maxime Cressy,Albert Ramos,2023-01-16,albert ramos vinolas,maxime cressy,8621877,11510005,5.1,1.25
1.208567572,Christopher O'Connell,Jenson Brooksby,2.98,1.5,Jenson Brooksby,Jenson Brooksby,Christopher Oconnell,2023-01-16,christopher o'connell,jenson brooksby,8942164,11881072,2.98,1.5
1.208567578,John Millman,Marc-Andrea Huesler,2.28,1.78,John Millman,John Millman,Marc Andrea Huesler,2023-01-16,john millman,marc andrea huesler,4415206,9631939,2.28,1.78
1.208567584,Kyle Edmund,Jannik Sinner,19.0,1.04,Jannik Sinner,Jannik Sinner,Kyle Edmund,2023-01-16,kyle edmund,jannik sinner,5626817,10372253,19.0,1.04
1.20856759,Dusan Lajovic,Denis Shapovalov,9.0,1.13,Denis Shapovalov,Denis Shapovalov,Dusan Lajovic,2023-01-16,dusan lajovic,denis shapovalov,4688724,19924829,9.0,1.13
1.208567596,Jeremy Chardy,Daniel Elahi Galan,1.15,8.6,Jeremy Chardy,Jeremy Chardy,Daniel Elahi Galan,2023-01-16,jeremy chardy,daniel elahi galan,2304933,8860646,1.15,8.6
1.208567602,Alexander Bublik,Alejandro Davidovich Fokina,120.0,1.01,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Alexander Bublik,2023-01-16,alexander bublik,alejandro davidovich fokina,8907933,10901351,120.0,1.01
1.208567608,Vasek Pospisil,Felix Auger-Aliassime,12.5,1.07,Felix Auger Aliassime,Felix Auger Aliassime,Vasek Pospisil,2023-01-16,vasek pospisil,felix auger aliassime,4903598,12210252,12.5,1.07
