market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.208566268,Daria Kasatkina,Varvara Gracheva,55.0,1.01,Varvara Gracheva,Varvara Gracheva,Daria Kasatkina,2023-01-16,7795290,10942984,0.01818181818181818,0.9900990099009901,0.008280828082808167,-0.9719171917191719
1.208566276,Harriet Dart,Jil Teichmann,2.66,1.61,Jil Teichmann,Jil Teichmann,Harriet Dart,2023-01-16,8595916,9247812,0.37593984962406013,0.6211180124223602,-0.002942137953579671,-0.24517816279830007
1.20856628,Maria Sakkari,Yue Yuan,1.01,1000.0,Maria Sakkari,Maria Sakkari,Yue Yuan,2023-01-16,9002331,9634353,0.9900990099009901,0.001,-0.008900990099009909,0.9890990099009901
1.208566284,Xinyu Wang,Storm Hunter,2.2,100.0,Xin Yu Wang,Xin Yu Wang,Storm Hunter,2023-01-16,13578400,50836638,0.45454545454545453,0.01,-0.5354545454545454,0.4445454545454545
1.208566288,Rebecca Marino,Lin Zhu,100.0,2.26,Lin Zhu,Lin Zhu,Rebecca Marino,2023-01-16,3444552,8714569,0.01,0.4424778761061947,-0.5475221238938053,-0.4324778761061947
1.208566292,Victoria Azarenka,Sofia Kenin,1.59,2.58,Victoria Azarenka,Victoria Azarenka,Sofia Kenin,2023-01-16,2263640,9149629,0.6289308176100629,0.38759689922480617,0.016527716834868977,0.2413339183852567
1.208566296,Madison Keys,Anna Blinkova,1.01,50.0,Madison Keys,Madison Keys,Anna Blinkova,2023-01-16,3800907,9635244,0.9900990099009901,0.02,0.010099009900990108,0.9700990099009901
1.2085663,Jessica Pegula,Jaqueline Cristian,1.05,21.0,Jessica Pegula,Jessica Pegula,Jaqueline Cristian,2023-01-16,6215852,9627961,0.9523809523809523,0.047619047619047616,0.0,0.9047619047619047
1.208566304,Amanda Anisimova,Marta Kostyuk,38.0,1.03,Marta Kostyuk,Marta Kostyuk,Amanda Anisimova,2023-01-16,11636088,11694656,0.02631578947368421,0.970873786407767,-0.0028104241185488155,-0.9445579969340828
1.208566308,Katerina Siniakova,Coco Gauff,100.0,1.01,Coco Gauff,Coco Gauff,Katerina Siniakova,2023-01-16,7137442,27552403,0.01,0.9900990099009901,9.90099009900991e-05,-0.9800990099009901
