market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2
1.208566268,Daria Kasatkina,Varvara Gracheva,55.0,1.01,Varvara Gracheva,Varvara Gracheva,Daria Kasatkina,2023-01-16,daria kasatkina,varvara gracheva,7795290,10942984
1.208566276,Harriet Dart,Jil Teichmann,2.66,1.61,Jil Teichmann,Jil Teichmann,Harriet Dart,2023-01-16,harriet dart,jil teichmann,8595916,9247812
1.20856628,Maria Sakkari,Yue Yuan,1.01,1000.0,Maria Sakkari,Maria Sakkari,Yue Yuan,2023-01-16,maria sakkari,yue yuan,9002331,9634353
1.208566288,Rebecca Marino,Lin Zhu,100.0,2.26,Lin Zhu,Lin Zhu,Rebecca Marino,2023-01-16,rebecca marino,lin zhu,3444552,8714569
1.208566292,Victoria Azarenka,Sofia Kenin,1.59,2.58,Victoria Azarenka,Victoria Azarenka,Sofia Kenin,2023-01-16,victoria azarenka,sofia kenin,2263640,9149629
1.208566296,Madison Keys,Anna Blinkova,1.01,50.0,Madison Keys,Madison Keys,Anna Blinkova,2023-01-16,madison keys,anna blinkova,3800907,9635244
1.2085663,Jessica Pegula,Jaqueline Cristian,1.05,21.0,Jessica Pegula,Jessica Pegula,Jaqueline Cristian,2023-01-16,jessica pegula,jaqueline cristian,6215852,9627961
1.208566304,Amanda Anisimova,Marta Kostyuk,38.0,1.03,Marta Kostyuk,Marta Kostyuk,Amanda Anisimova,2023-01-16,amanda anisimova,marta kostyuk,11636088,11694656
1.208566308,Katerina Siniakova,Coco Gauff,100.0,1.01,Coco Gauff,Coco Gauff,Katerina Siniakova,2023-01-16,katerina siniakova,coco gauff,7137442,27552403
1.208566312,Petra Kvitova,Alison Van Uytvanck,1.3,4.9,Petra Kvitova,Petra Kvitova,Alison Van Uytvanck,2023-01-16,petra kvitova,alison van uytvanck,2497008,5548385
1.208566316,Tamara Korpatsch,Emma Raducanu,6.0,1.2,Emma Raducanu,Emma Raducanu,Tamara Korpatsch,2023-01-16,tamara korpatsch,emma raducanu,9166525,18849246
1.208566324,Jelena Ostapenko,Dayana Yastremska,1.48,3.15,Jelena Ostapenko,Jelena Ostapenko,Dayana Yastremska,2023-01-16,jelena ostapenko,dayana yastremska,8827537,9634670
1.208566328,Kamilla Rakhimova,Kateryna Baindl,1.75,1.01,Kateryna Baindl,Kateryna Baindl,Kamilla Rakhimova,2023-01-16,kamilla rakhimova,kateryna baindl,11144238,42315957
1.208566336,Dalma Galfi,Qinwen Zheng,8.8,1.14,Qinwen Zheng,Qinwen Zheng,Dalma Galfi,2023-01-16,dalma galfi,qinwen zheng,9304691,18848380
1.20856634,Ana Bogdan,Anna Bondar,990.0,3.35,Anna Bondar,Anna Bondar,Ana Bogdan,2023-01-16,ana bogdan,anna bondar,3875013,9304685
1.208566344,Elena Rybakina,Elisabetta Cocciaretto,1.29,3.7,Elena Rybakina,Elena Rybakina,Elisabetta Cocciaretto,2023-01-16,elena rybakina,elisabetta cocciaretto,10349398,18848114
1.208566348,Anna Kalinskaya,Danielle Collins,34.0,1.01,Danielle Collins,Danielle Collins,Anna Kalinskaya,2023-01-16,anna kalinskaya,danielle collins,8907174,9626845
1.208566356,Jule Niemeier,Iga Swiatek,190.0,1.01,Iga Swiatek,Iga Swiatek,Jule Niemeier,2023-01-16,jule niemeier,iga swiatek,11173943,12085633
1.20856636,Marie Bouzkova,Bianca Andreescu,21.0,1.01,Bianca Andreescu,Bianca Andreescu,Marie Bouzkova,2023-01-16,marie bouzkova,bianca andreescu,8442764,10141729
1.208566364,Garbine Muguruza,Elise Mertens,260.0,2.0,Elise Mertens,Elise Mertens,Garbine Muguruza,2023-01-16,garbine muguruza,elise mertens,6596301,9002334
1.208566368,Tereza Martincova,Aryna Sabalenka,11.0,1.1,Aryna Sabalenka,Aryna Sabalenka,Tereza Martincova,2023-01-16,tereza martincova,aryna sabalenka,7335514,9628840
1.208566372,Alize Cornet,Leylah Fernandez,2.3,1.77,Leylah Fernandez,Leylah Fernandez,Alize Cornet,2023-01-16,alize cornet,leylah fernandez,2263692,11987709
1.208566384,Magda Linette,Mayar Sherif,1.23,5.4,Magda Linette,Magda Linette,Mayar Sherif,2023-01-16,magda linette,mayar sherif,7083215,9028621
1.208566388,Lauren Davis,Danka Kovinic,1.13,8.8,Lauren Davis,Lauren Davis,Danka Kovinic,2023-01-16,lauren davis,danka kovinic,4176991,7414059
1.208566396,Laura Siegemund,Lucia Bronzetti,2.18,1.86,Laura Siegemund,Laura Siegemund,Lucia Bronzetti,2023-01-16,laura siegemund,lucia bronzetti,4829328,9631351
1.2085664,Petra Martic,Viktorija Golubic,1.01,100.0,Petra Martic,Petra Martic,Viktorija Golubic,2023-01-16,petra martic,viktorija golubic,2346703,7283232
1.208566408,Karolina Pliskova,Xiyu Wang,1.28,990.0,Karolina Pliskova,Karolina Pliskova,Xiyu Wang,2023-01-16,karolina pliskova,xiyu wang,6199453,11352357
1.208566412,Shuai Zhang,Patricia Maria Tig,1.14,8.2,Shuai Zhang,Shuai Zhang,Patricia Maria Tig,2023-01-16,shuai zhang,patricia maria tig,2386498,8679189
1.208566416,Maryna Zanevska,Veronika Kudermetova,6.6,1.18,Veronika Kudermetova,Veronika Kudermetova,Maryna Zanevska,2023-01-16,maryna zanevska,veronika kudermetova,6390239,8279497
1.20856642,Sorana Cirstea,Yulia Putintseva,30.0,1.01,Yulia Putintseva,Yulia Putintseva,Sorana Cirstea,2023-01-16,sorana cirstea,yulia putintseva,2387871,4259580
1.208566424,Marketa Vondrousova,Alison Riske-Amritraj,1.01,50.0,Marketa Vondrousova,Marketa Vondrousova,Alison Riske Amritraj,2023-01-16,marketa vondrousova,alison riske amritraj,9433253,46252652
1.208566428,Jasmine Paolini,Liudmila Samsonova,5.6,1.23,Liudmila Samsonova,Liudmila Samsonova,Jasmine Paolini,2023-01-16,jasmine paolini,liudmila samsonova,8944356,21067365
1.208566432,Ons Jabeur,Tamara Zidansek,1.19,210.0,Ons Jabeur,Ons Jabeur,Tamara Zidansek,2023-01-16,ons jabeur,tamara zidansek,6161111,9631543
1.208566436,Kaia Kanepi,Kimberly Birrell,1.19,6.0,Kimberly Birrell,Kimberly Birrell,Kaia Kanepi,2023-01-16,kaia kanepi,kimberly birrell,2250864,8183109
1.20856644,Sloane Stephens,Anastasia Potapova,16.5,1.01,Anastasia Potapova,Anastasia Potapova,Sloane Stephens,2023-01-16,sloane stephens,anastasia potapova,2923342,10554735
1.208566444,Jaimee Fourlis,Linda Fruhvirtova,60.0,1.01,Linda Fruhvirtova,Linda Fruhvirtova,Jaimee Fourlis,2023-01-16,jaimee fourlis,linda fruhvirtova,9635179,22108509
1.208566448,Madison Brengle,Claire Liu,2.42,1.47,Claire Liu,Claire Liu,Madison Brengle,2023-01-16,madison brengle,claire liu,2263603,9633041
1.208566452,Anastasia Pavlyuchenkova,Camila Giorgi,2.1,2.0,Camila Giorgi,Camila Giorgi,Anastasia Pavlyuchenkova,2023-01-16,anastasia pavlyuchenkova,camila giorgi,2263701,5619012
1.208566456,Beatriz Haddad Maia,Nuria Parrizas Diaz,95.0,1.01,Nuria Parrizas Diaz,Nuria Parrizas Diaz,Beatriz Haddad Maia,2023-01-16,beatriz haddad maia,nuria parrizas diaz,7083752,9364864
1.20856646,Viktoriya Tomova,Belinda Bencic,17.5,1.07,Belinda Bencic,Belinda Bencic,Viktoriya Tomova,2023-01-16,viktoriya tomova,belinda bencic,4597116,6390244
1.208587078,Barbora Krejcikova,Sara Bejlek,1.05,21.0,Barbora Krejcikova,Barbora Krejcikova,Sara Bejlek,2023-01-16,barbora krejcikova,sara bejlek,8784972,35737965
1.208587082,Aliaksandra Sasnovich,Brenda Fruhvirtova,1.54,2.84,Aliaksandra Sasnovich,Aliaksandra Sasnovich,Brenda Fruhvirtova,2023-01-16,aliaksandra sasnovich,brenda fruhvirtova,7283310,42133537
1.208587086,Cristina Bucsa,Eva Lys,1.01,38.0,Cristina Bucsa,Cristina Bucsa,Eva Lys,2023-01-16,cristina bucsa,eva lys,9629258,10943021
