market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.223429688,Sofia Kenin,Iga Swiatek,27.0,1.04,e344243315,,,,,9149629,12085633,0.037037037037037035,0.9615384615384615,-0.0014245014245015675,-0.9245014245014245
1.223429872,Angelique Kerber,Danielle Collins,1000.0,1.39,2713057d7d,,,,,2411840,9626845,0.001,0.7194244604316548,-0.27957553956834524,-0.7184244604316548
1.223430143,Yoshihito Nishioka,Holger Rune,8.0,1.14,fa8ca7f93e,Holger Rune,Holger Rune,Yoshihito Nishioka,2024-01-15,7137497,39127965,0.125,0.8771929824561404,0.002192982456140413,-0.7521929824561404
1.223430239,Elina Svitolina,Taylah Preston,1.11,10.0,8b9dc256f5,,,,,6324464,28071385,0.9009009009009008,0.1,0.0009009009009008917,0.8009009009009008
1.223430243,Laslo Djere,Arthur Cazaux,1.95,1.02,389ae74d15,Arthur Cazaux,Arthur Cazaux,Laslo Djere,2024-01-15,7692106,24918582,0.5128205128205129,0.9803921568627451,0.49321266968325794,-0.46757164404223217
1.223430339,Jiri Vesely,Arthur Fils,9.6,1.1,067af8f614,Arthur Fils,Arthur Fils,Jiri Vesely,2024-01-15,7032143,38374961,0.10416666666666667,0.9090909090909091,0.01325757575757569,-0.8049242424242424
1.22343038,Marie Bouzkova,Linda Noskova,34.0,1.01,bccb5f6acc,,,,,8442764,22088831,0.029411764705882353,0.9900990099009901,0.01951077460687234,-0.9606872451951077
1.223430474,Karolina Pliskova,Elena Rybakina,120.0,1.14,4a618e1027,,,,,6199453,10349398,0.008333333333333333,0.8771929824561404,-0.11447368421052628,-0.8688596491228071
1.223430802,Roman Safiullin,Tallon Griekspoor,100.0,1.01,90096066ce,Tallon Griekspoor,Tallon Griekspoor,Roman Safiullin,2024-01-15,9125686,9198585,0.01,0.9900990099009901,9.90099009900991e-05,-0.9800990099009901
1.223431003,Bernabe Zapata Miralles,Jiri Lehecka,14.5,1.08,3983c375ee,Jiri Lehecka,Jiri Lehecka,Bernabe Zapata Miralles,2024-01-15,9630472,13203243,0.06896551724137931,0.9259259259259258,-0.005108556832694844,-0.8569604086845465
1.2234315,Juan Pablo Varillas,Cameron Norrie,500.0,1.15,447110811b,Cameron Norrie,Cameron Norrie,Juan Pablo Varillas,2024-01-15,11772759,42669524,0.002,0.8695652173913044,-0.12843478260869556,-0.8675652173913044
1.223431506,Katerina Siniakova,Jaqueline Cristian,1.02,36.0,6f8e01aa66,,,,,9627794,9627961,0.9803921568627451,0.027777777777777776,0.008169934640522847,0.9526143790849673
1.22343151,Federico Coria,Zhizhen Zhang,11.0,1.1,3dbc8f574b,Zhizhen Zhang,Zhizhen Zhang,Federico Coria,2024-01-15,8326752,9628959,0.09090909090909091,0.9090909090909091,0.0,-0.8181818181818181
1.223431606,Albert Ramos-Vinolas,Casper Ruud,1000.0,1.05,b22b19179a,Casper Ruud,Casper Ruud,Albert Ramos,2024-01-15,8621877,9629711,0.001,0.9523809523809523,-0.04661904761904767,-0.9513809523809523
1.223431613,Cristina Bucsa,Anna Blinkova,1.79,1.07,11434158f2,,,,,9629258,9635244,0.5586592178770949,0.9345794392523364,0.4932386571294314,-0.3759202213752415
1.223431861,Grigor Dimitrov,Marton Fucsovics,1.16,6.4,3a38eb70bf,Grigor Dimitrov,Grigor Dimitrov,Marton Fucsovics,2024-01-15,3120169,4827766,0.8620689655172414,0.15625,0.018318965517241548,0.7058189655172414
1.223431867,Viktorija Golubic,Veronika Kudermetova,4.2,100.0,fad39887aa,,,,,7283232,8279497,0.23809523809523808,0.01,-0.7519047619047619,0.22809523809523807
1.223432051,Maximilian Marterer,Nuno Borges,1.8,2.2,ea73edc960,Nuno Borges,Nuno Borges,Maximilian Marterer,2024-01-15,7335940,9633043,0.5555555555555556,0.45454545454545453,0.010101010101010166,0.10101010101010105
1.223432302,Miomir Kecmanovic,Yosuke Watanuki,1.36,3.9,4428a81b96,Miomir Kecmanovic,Miomir Kecmanovic,Yosuke Watanuki,2024-01-15,9657480,19924830,0.7352941176470588,0.25641025641025644,-0.008295625942684737,0.4788838612368023
1.223432398,Constant Lestienne,Alejandro Davidovich Fokina,4.9,1.26,627c08c33d,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Constant Lestienne,2024-01-15,7797931,10901351,0.2040816326530612,0.7936507936507936,-0.0022675736961451642,-0.5895691609977324
1.223432404,Jan-Lennard Struff,Rinky Hijikata,1.43,3.3,d243015036,Jan Lennard Struff,Jan Lennard Struff,Rinky Hijikata,2024-01-15,8259098,12343905,0.6993006993006994,0.30303030303030304,0.002331002331002363,0.39627039627039634
1.22343241,Kimberly Birrell,Jelena Ostapenko,9.4,1.14,74209eeb0c,,,,,8183109,8827537,0.10638297872340426,0.8771929824561404,-0.01642403882045529,-0.7708100037327361
1.223432554,Mackenzie McDonald,Juncheng Shang,250.0,1.81,6dd5bd3e48,Juncheng Shang,Juncheng Shang,Mackenzie Mcdonald,2024-01-15,7569897,38901959,0.004,0.5524861878453039,-0.4435138121546961,-0.5484861878453039
1.223432708,Lorenzo Sonego,Daniel Evans,1.03,26.0,8e57ee41be,Lorenzo Sonego,Lorenzo Sonego,Daniel Evans,2024-01-15,8826925,52326708,0.970873786407767,0.038461538461538464,0.00933532486930555,0.9324122479462286
1.223432804,Richard Gasquet,Carlos Alcaraz,44.0,1.03,ab8a258fec,Carlos Alcaraz,Carlos Alcaraz,Richard Gasquet,2024-01-15,2249399,25215583,0.022727272727272728,0.970873786407767,-0.00639894086496029,-0.9481465136804943
