market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_prob_diff,odds,odds_2,implied_prob,implied_diff
1.223429688,Sofia Kenin,Iga Swiatek,,,e344243315,Iga Swiatek,Iga Swiatek,Sofia Kenin,2024-01-15,9149629,12085633,,,,,,,,
1.223429872,Angelique Kerber,Danielle Collins,,,2713057d7d,Danielle Collins,Danielle Collins,Angelique Kerber,2024-01-15,2411840,9626845,,,,,,,,
1.223430143,Yoshihito Nishioka,Holger Rune,,,fa8ca7f93e,,,,,7137497,39127965,,,,,,,,
1.223430239,Elina Svitolina,Taylah Preston,,,8b9dc256f5,Elina Svitolina,Elina Svitolina,Taylah Preston,2024-01-15,6324464,28071385,,,,,,,,
1.223430243,Laslo Djere,Arthur Cazaux,,,389ae74d15,,,,,7692106,24918582,,,,,,,,
1.223430339,Jiri Vesely,Arthur Fils,,,067af8f614,,,,,7032143,38374961,,,,,,,,
1.22343038,Marie Bouzkova,Linda Noskova,,,bccb5f6acc,Linda Noskova,Linda Noskova,Marie Bouzkova,2024-01-15,8442764,22088831,,,,,,,,
1.223430474,Karolina Pliskova,Elena Rybakina,,,4a618e1027,Elena Rybakina,Elena Rybakina,Karolina Pliskova,2024-01-15,6199453,10349398,,,,,,,,
1.223430802,Roman Safiullin,Tallon Griekspoor,,,90096066ce,,,,,9125686,9198585,,,,,,,,
1.223431003,Bernabe Zapata Miralles,Jiri Lehecka,,,3983c375ee,,,,,9630472,13203243,,,,,,,,
1.2234315,Juan Pablo Varillas,Cameron Norrie,,,447110811b,,,,,11772759,42669524,,,,,,,,
1.223431506,Katerina Siniakova,Jaqueline Cristian,,,6f8e01aa66,Katerina Siniakova,Katerina Siniakova,Jaqueline Cristian,2024-01-15,9627794,9627961,,,,,,,,
1.22343151,Federico Coria,Zhizhen Zhang,,,3dbc8f574b,,,,,8326752,9628959,,,,,,,,
1.223431606,Albert Ramos-Vinolas,Casper Ruud,,,b22b19179a,,,,,8621877,9629711,,,,,,,,
