match,bet_side,stake,profit,bankroll,source_file
Juncheng Shang vs Oscar Otte,P1,1,0.16999999999999993,1000.17,value_bets_atp_aus_open_2023.csv
Juncheng Shang vs Oscar Otte,P1,1,0.25,1000.42,value_bets_atp_aus_open_2023.csv
Juncheng Shang vs Oscar Otte,P1,1,0.18999999999999995,1000.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,999.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,998.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,997.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,996.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,995.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,994.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,993.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,992.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,991.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,990.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,989.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,988.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,987.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,986.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,985.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,984.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,983.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,982.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,981.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,980.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,979.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,978.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,977.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,976.61,value_bets_atp_aus_open_2023.csv
Gregoire Barrere vs Tomas Martin Etcheverry,P1,1,-1.0,975.61,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.65,977.26,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.2999999999999998,978.56,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.25,979.81,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.25,981.06,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.25,982.31,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,0.95,983.26,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.12,984.38,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,0.97,985.35,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.23,986.58,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,0.98,987.5600000000001,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.94,989.5000000000001,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.8199999999999998,991.3200000000002,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.3599999999999999,992.6800000000002,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,0.9099999999999999,993.5900000000001,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.38,994.9700000000001,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,1.15,996.1200000000001,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,0.97,997.0900000000001,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,0.95,998.0400000000002,value_bets_atp_aus_open_2023.csv
Botic Van de Zandschulp vs Ilya Ivashka,P2,1,0.97,999.0100000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1000.9100000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1002.8100000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.7000000000000002,1004.5100000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.85,1006.3600000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1008.2600000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.08,1009.3400000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.85,1011.1900000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1013.0900000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1014.9900000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1016.8900000000002,value_bets_atp_aus_open_2023.csv
