match,side,odds,ev,stake,win,profit,player_staked,player_payout,bankroll
John Isner vs Nuno Borges,p2,1.41,0.0751299385501942,20.0,True,8.2,Nuno Borges,28.2,1008.2
Daniel Elahi Galan vs Matteo Arnaldi,p2,1.5,0.0911731993041307,20.164,True,10.082,Matteo Arnaldi,30.246000000000002,1018.282
Andrey Rublev vs Laslo Djere,p2,4.4,0.1747340163655542,20.365640000000003,False,-20.365640000000003,Laslo Djere,0.0,997.91636
Mackenzie Mcdonald vs Sebastian Korda,p2,1.47,0.0872903725549731,19.958327200000003,True,9.380413784000002,Sebastian Korda,29.338740984000005,1007.296773784
Facundo Diaz Acosta vs Jason Kubler,p2,2.15,0.1058841914236294,20.14593547568,True,23.167825797032,Jason Kubler,43.313761272712,1030.464599581032
David Goffin vs Hubert Hurkacz,p2,1.45,0.0825184707159052,20.60929199162064,True,9.274181396229288,Hubert Hurkacz,29.88347338784993,1039.7387809772613
Daniel Evans vs Thanasi Kokkinakis,p2,2.05,0.1221354545825281,20.794775619545227,True,21.834514400522487,Thanasi Kokkinakis,42.629290020067714,1061.5732953777838
Patrick Kypson vs Radu Albot,p2,1.4,0.0755579987480361,21.231465907555677,True,8.49258636302227,Radu Albot,29.724052270577946,1070.0658817408062
Pedro Martinez vs Tallon Griekspoor,p2,2.09,0.1294558353658257,21.401317634816124,True,23.32743622194957,Tallon Griekspoor,44.72875385676569,1093.3933179627556
Maxime Cressy vs Sebastian Ofner,p2,1.42,0.0798381216204333,21.867866359255114,True,9.184503870887145,Sebastian Ofner,31.05237023014226,1102.5778218336427
Alexander Shevchenko vs Oscar Otte,p2,3.04,0.1204939624381018,22.051556436672854,False,-22.051556436672854,Oscar Otte,0.0,1080.5262653969698
Ben Shelton vs Lorenzo Sonego,p2,1.42,0.0798381216204333,21.610525307939398,True,9.076420629334546,Lorenzo Sonego,30.686945937273943,1089.6026860263044
Arthur Cazaux vs Corentin Moutet,p2,1.85,0.1126060067622789,21.792053720526088,True,18.523245662447177,Corentin Moutet,40.315299382973265,1108.1259316887515
Jurij Rodionov vs Lucas Pouille,p2,1.68,0.0910521185115003,22.16251863377503,True,15.07051267096702,Lucas Pouille,37.23303130474205,1123.1964443597185
Lorenzo Musetti vs Mikael Ymer,p2,4.6,0.208093290266949,22.46392888719437,False,-22.46392888719437,Mikael Ymer,0.0,1100.732515472524
Jack Draper vs Tomas Martin Etcheverry,p2,1.74,0.1114811668028201,22.01465030945048,True,16.290841228993358,Tomas Martin Etcheverry,38.30549153844384,1117.0233567015173
Roberto Bautista Agut vs Yibing Wu,p2,2.76,0.1314544679332741,22.340467134030344,False,-22.340467134030344,Yibing Wu,0.0,1094.6828895674869
Borna Coric vs Federico Coria,p2,6.5,0.3243472750566618,21.89365779134974,False,-21.89365779134974,Federico Coria,0.0,1072.789231776137
Juan Pablo Varillas vs Juncheng Shang,p2,2.45,0.1022299758651836,21.455784635522743,False,-21.455784635522743,Juncheng Shang,0.0,1051.3334471406142
Alexei Popyrin vs Aslan Karatsev,p2,1.7,0.0978891565792812,21.026668942812286,True,14.718668259968602,Aslan Karatsev,35.74533720278089,1066.0521154005828
Bernabe Zapata Miralles vs Diego Schwartzman,p2,2.28,0.1154172377388136,21.321042308011656,True,27.290934154254913,Diego Schwartzman,48.61197646226657,1093.3430495548378
Brandon Nakashima vs Denis Shapovalov,p2,2.07,0.1167384268690314,21.866860991096754,True,23.39754126047352,Denis Shapovalov,45.264402251570274,1116.7405908153112
Alex De Minaur vs Ilya Ivashka,p2,3.5,0.1137827521845074,22.334811816306225,False,-22.334811816306225,Ilya Ivashka,0.0,1094.405778999005
Luca Van Assche vs Marco Cecchinato,p2,2.0,0.1185265338467131,21.8881155799801,False,-21.8881155799801,Marco Cecchinato,0.0,1072.5176634190248
Dusan Lajovic vs Zhizhen Zhang,p2,2.5,0.0953973054745609,21.450353268380496,True,32.175529902570744,Zhizhen Zhang,53.62588317095124,1104.6931933215956
Dominic Thiem vs Pedro Cachin,p2,2.06,0.1140606719332504,22.093863866431914,True,23.41949569841783,Pedro Cachin,45.51335956484974,1128.1126890200135
Botic Van De Zandschulp vs Thiago Agustin Tirante,p2,4.85,0.2356837741528592,22.56225378040027,True,86.86467705454103,Thiago Agustin Tirante,109.4269308349413,1214.9773660745545
Alejandro Davidovich Fokina vs Arthur Fils,p2,3.7,0.1167951329700818,24.29954732149109,False,-24.29954732149109,Arthur Fils,0.0,1190.6778187530635
Hamad Medjedovic vs Marcos Giron,p2,2.15,0.1183373552775461,23.81355637506127,True,27.385589831320463,Marcos Giron,51.199146206381734,1218.063408584384
Denis Shapovalov vs Matteo Arnaldi,p2,1.85,0.1126060067622789,24.36126817168768,False,-24.36126817168768,Matteo Arnaldi,0.0,1193.7021404126963
Diego Schwartzman vs Nuno Borges,p2,2.1,0.1014645037824393,23.874042808253925,False,-23.874042808253925,Nuno Borges,0.0,1169.8280976044423
Hubert Hurkacz vs Tallon Griekspoor,p2,2.88,0.1202805980014547,23.396561952088845,False,-23.396561952088845,Tallon Griekspoor,0.0,1146.4315356523534
Fabio Fognini vs Jason Kubler,p2,2.55,0.1061691065144398,22.92863071304707,False,-22.92863071304707,Jason Kubler,0.0,1123.5029049393063
Cameron Norrie vs Lucas Pouille,p2,4.35,0.1925138000905784,22.470058098786126,False,-22.470058098786126,Lucas Pouille,0.0,1101.03284684052
Alex De Minaur vs Tomas Martin Etcheverry,p2,2.12,0.1185543693319917,22.0206569368104,True,24.663135769227654,Tomas Martin Etcheverry,46.683792706038055,1125.6959826097477
Stan Wawrinka vs Thanasi Kokkinakis,p2,1.91,0.1199912010682664,22.513919652194954,True,20.487666883497408,Thanasi Kokkinakis,43.00158653569236,1146.1836494932452
Jiri Lehecka vs Marcos Giron,p2,2.65,0.1148437460609839,22.923672989864905,True,37.82406043327709,Marcos Giron,60.747733423141995,1184.0077099265222
Aslan Karatsev vs Frances Tiafoe,p2,1.94,0.1110877715008766,23.680154198530445,True,22.25934494661862,Frances Tiafoe,45.939499145149064,1206.2670548731408
Borna Coric vs Pedro Cachin,p2,3.05,0.1626590552896942,24.125341097462815,False,-24.125341097462815,Pedro Cachin,0.0,1182.141713775678
Karen Khachanov vs Radu Albot,p2,5.0,0.2457940870138113,23.64283427551356,False,-23.64283427551356,Radu Albot,0.0,1158.4988795001645
Juan Pablo Varillas vs Roberto Bautista Agut,p2,1.45,0.0864615991890185,23.169977590003292,False,-23.169977590003292,Roberto Bautista Agut,0.0,1135.3289019101612
Sebastian Korda vs Sebastian Ofner,p2,2.45,0.1135992330667154,22.706578038203226,True,32.92453815539468,Sebastian Ofner,55.631116193597904,1168.2534400655559
Lorenzo Sonego vs Ugo Humbert,p2,2.0,0.1118359766797352,23.365068801311118,False,-23.365068801311118,Ugo Humbert,0.0,1144.8883712642448
Alex Molcan vs Hugo Gaston,p2,2.5,0.147223463177254,22.897767425284897,False,-22.897767425284897,Hugo Gaston,0.0,1121.99060383896
Jordan Thompson vs Max Purcell,p2,2.1,0.1209970264145177,22.439812076779198,True,24.683793284457117,Max Purcell,47.123605361236315,1146.674397123417
Alexander Zverev vs Lloyd Harris,p2,10.0,0.7615041024817946,22.933487942468343,False,-22.933487942468343,Lloyd Harris,0.0,1123.7409091809486
Alexander Bublik vs Giulio Zeppieri,p2,1.86,0.1560700389816471,22.47481818361897,True,19.32834363791232,Giulio Zeppieri,41.80316182153129,1143.0692528188608
Andrea Vavassori vs Miomir Kecmanovic,p2,1.47,0.0994197283784583,22.861385056377216,False,-22.861385056377216,Miomir Kecmanovic,0.0,1120.2078677624836
Dominic Stricker vs Tommy Paul,p2,1.42,0.1007156053417193,22.404157355249673,True,9.409746089204862,Tommy Paul,31.813903444454535,1129.6176138516885
Genaro Alberto Olivieri vs Giovanni Mpetshi Perricard,p2,2.04,0.1158745889608707,22.59235227703377,False,-22.59235227703377,Giovanni Mpetshi Perricard,0.0,1107.0252615746547
Arthur Rinderknech vs Richard Gasquet,p2,1.68,0.0910521185115003,22.140505231493094,False,-22.140505231493094,Richard Gasquet,0.0,1084.8847563431616
Alejandro Davidovich Fokina vs Luca Van Assche,p2,3.18,0.1129272337642997,21.697695126863234,False,-21.697695126863234,Luca Van Assche,0.0,1063.1870612162984
Grigor Dimitrov vs Timofey Skatov,p2,7.0,0.3771767221363753,21.26374122432597,False,-21.26374122432597,Timofey Skatov,0.0,1041.9233199919724
