match,side,odds,ev,stake,win,profit,player_staked,player_payout,bankroll
Casper Ruud vs Emilio Nava,p2,4.6,0.3230383364171443,20.0,False,-20.0,Emilio Nava,0.0,980.0
Lorenzo Musetti vs Titouan Droguet,p2,6.5,0.6606616944461732,19.6,True,107.80000000000001,Titouan Droguet,127.4,1087.8
Ben Shelton vs Pedro Cachin,p2,5.3,0.570368875216331,21.756,False,-21.756,Pedro Cachin,0.0,1066.0439999999999
Adrian Mannarino vs Yosuke Watanuki,p2,2.75,0.1160046944305401,21.32088,False,-21.32088,Yosuke Watanuki,0.0,1044.7231199999999
Alexander Bublik vs Dominic Thiem,p2,2.38,0.0674272568589797,20.8944624,True,28.834358111999993,Dominic Thiem,49.72882051199999,1073.557478112
Alejandro Davidovich Fokina vs Marcos Giron,p2,3.3,0.1931774668140322,21.471149562239997,False,-21.471149562239997,Marcos Giron,0.0,1052.0863285497599
Ilya Ivashka vs Juan Manuel Cerundolo,p2,3.05,0.1554575202914334,21.0417265709952,True,43.13553947054015,Juan Manuel Cerundolo,64.17726604153535,1095.2218680203
Alexei Popyrin vs Dominic Stricker,p2,2.4,0.0649808320916334,21.904437360406,True,30.666212304568397,Dominic Stricker,52.5706496649744,1125.8880803248685
Stefano Travaglia vs Tommy Paul,p1,10.0,0.8157185240621778,22.51776160649737,False,-22.51776160649737,Stefano Travaglia,0.0,1103.3703187183712
Bernabe Zapata Miralles vs Ethan Quinn,p2,2.75,0.1105975421844973,22.067406374367426,False,-22.067406374367426,Ethan Quinn,0.0,1081.3029123440037
Enzo Couacaud vs Jiri Vesely,p2,2.68,0.1599591792894448,21.626058246880074,True,36.33177785475853,Jiri Vesely,57.957836101638605,1117.6346901987622
Brandon Nakashima vs Laslo Djere,p2,2.47,0.0720820002633852,22.352693803975246,True,32.85845989184362,Laslo Djere,55.211153695818865,1150.493150090606
Francisco Cerundolo vs Zachary Svajda,p2,3.5,0.2134028014797313,23.009863001812118,False,-23.009863001812118,Zachary Svajda,0.0,1127.4832870887938
Marco Cecchinato vs Roman Safiullin,p1,9.5,0.7568275447344637,22.549665741775875,False,-22.549665741775875,Marco Cecchinato,0.0,1104.9336213470178
Juan Pablo Varillas vs Miomir Kecmanovic,p1,4.5,0.0990830387969328,22.098672426940357,True,77.34535349429126,Juan Pablo Varillas,99.44402592123161,1182.278974841309
Jack Draper vs Radu Albot,p2,4.0,0.2923794401754924,23.64557949682618,False,-23.64557949682618,Radu Albot,0.0,1158.6333953444828
Stan Wawrinka vs Yoshihito Nishioka,p2,2.45,0.0707974201745849,23.172667906889657,False,-23.172667906889657,Yoshihito Nishioka,0.0,1135.460727437593
Adrian Mannarino vs Fabian Marozsan,p2,3.25,0.1874345089950599,22.709214548751863,False,-22.709214548751863,Fabian Marozsan,0.0,1112.7515128888413
Casper Ruud vs Zhizhen Zhang,p2,4.05,0.2849180621780347,22.255030257776827,True,67.87784228621932,Zhizhen Zhang,90.13287254399614,1180.6293551750605
Alejandro Davidovich Fokina vs Juan Manuel Cerundolo,p2,8.0,0.9148376309421185,23.61258710350121,False,-23.61258710350121,Juan Manuel Cerundolo,0.0,1157.0167680715592
Lorenzo Sonego vs Nicolas Moreno De Alboran,p2,3.85,0.2562372530045054,23.140335361431184,False,-23.140335361431184,Nicolas Moreno De Alboran,0.0,1133.876432710128
Gael Monfils vs Taro Daniel,p2,3.2,0.1745172903770242,22.67752865420256,False,-22.67752865420256,Taro Daniel,0.0,1111.1989040559254
Matteo Berrettini vs Ugo Humbert,p2,2.42,0.0749826534859483,22.223978081118506,False,-22.223978081118506,Ugo Humbert,0.0,1088.9749259748069
Aleksandar Vukic vs Alexander Zverev,p1,8.0,0.5367542403268657,21.779498519496137,False,-21.779498519496137,Aleksandar Vukic,0.0,1067.1954274553107
Karen Khachanov vs Michael Mmoh,p2,2.25,0.0725596765601992,21.343908549106214,True,26.679885686382764,Michael Mmoh,48.02379423548898,1093.8753131416934
Borna Coric vs Sebastian Baez,p2,2.75,0.1105975421844973,21.87750626283387,True,38.28563595995927,Sebastian Baez,60.16314222279314,1132.1609491016527
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,6.0,0.6789488940898891,22.643218982033055,True,113.21609491016525,Yu Hsiou Hsu,135.85931389219832,1245.377044011818
Alex Molcan vs Grigor Dimitrov,p1,5.0,0.1672244938730984,24.90754088023636,False,-24.90754088023636,Alex Molcan,0.0,1220.4695031315816
Alexander Shevchenko vs Cameron Norrie,p1,4.33,0.0779629733970084,24.409390062631633,False,-24.409390062631633,Alexander Shevchenko,0.0,1196.06011306895
Andy Murray vs Corentin Moutet,p2,4.0,0.3018617916726143,23.921202261378998,False,-23.921202261378998,Corentin Moutet,0.0,1172.138910807571
Frances Tiafoe vs Sebastian Ofner,p2,6.2,0.6624990614665971,23.44277821615142,False,-23.44277821615142,Sebastian Ofner,0.0,1148.6961325914194
