match,side,odds,ev,stake,win,profit,player_staked,player_payout,bankroll
Aslan Karatsev vs Luca Van Assche,p1,1.76,0.1999629002232419,1,True,0.76,Aslan Karatsev,1.76,1000.76
Aslan Karatsev vs Luca Van Assche,p1,1.68,0.1839435362730026,1,True,0.6799999999999999,Aslan Karatsev,1.68,1001.4399999999999
Aslan Karatsev vs Luca Van Assche,p1,1.65,0.1844413921388035,1,True,0.6499999999999999,Aslan Karatsev,1.65,1002.0899999999999
Aslan Karatsev vs Luca Van Assche,p1,1.69,0.1945441766658391,1,True,0.69,Aslan Karatsev,1.69,1002.78
Aslan Karatsev vs Luca Van Assche,p1,1.81,0.2315689809407217,1,True,0.81,Aslan Karatsev,1.81,1003.5899999999999
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1004.2199999999999
Aslan Karatsev vs Luca Van Assche,p1,1.75,0.1962078812752401,1,True,0.75,Aslan Karatsev,1.75,1004.9699999999999
Aslan Karatsev vs Luca Van Assche,p1,1.68,0.1839435362730026,1,True,0.6799999999999999,Aslan Karatsev,1.68,1005.6499999999999
Aslan Karatsev vs Luca Van Assche,p1,1.75,0.1962078812752401,1,True,0.75,Aslan Karatsev,1.75,1006.3999999999999
Aslan Karatsev vs Luca Van Assche,p1,1.75,0.1962078812752401,1,True,0.75,Aslan Karatsev,1.75,1007.1499999999999
Aslan Karatsev vs Luca Van Assche,p1,1.6,0.1614006597944965,1,True,0.6000000000000001,Aslan Karatsev,1.6,1007.7499999999999
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1008.3799999999999
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1009.0099999999999
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1009.6399999999999
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1010.2699999999999
Aslan Karatsev vs Luca Van Assche,p1,1.75,0.1962078812752401,1,True,0.75,Aslan Karatsev,1.75,1011.0199999999999
Aslan Karatsev vs Luca Van Assche,p1,1.77,0.2116719183923234,1,True,0.77,Aslan Karatsev,1.77,1011.7899999999998
Aslan Karatsev vs Luca Van Assche,p1,1.77,0.2116719183923234,1,True,0.77,Aslan Karatsev,1.77,1012.5599999999998
Aslan Karatsev vs Luca Van Assche,p1,1.77,0.2037089587952474,1,True,0.77,Aslan Karatsev,1.77,1013.3299999999998
Aslan Karatsev vs Luca Van Assche,p1,1.77,0.2116719183923234,1,True,0.77,Aslan Karatsev,1.77,1014.0999999999998
Aslan Karatsev vs Luca Van Assche,p1,1.74,0.1924436868351513,1,True,0.74,Aslan Karatsev,1.74,1014.8399999999998
Aslan Karatsev vs Luca Van Assche,p1,1.73,0.1963596426612099,1,True,0.73,Aslan Karatsev,1.73,1015.5699999999998
Aslan Karatsev vs Luca Van Assche,p1,1.73,0.1963596426612099,1,True,0.73,Aslan Karatsev,1.73,1016.2999999999998
Aslan Karatsev vs Luca Van Assche,p1,1.79,0.2111750291112579,1,True,0.79,Aslan Karatsev,1.79,1017.0899999999998
Aslan Karatsev vs Luca Van Assche,p1,1.8,0.2062566546102209,1,True,0.8,Aslan Karatsev,1.8,1017.8899999999998
Aslan Karatsev vs Luca Van Assche,p1,1.8,0.2409429224348847,1,True,0.8,Aslan Karatsev,1.8,1018.6899999999997
Aslan Karatsev vs Luca Van Assche,p1,1.78,0.2074462668480876,1,True,0.78,Aslan Karatsev,1.78,1019.4699999999997
Aslan Karatsev vs Luca Van Assche,p1,1.77,0.2116719183923234,1,True,0.77,Aslan Karatsev,1.77,1020.2399999999997
Aslan Karatsev vs Luca Van Assche,p1,1.75,0.204034436882067,1,True,0.75,Aslan Karatsev,1.75,1020.9899999999997
Aslan Karatsev vs Luca Van Assche,p1,1.76,0.2047525533055567,1,True,0.76,Aslan Karatsev,1.76,1021.7499999999997
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1022.3799999999997
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1023.0099999999996
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1023.6399999999996
Aslan Karatsev vs Luca Van Assche,p1,1.63,0.1795834998416541,1,True,0.6299999999999999,Aslan Karatsev,1.63,1024.2699999999998
Aslan Karatsev vs Luca Van Assche,p1,1.75,0.204034436882067,1,True,0.75,Aslan Karatsev,1.75,1025.0199999999998
Aslan Karatsev vs Luca Van Assche,p1,1.57,0.1454698925237429,1,True,0.5700000000000001,Aslan Karatsev,1.57,1025.5899999999997
Aslan Karatsev vs Luca Van Assche,p1,1.73,0.1805315699775338,1,True,0.73,Aslan Karatsev,1.73,1026.3199999999997
Aslan Karatsev vs Luca Van Assche,p1,1.67,0.1799728947870753,1,True,0.6699999999999999,Aslan Karatsev,1.67,1026.9899999999998
Aslan Karatsev vs Luca Van Assche,p1,1.78,0.2074462668480876,1,True,0.78,Aslan Karatsev,1.78,1027.7699999999998
Aslan Karatsev vs Luca Van Assche,p1,1.74,0.1924436868351513,1,True,0.74,Aslan Karatsev,1.74,1028.5099999999998
Aslan Karatsev vs Luca Van Assche,p1,1.73,0.1963596426612099,1,True,0.73,Aslan Karatsev,1.73,1029.2399999999998
Aslan Karatsev vs Luca Van Assche,p1,1.75,0.204034436882067,1,True,0.75,Aslan Karatsev,1.75,1029.9899999999998
Aslan Karatsev vs Luca Van Assche,p1,1.69,0.1879030499227942,1,True,0.69,Aslan Karatsev,1.69,1030.6799999999998
Aslan Karatsev vs Luca Van Assche,p1,1.71,0.1886457487549777,1,True,0.71,Aslan Karatsev,1.71,1031.3899999999999
Aslan Karatsev vs Luca Van Assche,p1,1.73,0.1963596426612099,1,True,0.73,Aslan Karatsev,1.73,1032.12
Aslan Karatsev vs Luca Van Assche,p1,1.79,0.2370046750813912,1,True,0.79,Aslan Karatsev,1.79,1032.9099999999999
Aslan Karatsev vs Luca Van Assche,p1,1.79,0.2370046750813912,1,True,0.79,Aslan Karatsev,1.79,1033.6999999999998
Aslan Karatsev vs Luca Van Assche,p1,1.79,0.2370046750813912,1,True,0.79,Aslan Karatsev,1.79,1034.4899999999998
Brandon Nakashima vs Jordan Thompson,p1,1.9,0.2219757248923357,1,False,-1.0,Brandon Nakashima,0.0,1033.4899999999998
Brandon Nakashima vs Jordan Thompson,p1,1.94,0.2265328079464552,1,False,-1.0,Brandon Nakashima,0.0,1032.4899999999998
Brandon Nakashima vs Jordan Thompson,p1,1.91,0.220997432344407,1,False,-1.0,Brandon Nakashima,0.0,1031.4899999999998
Brandon Nakashima vs Jordan Thompson,p1,1.94,0.2265328079464552,1,False,-1.0,Brandon Nakashima,0.0,1030.4899999999998
Brandon Nakashima vs Jordan Thompson,p1,1.91,0.2275596018367491,1,False,-1.0,Brandon Nakashima,0.0,1029.4899999999998
Brandon Nakashima vs Jordan Thompson,p1,1.93,0.2490650925617628,1,False,-1.0,Brandon Nakashima,0.0,1028.4899999999998
Brandon Nakashima vs Jordan Thompson,p1,1.91,0.2141937528100204,1,False,-1.0,Brandon Nakashima,0.0,1027.4899999999998
Brandon Nakashima vs Jordan Thompson,p1,1.9,0.2153819163774262,1,False,-1.0,Brandon Nakashima,0.0,1026.4899999999998
