match,side,stake,odds,ev,win,profit,bankroll
David Goffin vs Hubert Hurkacz,p2,100.0,1.48,0.0588568516897507,True,48.0,1048.0
David Goffin vs Hubert Hurkacz,p2,104.80000000000001,1.47,0.0748318890136828,True,49.256,1097.256
David Goffin vs Hubert Hurkacz,p2,109.72560000000001,1.46,0.069739510692091,True,50.473776,1147.7297760000001
Maxime Cressy vs Sebastian Ofner,p2,114.77297760000002,1.42,0.0545762388863256,True,48.204650592,1195.9344265920001
Maxime Cressy vs Sebastian Ofner,p2,119.59344265920002,1.43,0.0648906297936716,True,51.425180343456,1247.3596069354562
Maxime Cressy vs Sebastian Ofner,p2,124.73596069354562,1.43,0.0648906297936716,True,53.63646309822461,1300.9960700336808
Patrick Kypson vs Radu Albot,p2,130.09960700336808,1.42,0.0545762388863256,True,54.64183494141459,1355.6379049750954
Patrick Kypson vs Radu Albot,p2,135.56379049750953,1.43,0.074547116540508,True,58.29242991392909,1413.9303348890244
Patrick Kypson vs Radu Albot,p2,141.39303348890243,1.42,0.0692002497857361,True,59.38507406533901,1473.3154089543634
Pedro Martinez vs Tallon Griekspoor,p2,117.67820301740457,2.04,0.08306797742987,True,122.38533113810075,1595.7007400924642
Pedro Martinez vs Tallon Griekspoor,p2,159.57007400924644,2.13,0.1306996913207984,True,180.31418363044847,1776.0149237229127
Pedro Martinez vs Tallon Griekspoor,p2,141.85573807589154,2.04,0.08306797742987,True,147.52996759892721,1923.54489132184
Pedro Martinez vs Tallon Griekspoor,p2,153.63940732467725,2.04,0.08306797742987,True,159.78498361766435,2083.3298749395044
Pedro Martinez vs Tallon Griekspoor,p2,151.04776456688808,2.01,0.0732280778227629,True,152.55824221255693,2235.8881171520616
Pedro Martinez vs Tallon Griekspoor,p2,145.41547118202092,2.05,0.0682888573761036,True,152.68624474112195,2388.5743618931833
Pedro Martinez vs Tallon Griekspoor,p2,190.78273190702797,2.04,0.08306797742987,True,198.41404118330908,2586.9884030764924
Pedro Martinez vs Tallon Griekspoor,p2,187.56454268026786,2.01,0.0732280778227629,True,189.4401881070705,2776.4285911835627
