match,side,stake,odds,ev,win,profit,bankroll
Juncheng Shang vs Oscar Otte,p1,100.0,1.17,0.0527897896047566,True,16.999999999999993,1017.0
Juncheng Shang vs Oscar Otte,p1,101.7,1.25,0.0728616207262208,True,25.425,1042.425
Juncheng Shang vs Oscar Otte,p1,104.2425,1.19,0.0571018925062871,True,19.806074999999996,1062.231075
Gregoire Barrere vs Tomas Martin Etcheverry,p1,82.37454318219754,3.0,0.1550972196557092,False,-82.37454318219754,979.8565318178024
Gregoire Barrere vs Tomas Martin Etcheverry,p1,71.3053696680903,3.1,0.1528195929103966,False,-71.3053696680903,908.5511621497121
Gregoire Barrere vs Tomas Martin Etcheverry,p1,90.85511621497122,2.8,0.2138433870071424,False,-90.85511621497122,817.6960459347409
Gregoire Barrere vs Tomas Martin Etcheverry,p1,81.7696045934741,2.85,0.2977628626821909,False,-81.7696045934741,735.9264413412668
Gregoire Barrere vs Tomas Martin Etcheverry,p1,33.39119086538116,3.1,0.0952833012624198,False,-33.39119086538116,702.5352504758856
Gregoire Barrere vs Tomas Martin Etcheverry,p1,70.25352504758857,2.9,0.2117834818756374,False,-70.25352504758857,632.281725428297
Gregoire Barrere vs Tomas Martin Etcheverry,p1,63.228172542829704,2.75,0.2814877713037561,False,-63.228172542829704,569.0535528854673
Gregoire Barrere vs Tomas Martin Etcheverry,p1,38.814209210781314,3.0,0.136416718651411,False,-38.814209210781314,530.239343674686
Gregoire Barrere vs Tomas Martin Etcheverry,p1,47.52283454143706,2.95,0.1747692404595634,False,-47.52283454143706,482.7165091332489
Gregoire Barrere vs Tomas Martin Etcheverry,p1,40.121222547284546,2.9,0.1579194442235205,False,-40.121222547284546,442.59528658596435
Gregoire Barrere vs Tomas Martin Etcheverry,p1,36.78652719663435,2.9,0.1579194442235205,False,-36.78652719663435,405.80875938933
Gregoire Barrere vs Tomas Martin Etcheverry,p1,40.580875938933005,2.75,0.2651683292898072,False,-40.580875938933005,365.22788345039703
Gregoire Barrere vs Tomas Martin Etcheverry,p1,36.52278834503971,2.2,0.1450299507815833,False,-36.52278834503971,328.7050951053573
Gregoire Barrere vs Tomas Martin Etcheverry,p1,32.87050951053573,3.25,0.2271306582625147,False,-32.87050951053573,295.8345855948216
Gregoire Barrere vs Tomas Martin Etcheverry,p1,29.58345855948216,2.93,0.2810739195014908,False,-29.58345855948216,266.25112703533944
Gregoire Barrere vs Tomas Martin Etcheverry,p1,26.625112703533944,2.75,0.2651683292898072,False,-26.625112703533944,239.6260143318055
Gregoire Barrere vs Tomas Martin Etcheverry,p1,16.344497289330445,3.0,0.136416718651411,False,-16.344497289330445,223.28151704247506
Gregoire Barrere vs Tomas Martin Etcheverry,p1,22.328151704247507,2.75,0.2651683292898072,False,-22.328151704247507,200.95336533822754
Gregoire Barrere vs Tomas Martin Etcheverry,p1,20.095336533822756,2.4,0.3646345239374411,False,-20.095336533822756,180.8580288044048
Gregoire Barrere vs Tomas Martin Etcheverry,p1,18.08580288044048,2.65,0.2820498458529683,False,-18.08580288044048,162.77222592396433
Gregoire Barrere vs Tomas Martin Etcheverry,p1,16.277222592396434,2.8,0.2138433870071424,False,-16.277222592396434,146.4950033315679
Gregoire Barrere vs Tomas Martin Etcheverry,p1,14.649500333156789,2.75,0.2651683292898072,False,-14.649500333156789,131.8455029984111
Gregoire Barrere vs Tomas Martin Etcheverry,p1,8.992965443994006,3.0,0.136416718651411,False,-8.992965443994006,122.85253755441708
Gregoire Barrere vs Tomas Martin Etcheverry,p1,9.170114319710175,2.88,0.1403293351870637,False,-9.170114319710175,113.6824232347069
Gregoire Barrere vs Tomas Martin Etcheverry,p1,7.75409157300982,3.0,0.136416718651411,False,-7.75409157300982,105.92833166169709
Botic Van de Zandschulp vs Ilya Ivashka,p2,8.255444513909321,2.65,0.128591503654124,True,13.621483447950379,119.54981510964747
Botic Van de Zandschulp vs Ilya Ivashka,p2,11.954981510964748,2.3,0.2875857195524168,True,15.54147596425417,135.09129107390163
Botic Van de Zandschulp vs Ilya Ivashka,p2,13.509129107390164,2.25,0.2748406953514572,True,16.886411384237704,151.97770245813933
Botic Van de Zandschulp vs Ilya Ivashka,p2,15.197770245813935,2.25,0.2858444672115961,True,18.997212807267417,170.97491526540676
Botic Van de Zandschulp vs Ilya Ivashka,p2,17.097491526540676,2.25,0.2858444672115961,True,21.371864408175846,192.3467796735826
Botic Van de Zandschulp vs Ilya Ivashka,p2,19.234677967358262,1.95,0.4226572817028584,True,18.27294406899035,210.61972374257294
Botic Van de Zandschulp vs Ilya Ivashka,p2,21.061972374257294,2.12,0.3556269273083581,True,23.589409059168172,234.2091328017411
Botic Van de Zandschulp vs Ilya Ivashka,p2,23.420913280174112,1.97,0.4019164236001288,True,22.71828588176889,256.92741868351
Botic Van de Zandschulp vs Ilya Ivashka,p2,25.692741868351,2.23,0.2958078547396499,True,31.602072498071728,288.5294911815817
Botic Van de Zandschulp vs Ilya Ivashka,p2,28.852949118158172,1.98,0.4038993280102383,True,28.27589013579501,316.8053813173767
Botic Van de Zandschulp vs Ilya Ivashka,p2,14.757217528554444,2.94,0.0903677894811862,True,28.62900200539562,345.4343833227723
Botic Van de Zandschulp vs Ilya Ivashka,p2,14.638108497570059,2.82,0.0771242202623586,True,26.641357465577507,372.07574078834983
Botic Van de Zandschulp vs Ilya Ivashka,p2,37.20757407883499,2.36,0.2294417078003678,True,50.60230074721558,422.6780415355654
Botic Van de Zandschulp vs Ilya Ivashka,p2,42.26780415355654,1.91,0.3955118103208297,True,38.463701779736446,461.1417433153018
Botic Van de Zandschulp vs Ilya Ivashka,p2,46.11417433153019,2.38,0.1779414035961104,True,63.63756057751165,524.7793038928135
Botic Van de Zandschulp vs Ilya Ivashka,p2,52.47793038928135,2.15,0.3496289095354971,True,60.349619947673546,585.128923840487
Botic Van de Zandschulp vs Ilya Ivashka,p2,58.512892384048705,1.97,0.4019164236001288,True,56.75750561252724,641.8864294530142
Botic Van de Zandschulp vs Ilya Ivashka,p2,64.18864294530142,1.95,0.3847798662209312,True,60.97921079803635,702.8656402510505
Botic Van de Zandschulp vs Ilya Ivashka,p2,70.28656402510505,1.97,0.4019164236001288,True,68.1779671043519,771.0436073554024
Corentin Moutet vs Yibing Wu,p1,71.44275796573501,2.9,0.1760487199945468,True,135.74124013489651,906.784847490299
Corentin Moutet vs Yibing Wu,p1,84.02016405848288,2.9,0.1760487199945468,True,159.63831171111747,1066.4231592014164
Corentin Moutet vs Yibing Wu,p1,106.64231592014164,2.7,0.2976041145690818,True,181.2919370642408,1247.7150962656572
Corentin Moutet vs Yibing Wu,p1,124.77150962656572,2.85,0.2127602989115278,True,230.8272928091466,1478.5423890748039
Corentin Moutet vs Yibing Wu,p1,136.99762897594653,2.9,0.1760487199945468,True,260.2954950542984,1738.8378841291023
Corentin Moutet vs Yibing Wu,p1,173.88378841291023,2.08,0.1530776314122993,True,187.79449148594307,1926.6323756150455
Corentin Moutet vs Yibing Wu,p1,184.80510463743613,2.85,0.1774544266495648,True,341.88944357925686,2268.521819194302
Corentin Moutet vs Yibing Wu,p1,226.85218191943022,2.9,0.2117834818756374,True,431.0191456469174,2699.5409648412196
Corentin Moutet vs Yibing Wu,p1,269.954096484122,2.9,0.2117834818756374,True,512.9127833198318,3212.4537481610514
Corentin Moutet vs Yibing Wu,p1,321.24537481610514,2.9,0.2117834818756374,True,610.3662121505997,3822.819960311651
Corentin Moutet vs Yibing Wu,p1,382.28199603116514,3.1,0.2993841492018518,True,802.7921916654468,4625.612151977098
Corentin Moutet vs Yibing Wu,p2,462.56121519770977,2.13,0.4072771002097986,False,-462.56121519770977,4163.0509367793875
Corentin Moutet vs Yibing Wu,p1,302.9503568685101,3.1,0.1528195929103966,True,636.1957494238712,4799.246686203259
Corentin Moutet vs Yibing Wu,p1,479.9246686203259,2.6,0.3423263083430466,True,767.8794697925215,5567.12615599578
Corentin Moutet vs Yibing Wu,p1,556.712615599578,2.85,0.2977628626821909,True,1029.9183388592194,6597.044494854999
Corentin Moutet vs Yibing Wu,p1,659.7044494854999,2.8,0.2479487776390463,True,1187.4680090738998,7784.5125039289
Corentin Moutet vs Yibing Wu,p1,778.45125039289,2.62,0.2822464249279079,True,1261.0910256364818,9045.603529565382
Corentin Moutet vs Yibing Wu,p1,904.5603529565383,2.75,0.2651683292898072,True,1582.980617673942,10628.584147239324
Corentin Moutet vs Yibing Wu,p1,1062.8584147239324,2.0,0.5111936933960504,True,1062.8584147239324,11691.442561963257
Corentin Moutet vs Yibing Wu,p1,1169.1442561963256,2.55,0.341473653680244,True,1812.1735971043045,13503.616159067562
Corentin Moutet vs Yibing Wu,p1,1350.3616159067562,2.62,0.2822464249279079,True,2187.585817768945,15691.201976836506
Corentin Moutet vs Yibing Wu,p1,1569.1201976836508,2.6,0.3423263083430466,True,2510.5923162938416,18201.794293130348
Corentin Moutet vs Yibing Wu,p1,1686.5276773208655,2.9,0.1760487199945468,True,3204.402586909644,21406.19688003999
