match,side,odds,ev,stake,win,profit,player_staked,player_payout,bankroll
Cristina Bucsa vs Petra Kvitova,p1,4.1,0.0825884711450712,20.0,False,-20.0,Cristina Bucsa,0.0,980.0
Clervie Ngounoue vs Daria Saville,p1,3.1,0.0578847769755177,19.6,False,-19.6,Clervie Ngounoue,0.0,960.4
Belinda Bencic vs Kamilla Rakhimova,p2,6.25,0.2086632437194517,19.208,False,-19.208,Kamilla Rakhimova,0.0,941.192
Karolina Muchova vs Storm Hunter,p2,8.5,0.4420048046908165,18.82384,False,-18.82384,Storm Hunter,0.0,922.36816
Fiona Ferro vs Victoria Azarenka,p1,7.5,0.4150333350561717,18.4473632,False,-18.4473632,Fiona Ferro,0.0,903.9207968
Mirra Andreeva vs Olivia Gadecki,p2,4.27,0.0587571563097657,16.242145427897768,False,-16.242145427897768,Olivia Gadecki,0.0,887.6786513721022
Danielle Collins vs Linda Fruhvirtova,p2,5.5,0.1392653270487016,17.753573027442044,False,-17.753573027442044,Linda Fruhvirtova,0.0,869.9250783446602
Nadia Podoroska vs Qinwen Zheng,p1,4.58,0.1341002381198794,17.398501566893202,False,-17.398501566893202,Nadia Podoroska,0.0,852.526576777767
Barbora Krejcikova vs Lucia Bronzetti,p2,4.8,0.0805761731791891,17.05053153555534,True,64.7920198351103,Lucia Bronzetti,81.84255137066563,917.3185966128773
Karolina Muchova vs Magdalena Frech,p2,7.5,0.3577044957603572,18.346371932257547,False,-18.346371932257547,Magdalena Frech,0.0,898.9722246806198
Arantxa Rus vs Madison Keys,p1,5.4,0.1851389408211643,17.979444493612394,False,-17.979444493612394,Arantxa Rus,0.0,880.9927801870074
Claire Liu vs Liudmila Samsonova,p1,4.8,0.1260112411749463,17.61985560374015,False,-17.61985560374015,Claire Liu,0.0,863.3729245832673
Camila Giorgi vs Jessica Pegula,p1,4.4,0.0828613152681276,17.267458491665344,False,-17.267458491665344,Camila Giorgi,0.0,846.1054660916019
Alycia Parks vs Daria Kasatkina,p1,5.15,0.120365046270479,16.92210932183204,False,-16.92210932183204,Alycia Parks,0.0,829.1833567697698
Patricia Maria Tig vs Rebecca Marino,p1,6.25,0.2602417190449382,16.583667135395398,True,87.06425246082584,Patricia Maria Tig,103.64791959622124,916.2476092305957
