market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2
1.229273413,Dusan Lajovic,Roman Safiullin,,,c8f6438ce3,,,,,4688724,9125686
1.229273421,Mayar Sherif,Yue Yuan,,,f691d39b2f,Mayar Sherif,Mayar Sherif,Yue Yuan,2024-05-27,9028621,9634353
1.229273561,Lin Zhu,Elina Avanesyan,,,f6d92fe35d,Elina Avanesyan,Elina Avanesyan,Lin Zhu,2024-05-27,8714569,14383103
1.22927365,Rafael Nadal,Alexander Zverev,,,1fb1f7ff36,,,,,2251410,19924823
1.229273786,Pedro Cachin,Tommy Paul,,,379b6202d1,,,,,8461316,8859306
1.229273973,Aleksandar Vukic,Zhizhen Zhang,,,341e574b1e,,,,,8979695,9628959
1.229274139,Grigor Dimitrov,Aleksandar Kovacevic,,,e046cb6def,,,,,3120169,11439844
1.229274577,Elise Mertens,Maria Carle,,,edc5fa6d2c,,,,,9002334,9630728
1.229274609,Ons Jabeur,Sachia Vickery,,,96e28c92c4,Ons Jabeur,Ons Jabeur,Sachia Vickery,2024-05-27,6161111,6596286
1.229274766,Daria Kasatkina,Magdalena Frech,,,301cbd0047,Daria Kasatkina,Daria Kasatkina,Magdalena Frech,2024-05-27,7795290,8444351
1.229274973,Fabio Fognini,Botic Van de Zandschulp,,,e56c99a3aa,,,,,2319544,11204614
1.229275008,Yoshihito Nishioka,Felix Auger-Aliassime,,,8cd93ddfbc,,,,,7137497,12210252
1.229275226,Nuno Borges,Tomas Machac,,,636d911354,,,,,9633043,16149495
1.229275549,Dominik Koepfer,Daniil Medvedev,,,e9da22b99f,,,,,9953145,19924831
1.229275733,Karen Khachanov,Sumit Nagal,,,08a2eac4c0,,,,,7659623,8173039
1.229275994,Lorenzo Sonego,Ugo Humbert,,,13aef0ff52,,,,,8826925,9633253
1.229276216,Magda Linette,Liudmila Samsonova,,,3e8b7cda32,Liudmila Samsonova,Liudmila Samsonova,Magda Linette,2024-05-27,7083215,21067365
1.229276562,Anna Blinkova,Sorana Cirstea ,,,0447b0234f,Anna Blinkova,Anna Blinkova,Sorana Cirstea,2024-05-27,9635244,51395204
1.229276587,Pablo Carreno Busta,Mariano Navone,,,55b9031e09,,,,,5479878,21809027
1.229276753,Rinky Hijikata,Luciano Darderi,,,762e19a643,,,,,12343905,26309941
1.229276792,Andy Murray,Stan Wawrinka,,,bb6603efbb,,,,,2256509,19924832
1.229277202,Xiyu Wang,Zhuoxuan Bai,,,97a3ed694a,Xiyu Wang,Xiyu Wang,Zhuoxuan Bai,2024-05-27,11352357,25078969
1.229277566,Thanasi Kokkinakis,Alexei Popyrin,,,1e969b8ee3,,,,,8172416,10706479
1.229277725,Petra Martic,Kristina Mladenovic,,,b37a3ca1aa,Petra Martic,Petra Martic,Kristina Mladenovic,2024-05-27,2346703,3622052
1.229277924,Pavel Kotov,Cameron Norrie,,,ae6285f4c0,,,,,10166537,42669524
1.229277991,Jasmine Paolini,Daria Saville,,,e20d52f8c1,Jasmine Paolini,Jasmine Paolini,Daria Saville,2024-05-27,8944356,42231870
1.22927806,Fiona Ferro,Diane Parry,,,6a033d7352,Diane Parry,Diane Parry,Fiona Ferro,2024-05-27,8535268,12737413
1.229278363,Marketa Vondrousova,Rebeka Masarova,,,b25b132fed,Marketa Vondrousova,Marketa Vondrousova,Rebeka Masarova,2024-05-27,9433253,10372262
1.229278531,Emil Ruusuvuori,Soonwoo Kwon,,,6e36fd921a,,,,,8979329,16149526
1.229278733,Sebastian Ofner,Terence Atmane,,,b522a7ec78,,,,,9631178,26402939
1.229279234,Tamara Korpatsch,Ashlyn Krueger,,,789a3dc0b6,Tamara Korpatsch,Tamara Korpatsch,Ashlyn Krueger,2024-05-27,9166525,24143371
