market_id,player_1,player_2,odds_player_1,odds_player_2,match_date,actual_winner,winner_name,loser_name
1.21100303,Federico Coria,Diego Schwartzman,2.96,1.53,2023-03-06,Diego Schwartzman,Diego Schwartzman,Federico Coria
1.211003031,Bernabe Zapata Miralles,Ugo Humbert,9.2,1.13,2023-03-06,Ugo Humbert,Ugo Humbert,Bernabe Zapata Miralles
1.211003317,Andy Murray,Tomas Martin Etcheverry,1.04,26.0,2023-03-06,Andy Murray,Andy Murray,Tomas Martin Etcheverry
1.211003344,Jaume Munar,Yibing Wu,3.2,1.01,2023-03-06,Yibing Wu,Yibing Wu,Jaume Munar
1.211003717,Guido Pella,Thiago Monteiro,1.01,55.0,2023-03-06,Guido Pella,Guido Pella,Thiago Monteiro
1.21100373,Aleksandar Kovacevic,Marcos Giron,36.0,1.01,2023-03-06,Marcos Giron,Marcos Giron,Aleksandar Kovacevic
1.211003754,Pedro Martinez,Marc-Andrea Huesler,2.92,1.52,2023-03-06,Pedro Martinez,Pedro Martinez,Marc Andrea Huesler
1.211004101,Nikoloz Basilashvili,Pedro Cachin,110.0,1.02,2023-03-06,Pedro Cachin,Pedro Cachin,Nikoloz Basilashvili
1.211004112,Jack Sock,Gregoire Barrere,2.42,1.67,2023-03-06,Jack Sock,Jack Sock,Gregoire Barrere
1.211004136,Adrian Mannarino,Dominic Thiem,1.74,2.74,2023-03-06,Adrian Mannarino,Adrian Mannarino,Dominic Thiem
1.2110045,Ilya Ivashka,Roman Safiullin,2.22,1.82,2023-03-06,Ilya Ivashka,Ilya Ivashka,Roman Safiullin
1.211004523,Fabio Fognini,Ben Shelton,4.1,1.32,2023-03-06,Ben Shelton,Ben Shelton,Fabio Fognini
1.21100487,Jordan Thompson,Gael Monfils,1.71,2.4,2023-03-06,Jordan Thompson,Jordan Thompson,Gael Monfils
1.211004906,Jiri Lehecka,Arthur Rinderknech,1.03,21.0,2023-03-06,Jiri Lehecka,Jiri Lehecka,Arthur Rinderknech
1.211005254,Laslo Djere,Oscar Otte,100.0,2.28,2023-03-06,Oscar Otte,Oscar Otte,Laslo Djere
1.211005447,Brandon Nakashima,John Isner,2.06,100.0,2023-03-06,Brandon Nakashima,Brandon Nakashima,John Isner
1.211005578,Constant Lestienne,Emil Ruusuvuori,2.66,1.6,2023-03-06,Emil Ruusuvuori,Emil Ruusuvuori,Constant Lestienne
1.211005705,Jason Kubler,Lorenzo Sonego,3.0,1.5,2023-03-06,Jason Kubler,Jason Kubler,Lorenzo Sonego
1.21104703,Maximilian Marterer,Alejandro Tabilo,2.2,1.81,2023-03-06,Alejandro Tabilo,Alejandro Tabilo,Maximilian Marterer
1.211047031,Cristian Garin,Daniel Elahi Galan,1.56,2.76,2023-03-06,Cristian Garin,Cristian Garin,Daniel Elahi Galan
1.211047044,Roberto Carballes Baena,Taro Daniel,3.0,1.47,2023-03-06,Taro Daniel,Taro Daniel,Roberto Carballes Baena
1.211047317,Tung-Lin Wu,Alexander Bublik,4.8,21.0,2023-03-06,Tung Lin Wu,Tung Lin Wu,Alexander Bublik
1.211047645,Brandon Holt,Thanasi Kokkinakis,4.5,1.27,2023-03-06,Thanasi Kokkinakis,Thanasi Kokkinakis,Brandon Holt
1.211047822,Stan Wawrinka,Aleksandar Vukic,1.57,2.74,2023-03-06,Stan Wawrinka,Stan Wawrinka,Aleksandar Vukic
1.211048012,Alexei Popyrin,Zhizhen Zhang,1.64,2.48,2023-03-06,Alexei Popyrin,Alexei Popyrin,Zhizhen Zhang
1.211048269,Jack Draper,Leandro Riedi,1.63,2.6,2023-03-06,Jack Draper,Jack Draper,Leandro Riedi
1.211073508,Frances Tiafoe,Marcos Giron,1.4,3.5,2023-03-06,Frances Tiafoe,Frances Tiafoe,Marcos Giron
1.211074863,Denis Shapovalov,Ugo Humbert,1.58,2.8,2023-03-06,Ugo Humbert,Ugo Humbert,Denis Shapovalov
1.211074867,Botic Van de Zandschulp,Ilya Ivashka,1.59,2.68,2023-03-06,Ilya Ivashka,Ilya Ivashka,Botic Van De Zandschulp
1.211075054,Karen Khachanov,Oscar Otte,1.27,150.0,2023-03-06,Karen Khachanov,Karen Khachanov,Oscar Otte
1.211079674,Alexander Zverev,Pedro Cachin,1.1,11.5,2023-03-06,Alexander Zverev,Alexander Zverev,Pedro Cachin
1.211079676,Roberto Bautista Agut,Emil Ruusuvuori,34.0,1.03,2023-03-06,Emil Ruusuvuori,Emil Ruusuvuori,Roberto Bautista Agut
1.211079863,Brandon Nakashima,Daniil Medvedev,220.0,1.1,2023-03-06,Daniil Medvedev,Daniil Medvedev,Brandon Nakashima
1.211081427,Grigor Dimitrov,Jason Kubler,200.0,1.01,2023-03-06,Jason Kubler,Jason Kubler,Grigor Dimitrov
1.211084223,Quentin Halys,Jan-Lennard Struff,2.2,1.03,2023-03-06,Jan Lennard Struff,Jan Lennard Struff,Quentin Halys
1.211084707,Taro Daniel,Matteo Berrettini,1.01,14.0,2023-03-06,Taro Daniel,Taro Daniel,Matteo Berrettini
1.211084708,Cristian Garin,Yoshihito Nishioka,2.46,1.69,2023-03-06,Cristian Garin,Cristian Garin,Yoshihito Nishioka
1.211085693,Jiri Lehecka,Andrey Rublev,320.0,1.77,2023-03-06,Andrey Rublev,Andrey Rublev,Jiri Lehecka
1.211090249,Diego Schwartzman,Casper Ruud,4.2,1.32,2023-03-06,Casper Ruud,Casper Ruud,Diego Schwartzman
1.21109461,Jordan Thompson,Stefanos Tsitsipas,1.02,8.8,2023-03-06,Jordan Thompson,Jordan Thompson,Stefanos Tsitsipas
1.211095859,Maxime Cressy,Alejandro Tabilo,1.53,1.16,2023-03-06,Alejandro Tabilo,Alejandro Tabilo,Maxime Cressy
1.211128573,Mackenzie McDonald,Holger Rune,100.0,1.43,2023-03-06,Holger Rune,Holger Rune,Mackenzie Mcdonald
1.211129145,Stan Wawrinka,Miomir Kecmanovic,2.06,1.95,2023-03-06,Stan Wawrinka,Stan Wawrinka,Miomir Kecmanovic
1.211131599,Jan-Lennard Struff,Tommy Paul,3.5,1.45,2023-03-06,Tommy Paul,Tommy Paul,Jan Lennard Struff
1.211134618,Carlos Alcaraz,Thanasi Kokkinakis,1.35,3.8,2023-03-06,Carlos Alcaraz,Carlos Alcaraz,Thanasi Kokkinakis
1.211136166,Taylor Fritz,Ben Shelton,1.01,100.0,2023-03-06,Taylor Fritz,Taylor Fritz,Ben Shelton
1.211143815,Borna Coric,Alex Molcan,36.0,1.02,2023-03-06,Alex Molcan,Alex Molcan,Borna Coric
1.211143925,Alex De Minaur,Marton Fucsovics,100.0,1.01,2023-03-06,Marton Fucsovics,Marton Fucsovics,Alex De Minaur
1.211153532,Sebastian Baez,Rinky Hijikata,2.04,180.0,2023-03-06,Sebastian Baez,Sebastian Baez,Rinky Hijikata
1.211162243,Lorenzo Musetti,Adrian Mannarino,34.0,1.01,2023-03-06,Adrian Mannarino,Adrian Mannarino,Lorenzo Musetti
1.211163226,Francisco Cerundolo,Jack Sock,1.94,2.06,2023-03-06,Francisco Cerundolo,Francisco Cerundolo,Jack Sock
1.211164289,Alexei Popyrin,Hubert Hurkacz,4.8,1.26,2023-03-06,Hubert Hurkacz,Hubert Hurkacz,Alexei Popyrin
1.211197168,Cristian Garin,Casper Ruud,4.1,1.32,2023-03-06,Cristian Garin,Cristian Garin,Casper Ruud
1.211206929,Jordan Thompson,Alejandro Tabilo,8.6,1.01,2023-03-06,Alejandro Tabilo,Alejandro Tabilo,Jordan Thompson
1.211207078,Alexander Zverev,Emil Ruusuvuori,1.25,5.3,2023-03-06,Alexander Zverev,Alexander Zverev,Emil Ruusuvuori
1.211208714,Andy Murray,Radu Albot,1.02,4.3,2023-03-06,Andy Murray,Andy Murray,Radu Albot
1.211208921,Karen Khachanov,Alejandro Davidovich Fokina,3.9,1.01,2023-03-06,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Karen Khachanov
1.211210134,Cameron Norrie,Taro Daniel,1.27,290.0,2023-03-06,Cameron Norrie,Cameron Norrie,Taro Daniel
1.211211408,Frances Tiafoe,Jason Kubler,1.3,4.3,2023-03-06,Frances Tiafoe,Frances Tiafoe,Jason Kubler
1.21121294,Andrey Rublev,Ugo Humbert,1.29,4.4,2023-03-06,Andrey Rublev,Andrey Rublev,Ugo Humbert
1.211259816,Marton Fucsovics,Alex Molcan,1.7,2.42,2023-03-06,Marton Fucsovics,Marton Fucsovics,Alex Molcan
1.211261422,Jack Draper,Andy Murray,1.76,26.0,2023-03-06,Jack Draper,Jack Draper,Andy Murray
1.211267188,Francisco Cerundolo,Felix Auger-Aliassime,5.5,1.03,2023-03-06,Felix Auger Aliassime,Felix Auger Aliassime,Francisco Cerundolo
