market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y
1.21100303,Federico Coria,Diego Schwartzman,2.96,1.53,Diego Schwartzman,Diego Schwartzman,Federico Coria,2023-03-06,federico coria,diego schwartzman,8326752,8736474,2.96,1.53
1.211003031,Bernabe Zapata Miralles,Ugo Humbert,9.2,1.13,Ugo Humbert,Ugo Humbert,Bernabe Zapata Miralles,2023-03-06,bernabe zapata miralles,ugo humbert,9630472,9633253,9.2,1.13
1.211003039,Albert Ramos-Vinolas,Alex Molcan,1.81,2.22,Alex Molcan,Alex Molcan,Albert Ramos,2023-03-06,albert ramos vinolas,alex molcan,8621877,8960879,1.81,2.22
1.211003305,Marton Fucsovics,J.j. Wolf,1.06,17.5,Marton Fucsovics,Marton Fucsovics,J J Wolf,2023-03-06,marton fucsovics,jj wolf,4827766,24339655,1.06,17.5
1.211003317,Andy Murray,Tomas Martin Etcheverry,1.04,26.0,Andy Murray,Andy Murray,Tomas Martin Etcheverry,2023-03-06,andy murray,tomas martin etcheverry,2256509,9631399,1.04,26.0
1.211003344,Jaume Munar,Yibing Wu,3.2,1.01,Yibing Wu,Yibing Wu,Jaume Munar,2023-03-06,jaume munar,yibing wu,9350385,9633377,3.2,1.01
1.211003717,Guido Pella,Thiago Monteiro,1.01,55.0,Guido Pella,Guido Pella,Thiago Monteiro,2023-03-06,guido pella,thiago monteiro,6162610,8326656,1.01,55.0
1.21100373,Marcos Giron,Aleksandar Kovacevic,1.01,36.0,Marcos Giron,Marcos Giron,Aleksandar Kovacevic,2023-03-06,marcos giron,aleksandar kovacevic,8230256,11439844,1.01,36.0
1.211003754,Marc-Andrea Huesler,Pedro Martinez,1.52,2.92,Pedro Martinez,Pedro Martinez,Marc Andrea Huesler,2023-03-06,marc andrea huesler,pedro martinez,9631939,13181195,1.52,2.92
1.211004101,Nikoloz Basilashvili,Pedro Cachin,110.0,1.02,Pedro Cachin,Pedro Cachin,Nikoloz Basilashvili,2023-03-06,nikoloz basilashvili,pedro cachin,8257807,8461316,110.0,1.02
1.211004112,Jack Sock,Gregoire Barrere,2.42,1.67,Jack Sock,Jack Sock,Gregoire Barrere,2023-03-06,jack sock,gregoire barrere,4596957,8842295,2.42,1.67
1.211004136,Adrian Mannarino,Dominic Thiem,1.74,2.74,Adrian Mannarino,Adrian Mannarino,Dominic Thiem,2023-03-06,adrian mannarino,dominic thiem,3066621,5720747,1.74,2.74
1.2110045,Roman Safiullin,Ilya Ivashka,1.82,2.22,Ilya Ivashka,Ilya Ivashka,Roman Safiullin,2023-03-06,roman safiullin,ilya ivashka,9125686,19924837,1.82,2.22
1.211004523,Fabio Fognini,Ben Shelton,4.1,1.32,Ben Shelton,Ben Shelton,Fabio Fognini,2023-03-06,fabio fognini,ben shelton,2319544,39460566,4.1,1.32
1.21100487,Gael Monfils,Jordan Thompson,2.4,1.71,Jordan Thompson,Jordan Thompson,Gael Monfils,2023-03-06,gael monfils,jordan thompson,2257300,19924841,2.4,1.71
1.211004906,Arthur Rinderknech,Jiri Lehecka,21.0,1.03,Jiri Lehecka,Jiri Lehecka,Arthur Rinderknech,2023-03-06,arthur rinderknech,jiri lehecka,9953233,13203243,21.0,1.03
1.211005254,Laslo Djere,Oscar Otte,100.0,2.28,Oscar Otte,Oscar Otte,Laslo Djere,2023-03-06,laslo djere,oscar otte,7692106,9624731,100.0,2.28
1.211005447,John Isner,Brandon Nakashima,100.0,2.06,Brandon Nakashima,Brandon Nakashima,John Isner,2023-03-06,john isner,brandon nakashima,2474763,17806048,100.0,2.06
1.211005578,Constant Lestienne,Emil Ruusuvuori,2.66,1.6,Emil Ruusuvuori,Emil Ruusuvuori,Constant Lestienne,2023-03-06,constant lestienne,emil ruusuvuori,7797931,8979329,2.66,1.6
1.211005705,Jason Kubler,Lorenzo Sonego,3.0,1.5,Jason Kubler,Jason Kubler,Lorenzo Sonego,2023-03-06,jason kubler,lorenzo sonego,4448756,8826925,3.0,1.5
1.21104703,Maximilian Marterer,Alejandro Tabilo,2.2,1.81,Alejandro Tabilo,Alejandro Tabilo,Maximilian Marterer,2023-03-06,maximilian marterer,alejandro tabilo,7335940,9630879,2.2,1.81
1.211047031,Daniel Elahi Galan,Cristian Garin,2.76,1.56,Cristian Garin,Cristian Garin,Daniel Elahi Galan,2023-03-06,daniel elahi galan,cristian garin,8860646,23814703,2.76,1.56
1.211047044,Taro Daniel,Roberto Carballes Baena,1.47,3.0,Taro Daniel,Taro Daniel,Roberto Carballes Baena,2023-03-06,taro daniel,roberto carballes baena,8173434,42313578,1.47,3.0
1.211047317,Tung-Lin Wu,Alexander Bublik,4.8,21.0,Tung Lin Wu,Tung Lin Wu,Alexander Bublik,2023-03-06,tung lin wu,alexander bublik,8699708,8907933,4.8,21.0
1.211047645,Thanasi Kokkinakis,Brandon Holt,1.27,4.5,Thanasi Kokkinakis,Thanasi Kokkinakis,Brandon Holt,2023-03-06,thanasi kokkinakis,brandon holt,8172416,10410230,1.27,4.5
