market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date
1.211000052,Shelby Rogers,Katie Volynets,1.41,3.4,Shelby Rogers,Shelby Rogers,Katie Volynets,2023-03-06
1.211000396,Nuria Parrizas Diaz,Elisabetta Cocciaretto,3.0,50.0,Nuria Parrizas Diaz,Nuria Parrizas Diaz,Elisabetta Cocciaretto,2023-03-06
1.211000652,Elizabeth Mandlik,Alison Riske-Amritraj,2.74,1.57,Elizabeth Mandlik,Elizabeth Mandlik,Alison Riske Amritraj,2023-03-06
1.211001146,Rebecca Marino,Marketa Vondrousova,4.6,1.25,Marketa Vondrousova,Marketa Vondrousova,Rebecca Marino,2023-03-06
1.211001195,Sloane Stephens,Sofia Kenin,50.0,2.14,Sofia Kenin,Sofia Kenin,Sloane Stephens,2023-03-06
1.211001409,Kaia Kanepi,Aliaksandra Sasnovich,13.5,1.01,Aliaksandra Sasnovich,Aliaksandra Sasnovich,Kaia Kanepi,2023-03-06
1.211001421,Bernarda Pera,Lucia Bronzetti,1.01,2.98,Bernarda Pera,Bernarda Pera,Lucia Bronzetti,2023-03-06
1.211001678,Yulia Putintseva,Karolina Muchova,3.05,1.5,Karolina Muchova,Karolina Muchova,Yulia Putintseva,2023-03-06
1.21100169,Danka Kovinic,Emma Raducanu,2.6,1.54,Emma Raducanu,Emma Raducanu,Danka Kovinic,2023-03-06
1.21100219,Irinia-Camelia Begu,Linda Noskova,1.98,1.99,Linda Noskova,Linda Noskova,Irina Camelia Begu,2023-03-06
1.211002199,Mayar Sherif,Linda Fruhvirtova,110.0,1.33,Linda Fruhvirtova,Linda Fruhvirtova,Mayar Sherif,2023-03-06
1.211002484,Anna Bondar,Dayana Yastremska,34.0,1.01,Dayana Yastremska,Dayana Yastremska,Anna Bondar,2023-03-06
1.211002677,Alize Cornet,Evgeniya Rodina,100.0,1.01,Evgeniya Rodina,Evgeniya Rodina,Alize Cornet,2023-03-06
1.211049813,Rebeka Masarova,Peyton Stearns,10.0,1.01,Peyton Stearns,Peyton Stearns,Rebeka Masarova,2023-03-06
1.211049814,Kimberly Birrell,Sorana Cirstea ,990.0,1.01,Sorana Cirstea,Sorana Cirstea,Kimberly Birrell,2023-03-06
1.211050071,Ysaline Bonaventure,Varvara Gracheva,2.46,1.01,Varvara Gracheva,Varvara Gracheva,Ysaline Bonaventure,2023-03-06
1.21105017,Madison Brengle,Laura Siegemund,1.01,100.0,Madison Brengle,Madison Brengle,Laura Siegemund,2023-03-06
1.211050373,Katie Swan,Cristina Bucsa,1.76,1.01,Cristina Bucsa,Cristina Bucsa,Katie Swan,2023-03-06
1.211050375,Olga Danilovic,Xiyu Wang,2.2,1.83,Xiyu Wang,Xiyu Wang,Olga Danilovic,2023-03-06
1.211050775,Jil Teichmann,Ashlyn Krueger,1.67,2.46,Jil Teichmann,Jil Teichmann,Ashlyn Krueger,2023-03-06
1.211050782,Rebecca Peterson,Marta Kostyuk,1.01,1.8,Rebecca Peterson,Rebecca Peterson,Marta Kostyuk,2023-03-06
1.211071937,Dalma Galfi,Danielle Collins,1.01,1000.0,Dalma Galfi,Dalma Galfi,Danielle Collins,2023-03-06
1.211073209,Veronika Kudermetova,Anna Blinkova,1.25,5.0,Veronika Kudermetova,Veronika Kudermetova,Anna Blinkova,2023-03-06
1.211073636,Amanda Anisimova,Linda Noskova,75.0,1.01,Linda Noskova,Linda Noskova,Amanda Anisimova,2023-03-06
1.211074061,Aliaksandra Sasnovich,Jelena Ostapenko,3.6,1.39,Jelena Ostapenko,Jelena Ostapenko,Aliaksandra Sasnovich,2023-03-06
1.211077597,Claire Liu,Anna Karolina Schmiedlova,1.05,21.0,Claire Liu,Claire Liu,Anna Karolina Schmiedlova,2023-03-06
1.21107933,Ekaterina Alexandrova,Xinyu Wang,1.43,3.25,Xin Yu Wang,Xin Yu Wang,Ekaterina Alexandrova,2023-03-06
