market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date
1.213328659,Thanasi Kokkinakis,Jaume Munar,38.0,1.83,Jaume Munar,Jaume Munar,Thanasi Kokkinakis,2023-04-24
1.213328661,Richard Gasquet,Martin Landaluce,1.18,6.2,Richard Gasquet,Richard Gasquet,Martin Landaluce,2023-04-24
1.213328665,Gregoire Barrere,Emilio Nava,1.57,190.0,Gregoire Barrere,Gregoire Barrere,Emilio Nava,2023-04-24
1.213328862,Quentin Halys,Alexei Popyrin,1.45,3.2,Quentin Halys,Quentin Halys,Alexei Popyrin,2023-04-24
1.213328963,Marc-Andrea Huesler,Cristian Garin,3.1,1.46,Cristian Garin,Cristian Garin,Marc Andrea Huesler,2023-04-24
1.213329322,Jason Kubler,Dusan Lajovic,2.74,1.58,Dusan Lajovic,Dusan Lajovic,Jason Kubler,2023-04-24
1.213329358,Bernabe Zapata Miralles,Mackenzie McDonald,1.16,7.6,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Mackenzie Mcdonald,2023-04-24
1.213329732,Jeremy Chardy,Hugo Gaston,22.0,1.04,Hugo Gaston,Hugo Gaston,Jeremy Chardy,2023-04-24
1.213329763,David Goffin,Roberto Carballes Baena,2.78,1.52,Roberto Carballes Baena,Roberto Carballes Baena,David Goffin,2023-04-24
1.21333011,Albert Ramos-Vinolas,Ilya Ivashka,2.16,1.86,Albert Ramos,Albert Ramos,Ilya Ivashka,2023-04-24
1.213330121,Daniel Elahi Galan,Alexander Bublik,21.0,1.01,Alexander Bublik,Alexander Bublik,Daniel Elahi Galan,2023-04-24
1.213330399,Emil Ruusuvuori,Ugo Humbert,1.05,17.5,Emil Ruusuvuori,Emil Ruusuvuori,Ugo Humbert,2023-04-24
1.21333041,Adrian Mannarino,Tomas Martin Etcheverry,4.5,1.3,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Adrian Mannarino,2023-04-24
1.213330661,Maxime Cressy,Stan Wawrinka,12.0,1.08,Stan Wawrinka,Stan Wawrinka,Maxime Cressy,2023-04-24
1.213330673,Filip Krajinovic,Christopher O'Connell,26.0,1.9,Christopher Oconnell,Christopher Oconnell,Filip Krajinovic,2023-04-24
1.213330917,Marcos Giron,Nuno Borges,1.04,26.0,Marcos Giron,Marcos Giron,Nuno Borges,2023-04-24
1.213331184,Kyle Edmund,Dominic Thiem,7.6,1.13,Dominic Thiem,Dominic Thiem,Kyle Edmund,2023-04-24
1.213412623,Diego Schwartzman,Hugo Grenier,9.4,1.11,Hugo Grenier,Hugo Grenier,Diego Schwartzman,2023-04-24
1.213412627,Benoit Paire,Matteo Arnaldi,3.5,1.4,Matteo Arnaldi,Matteo Arnaldi,Benoit Paire,2023-04-24
1.213412633,Oscar Otte,Pavel Kotov,1.86,100.0,Oscar Otte,Oscar Otte,Pavel Kotov,2023-04-24
1.213412893,Yannick Hanfmann,Juan Pablo Varillas,1.01,100.0,Yannick Hanfmann,Yannick Hanfmann,Juan Pablo Varillas,2023-04-24
1.213413113,Thiago Monteiro,Borna Gojo,2.16,100.0,Thiago Monteiro,Thiago Monteiro,Borna Gojo,2023-04-24
1.213413416,Nicolas Jarry,Roman Safiullin,26.0,1.04,Roman Safiullin,Roman Safiullin,Nicolas Jarry,2023-04-24
1.213413417,Alexander Shevchenko,J.j. Wolf,1.03,34.0,Alexander Shevchenko,Alexander Shevchenko,J J Wolf,2023-04-24
1.21341342,Zhizhen Zhang,Jurij Rodionov,1.02,100.0,Zhizhen Zhang,Zhizhen Zhang,Jurij Rodionov,2023-04-24
1.21341372,Jan-Lennard Struff,Lorenzo Sonego,2.24,1.81,Jan Lennard Struff,Jan Lennard Struff,Lorenzo Sonego,2023-04-24
1.213413722,Marton Fucsovics,Marco Cecchinato,1.58,2.72,Marco Cecchinato,Marco Cecchinato,Marton Fucsovics,2023-04-24
1.213413733,Aslan Karatsev,Laslo Djere,1.01,26.0,Aslan Karatsev,Aslan Karatsev,Laslo Djere,2023-04-24
1.213414122,Andy Murray,Andrea Vavassori,5.8,1.2,Andrea Vavassori,Andrea Vavassori,Andy Murray,2023-04-24
1.213426047,Corentin Moutet,Yosuke Watanuki,95.0,1.01,Yosuke Watanuki,Yosuke Watanuki,Corentin Moutet,2023-04-24
1.213446138,Borna Coric,Hugo Gaston,1.57,2.76,Borna Coric,Borna Coric,Hugo Gaston,2023-04-24
1.213447636,Grigor Dimitrov,Gregoire Barrere,1.22,5.6,Grigor Dimitrov,Grigor Dimitrov,Gregoire Barrere,2023-04-24
1.213449369,Albert Ramos-Vinolas,Alejandro Davidovich Fokina,50.0,1.02,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Albert Ramos,2023-04-24
1.213449374,Yoshihito Nishioka,Alex Molcan,1.04,34.0,Yoshihito Nishioka,Yoshihito Nishioka,Alex Molcan,2023-04-24
1.213450721,Roberto Bautista Agut,Quentin Halys,1.01,44.0,Roberto Bautista Agut,Roberto Bautista Agut,Quentin Halys,2023-04-24
1.213452338,Alexander Zverev,Roberto Carballes Baena,1.25,1000.0,Alexander Zverev,Alexander Zverev,Roberto Carballes Baena,2023-04-24
1.213454198,Alexander Bublik,Holger Rune,6.0,1.2,Holger Rune,Holger Rune,Alexander Bublik,2023-04-24
1.213456107,Yannick Hanfmann,Lorenzo Musetti,1.03,34.0,Yannick Hanfmann,Yannick Hanfmann,Lorenzo Musetti,2023-04-24
1.213456882,Andrey Rublev,Stan Wawrinka,1.33,4.4,Andrey Rublev,Andrey Rublev,Stan Wawrinka,2023-04-24
1.213457211,Hugo Grenier,Sebastian Korda,1.21,6.2,Hugo Grenier,Hugo Grenier,Sebastian Korda,2023-04-24
1.21345813,Casper Ruud,Matteo Arnaldi,26.0,1.04,Matteo Arnaldi,Matteo Arnaldi,Casper Ruud,2023-04-24
1.21345926,Emil Ruusuvuori,Carlos Alcaraz,24.0,1.05,Carlos Alcaraz,Carlos Alcaraz,Emil Ruusuvuori,2023-04-24
1.213460137,Richard Gasquet,Hubert Hurkacz,4.7,1.27,Hubert Hurkacz,Hubert Hurkacz,Richard Gasquet,2023-04-24
1.213461895,Tallon Griekspoor,Jaume Munar,140.0,2.74,Jaume Munar,Jaume Munar,Tallon Griekspoor,2023-04-24
