market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.213328659,Thanasi Kokkinakis,Jaume Munar,,,Jaume Munar,Jaume Munar,Thanasi Kokkinakis,2023-04-24,thanasi kokkinakis,jaume munar,8172416,9350385,,,,
1.213328661,Richard Gasquet,Martin Landaluce,,,Richard Gasquet,Richard Gasquet,Martin Landaluce,2023-04-24,richard gasquet,martin landaluce,2249399,49038329,,,,
1.213328665,Gregoire Barrere,Emilio Nava,,,Gregoire Barrere,Gregoire Barrere,Emilio Nava,2023-04-24,gregoire barrere,emilio nava,8842295,12646384,,,,
1.213328862,Quentin Halys,Alexei Popyrin,,,Quentin Halys,Quentin Halys,Alexei Popyrin,2023-04-24,quentin halys,alexei popyrin,7287690,10706479,,,,
1.213328963,Marc-Andrea Huesler,Cristian Garin,,,Cristian Garin,Cristian Garin,Marc Andrea Huesler,2023-04-24,marc andrea huesler,cristian garin,9631939,23814703,,,,
1.213329322,Jason Kubler,Dusan Lajovic,,,Dusan Lajovic,Dusan Lajovic,Jason Kubler,2023-04-24,jason kubler,dusan lajovic,4448756,4688724,,,,
1.213329358,Bernabe Zapata Miralles,Mackenzie McDonald,,,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Mackenzie Mcdonald,2023-04-24,bernabe zapata miralles,mackenzie mcdonald,9630472,10691901,,,,
1.213329732,Jeremy Chardy,Hugo Gaston,,,Hugo Gaston,Hugo Gaston,Jeremy Chardy,2023-04-24,jeremy chardy,hugo gaston,2304933,10303696,,,,
1.213329763,David Goffin,Roberto Carballes Baena,,,Roberto Carballes Baena,Roberto Carballes Baena,David Goffin,2023-04-24,david goffin,roberto carballes baena,19924835,42313578,,,,
1.21333011,Albert Ramos-Vinolas,Ilya Ivashka,,,Albert Ramos,Albert Ramos,Ilya Ivashka,2023-04-24,albert ramos vinolas,ilya ivashka,8621877,19924837,,,,
1.213330121,Daniel Elahi Galan,Alexander Bublik,,,Alexander Bublik,Alexander Bublik,Daniel Elahi Galan,2023-04-24,daniel elahi galan,alexander bublik,8860646,8907933,,,,
1.213330399,Emil Ruusuvuori,Ugo Humbert,,,Emil Ruusuvuori,Emil Ruusuvuori,Ugo Humbert,2023-04-24,emil ruusuvuori,ugo humbert,8979329,9633253,,,,
1.21333041,Adrian Mannarino,Tomas Martin Etcheverry,,,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Adrian Mannarino,2023-04-24,adrian mannarino,tomas martin etcheverry,3066621,9631399,,,,
1.213330661,Maxime Cressy,Stan Wawrinka,,,Stan Wawrinka,Stan Wawrinka,Maxime Cressy,2023-04-24,maxime cressy,stan wawrinka,11510005,19924832,,,,
1.213330673,Filip Krajinovic,Christopher O'Connell,,,Christopher Oconnell,Christopher Oconnell,Filip Krajinovic,2023-04-24,filip krajinovic,christopher o'connell,3509265,8942164,,,,
1.213330917,Marcos Giron,Nuno Borges,,,Marcos Giron,Marcos Giron,Nuno Borges,2023-04-24,marcos giron,nuno borges,8230256,9633043,,,,
1.213331184,Kyle Edmund,Dominic Thiem,,,Dominic Thiem,Dominic Thiem,Kyle Edmund,2023-04-24,kyle edmund,dominic thiem,5626817,5720747,,,,
1.213412623,Diego Schwartzman,Hugo Grenier,,,Hugo Grenier,Hugo Grenier,Diego Schwartzman,2023-04-24,diego schwartzman,hugo grenier,8736474,8813394,,,,
1.213412627,Benoit Paire,Matteo Arnaldi,,,Matteo Arnaldi,Matteo Arnaldi,Benoit Paire,2023-04-24,benoit paire,matteo arnaldi,3911345,21067270,,,,
1.213412633,Oscar Otte,Pavel Kotov,,,Oscar Otte,Oscar Otte,Pavel Kotov,2023-04-24,oscar otte,pavel kotov,9624731,10166537,,,,
1.213412893,Yannick Hanfmann,Juan Pablo Varillas,,,Yannick Hanfmann,Yannick Hanfmann,Juan Pablo Varillas,2023-04-24,yannick hanfmann,juan pablo varillas,8639275,11772759,,,,
1.213413113,Thiago Monteiro,Borna Gojo,,,Thiago Monteiro,Thiago Monteiro,Borna Gojo,2023-04-24,thiago monteiro,borna gojo,8326656,10760646,,,,
1.213413416,Nicolas Jarry,Roman Safiullin,,,Roman Safiullin,Roman Safiullin,Nicolas Jarry,2023-04-24,nicolas jarry,roman safiullin,8260515,9125686,,,,
1.213413417,Alexander Shevchenko,J.j. Wolf,,,Alexander Shevchenko,Alexander Shevchenko,J J Wolf,2023-04-24,alexander shevchenko,jj wolf,15134244,24339655,,,,
1.21341342,Zhizhen Zhang,Jurij Rodionov,,,Zhizhen Zhang,Zhizhen Zhang,Jurij Rodionov,2023-04-24,zhizhen zhang,jurij rodionov,9628959,10555106,,,,
1.21341372,Jan-Lennard Struff,Lorenzo Sonego,,,Jan Lennard Struff,Jan Lennard Struff,Lorenzo Sonego,2023-04-24,jan lennard struff,lorenzo sonego,8259098,8826925,,,,
1.213413722,Marton Fucsovics,Marco Cecchinato,,,Marco Cecchinato,Marco Cecchinato,Marton Fucsovics,2023-04-24,marton fucsovics,marco cecchinato,4827766,6374165,,,,
1.213413733,Aslan Karatsev,Laslo Djere,,,Aslan Karatsev,Aslan Karatsev,Laslo Djere,2023-04-24,aslan karatsev,laslo djere,7659748,7692106,,,,
1.213414122,Andy Murray,Andrea Vavassori,,,Andrea Vavassori,Andrea Vavassori,Andy Murray,2023-04-24,andy murray,andrea vavassori,2256509,9414510,,,,
1.213426047,Corentin Moutet,Yosuke Watanuki,,,Yosuke Watanuki,Yosuke Watanuki,Corentin Moutet,2023-04-24,corentin moutet,yosuke watanuki,8842291,19924830,,,,
1.213446138,Borna Coric,Hugo Gaston,,,Borna Coric,Borna Coric,Hugo Gaston,2023-04-24,borna coric,hugo gaston,7446579,10303696,,,,
1.213447636,Grigor Dimitrov,Gregoire Barrere,,,Grigor Dimitrov,Grigor Dimitrov,Gregoire Barrere,2023-04-24,grigor dimitrov,gregoire barrere,3120169,8842295,,,,
1.213449369,Albert Ramos-Vinolas,Alejandro Davidovich Fokina,,,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Albert Ramos,2023-04-24,albert ramos vinolas,alejandro davidovich fokina,8621877,9953368,,,,
1.213449374,Yoshihito Nishioka,Alex Molcan,,,Yoshihito Nishioka,Yoshihito Nishioka,Alex Molcan,2023-04-24,yoshihito nishioka,alex molcan,7137497,8960879,,,,
1.213450721,Roberto Bautista Agut,Quentin Halys,,,Roberto Bautista Agut,Roberto Bautista Agut,Quentin Halys,2023-04-24,roberto bautista agut,quentin halys,4290403,7287690,,,,
1.213452338,Alexander Zverev,Roberto Carballes Baena,,,Alexander Zverev,Alexander Zverev,Roberto Carballes Baena,2023-04-24,alexander zverev,roberto carballes baena,19924823,42313578,,,,
1.213454198,Alexander Bublik,Holger Rune,,,Holger Rune,Holger Rune,Alexander Bublik,2023-04-24,alexander bublik,holger rune,8907933,39127965,,,,
1.213456107,Yannick Hanfmann,Lorenzo Musetti,,,Yannick Hanfmann,Yannick Hanfmann,Lorenzo Musetti,2023-04-24,yannick hanfmann,lorenzo musetti,8639275,13834991,,,,
1.213456882,Andrey Rublev,Stan Wawrinka,,,Andrey Rublev,Andrey Rublev,Stan Wawrinka,2023-04-24,andrey rublev,stan wawrinka,7797771,19924832,,,,
1.213457211,Hugo Grenier,Sebastian Korda,,,Hugo Grenier,Hugo Grenier,Sebastian Korda,2023-04-24,hugo grenier,sebastian korda,8813394,10902223,,,,
1.21345813,Casper Ruud,Matteo Arnaldi,,,Matteo Arnaldi,Matteo Arnaldi,Casper Ruud,2023-04-24,casper ruud,matteo arnaldi,9629711,21067270,,,,
1.21345926,Emil Ruusuvuori,Carlos Alcaraz,,,Carlos Alcaraz,Carlos Alcaraz,Emil Ruusuvuori,2023-04-24,emil ruusuvuori,carlos alcaraz,8979329,25215583,,,,
1.213460137,Richard Gasquet,Hubert Hurkacz,,,Hubert Hurkacz,Hubert Hurkacz,Richard Gasquet,2023-04-24,richard gasquet,hubert hurkacz,2249399,19924838,,,,
1.213461895,Tallon Griekspoor,Jaume Munar,,,Jaume Munar,Jaume Munar,Tallon Griekspoor,2023-04-24,tallon griekspoor,jaume munar,9198585,9350385,,,,
1.213461919,Karen Khachanov,Thiago Monteiro,,,Karen Khachanov,Karen Khachanov,Thiago Monteiro,2023-04-24,karen khachanov,thiago monteiro,7659623,8326656,,,,
1.213488365,Tomas Martin Etcheverry,Frances Tiafoe,,,Frances Tiafoe,Frances Tiafoe,Tomas Martin Etcheverry,2023-04-24,tomas martin etcheverry,frances tiafoe,9631399,19924839,,,,
1.213488469,Jiri Lehecka,Alexander Shevchenko,,,Alexander Shevchenko,Alexander Shevchenko,Jiri Lehecka,2023-04-24,jiri lehecka,alexander shevchenko,13203243,15134244,,,,
1.213488606,Dominic Thiem,Stefanos Tsitsipas,,,Stefanos Tsitsipas,Stefanos Tsitsipas,Dominic Thiem,2023-04-24,dominic thiem,stefanos tsitsipas,5720747,9193006,,,,
1.213491035,Zhizhen Zhang,Denis Shapovalov,,,Zhizhen Zhang,Zhizhen Zhang,Denis Shapovalov,2023-04-24,zhizhen zhang,denis shapovalov,9628959,19924829,,,,
1.213491513,Yosuke Watanuki,Cameron Norrie,,,Cameron Norrie,Cameron Norrie,Yosuke Watanuki,2023-04-24,yosuke watanuki,cameron norrie,19924830,42669524,,,,
1.213492113,Miomir Kecmanovic,Cristian Garin,,,Cristian Garin,Cristian Garin,Miomir Kecmanovic,2023-04-24,miomir kecmanovic,cristian garin,9657480,23814703,,,,
1.21349288,Pedro Cachin,Francisco Cerundolo,,,Pedro Cachin,Pedro Cachin,Francisco Cerundolo,2023-04-24,pedro cachin,francisco cerundolo,8461316,11204210,,,,
1.213494479,Marcos Giron,Sebastian Baez,,,Sebastian Baez,Sebastian Baez,Marcos Giron,2023-04-24,marcos giron,sebastian baez,8230256,11285506,,,,
1.21349458,Jan-Lennard Struff,Ben Shelton,,,Jan Lennard Struff,Jan Lennard Struff,Ben Shelton,2023-04-24,jan lennard struff,ben shelton,8259098,39460566,,,,
1.213499414,Marco Cecchinato,Alex De Minaur,,,Alex De Minaur,Alex De Minaur,Marco Cecchinato,2023-04-24,marco cecchinato,alex de minaur,6374165,10109527,,,,
1.213502134,Christopher O'Connell,Taylor Fritz,,,Taylor Fritz,Taylor Fritz,Christopher Oconnell,2023-04-24,christopher o'connell,taylor fritz,8942164,10279360,,,,
1.213502262,Andrea Vavassori,Daniil Medvedev,,,Daniil Medvedev,Daniil Medvedev,Andrea Vavassori,2023-04-24,andrea vavassori,daniil medvedev,9414510,19924831,,,,
1.21350239,Oscar Otte,Daniel Altmaier,,,Daniel Altmaier,Daniel Altmaier,Oscar Otte,2023-04-24,oscar otte,daniel altmaier,9624731,9632088,,,,
1.213504524,Dusan Lajovic,Felix Auger-Aliassime,,,Dusan Lajovic,Dusan Lajovic,Felix Auger Aliassime,2023-04-24,dusan lajovic,felix auger aliassime,4688724,12210252,,,,
1.21350743,Aslan Karatsev,Botic Van de Zandschulp,,,Aslan Karatsev,Aslan Karatsev,Botic Van De Zandschulp,2023-04-24,aslan karatsev,botic van de zandschulp,7659748,11204614,,,,
