tourney_date,surface,winner_name,loser_name,winner_rank,loser_rank,score,best_of,tour
20230102,Hard,Taylor Fritz,Matteo Berrettini,9.0,16.0,7-6(4) 7-6(6),3,ATP
20230102,Hard,Frances Tiafoe,Lorenzo Musetti,19.0,23.0,6-2 0-0 RET,3,ATP
20230102,Hard,Taylor Fritz,Hubert Hurkacz,9.0,10.0,7-6(5) 7-6(5),3,ATP
20230102,Hard,Frances Tiafoe,Kacper Zuk,19.0,245.0,6-3 6-3,3,ATP
20230102,Hard,Stefanos Tsitsipas,Matteo Berrettini,4.0,16.0,4-6 7-6(2) 6-4,3,ATP
20230102,Hard,Lorenzo Musetti,Stefanos Sakellaridis,23.0,803.0,6-1 6-1,3,ATP
20230102,Hard,Stefanos Tsitsipas,Borna Coric,4.0,26.0,6-0 6-7(4) 7-5,3,ATP
20230102,Hard,Borna Gojo,Stefanos Sakellaridis,144.0,803.0,6-4 6-2,3,ATP
20230102,Hard,Matteo Berrettini,Hubert Hurkacz,16.0,10.0,6-4 3-6 6-3,3,ATP
20230102,Hard,Lorenzo Musetti,Daniel Michalski,23.0,260.0,6-1 6-1,3,ATP
20230102,Hard,Cameron Norrie,Taylor Fritz,14.0,9.0,6-4 5-7 6-4,3,ATP
20230102,Hard,Frances Tiafoe,Daniel Evans,19.0,27.0,3-6 7-5 6-3,3,ATP
20230102,Hard,Stefanos Tsitsipas,David Goffin,4.0,53.0,6-3 6-2,3,ATP
20230102,Hard,Stefanos Sakellaridis,Zizou Bergs,803.0,129.0,5-7 6-1 6-3,3,ATP
20230102,Hard,Stefanos Tsitsipas,Grigor Dimitrov,4.0,28.0,4-6 6-2 7-6(4),3,ATP
20230102,Hard,Dimitar Kuzmanov,Michail Pervolarakis,196.0,506.0,6-1 6-1,3,ATP
20230102,Hard,Grigor Dimitrov,David Goffin,28.0,53.0,6-4 7-5,3,ATP
20230102,Hard,Dimitar Kuzmanov,Zizou Bergs,196.0,129.0,6-2 6-0,3,ATP
20230102,Hard,Hubert Hurkacz,Stan Wawrinka,10.0,148.0,7-6(5) 6-4,3,ATP
20230102,Hard,Marc Andrea Huesler,Daniel Michalski,56.0,260.0,6-3 6-2,3,ATP
20230102,Hard,Hubert Hurkacz,Alexander Bublik,10.0,37.0,7-6(8) 4-6 6-3,3,ATP
20230102,Hard,Timofey Skatov,Daniel Michalski,142.0,260.0,7-6(7) 6-2,3,ATP
20230102,Hard,Stan Wawrinka,Alexander Bublik,148.0,37.0,6-3 7-6(3),3,ATP
20230102,Hard,Marc Andrea Huesler,Timofey Skatov,56.0,142.0,4-6 6-3 6-3,3,ATP
20230102,Hard,Taylor Fritz,Alexander Zverev,9.0,12.0,6-1 6-4,3,ATP
20230102,Hard,Frances Tiafoe,Oscar Otte,19.0,76.0,7-5 6-4,3,ATP
20230102,Hard,Taylor Fritz,Jiri Lehecka,9.0,81.0,6-3 6-4,3,ATP
20230102,Hard,Frances Tiafoe,Tomas Machac,19.0,97.0,6-3 2-4 RET,3,ATP
20230102,Hard,Jiri Lehecka,Alexander Zverev,81.0,12.0,6-4 6-2,3,ATP
20230102,Hard,Oscar Otte,Dalibor Svrcina,76.0,222.0,7-6(1) 6-2,3,ATP
20230102,Hard,Alex De Minaur,Rafael Nadal,24.0,2.0,3-6 6-1 7-5,3,ATP
20230102,Hard,Jason Kubler,Albert Ramos,107.0,39.0,6-3 4-6 6-3,3,ATP
20230102,Hard,Cameron Norrie,Rafael Nadal,14.0,2.0,3-6 6-3 6-4,3,ATP
20230102,Hard,Daniel Evans,Albert Ramos,27.0,39.0,6-3 1-6 6-3,3,ATP
20230102,Hard,Cameron Norrie,Alex De Minaur,14.0,24.0,6-3 6-3,3,ATP
20230102,Hard,Jason Kubler,Daniel Evans,107.0,27.0,6-3 7-6(3),3,ATP
20230102,Hard,Matteo Berrettini,Thiago Monteiro,16.0,71.0,6-4 7-6(7),3,ATP
20230102,Hard,Lorenzo Musetti,Felipe Meligeni Alves,23.0,166.0,6-3 6-4,3,ATP
20230102,Hard,Matteo Berrettini,Casper Ruud,16.0,3.0,6-4 6-4,3,ATP
20230102,Hard,Lorenzo Musetti,Viktor Durasovic,23.0,343.0,7-6(7) 6-3,3,ATP
20230102,Hard,Casper Ruud,Thiago Monteiro,3.0,71.0,6-3 6-2,3,ATP
20230102,Hard,Felipe Meligeni Alves,Viktor Durasovic,166.0,343.0,6-3 6-3,3,ATP
20230102,Hard,Borna Coric,Arthur Rinderknech,26.0,44.0,7-6(1) 7-6(2),3,ATP
20230102,Hard,Borna Gojo,Adrian Mannarino,144.0,46.0,7-6(5) 3-6 7-6(5),3,ATP
20230102,Hard,Arthur Rinderknech,Francisco Cerundolo,44.0,30.0,6-4 6-2,3,ATP
20230102,Hard,Adrian Mannarino,Federico Coria,46.0,75.0,6-1 6-0,3,ATP
20230102,Hard,Borna Coric,Francisco Cerundolo,26.0,30.0,7-5 6-4,3,ATP
20230102,Hard,Borna Gojo,Federico Coria,144.0,75.0,7-6(5) 6-4,3,ATP
20230102,Hard,Novak Djokovic,Sebastian Korda,5.0,33.0,6-7(8) 7-6(3) 6-4,3,ATP
20230102,Hard,Novak Djokovic,Daniil Medvedev,5.0,7.0,6-3 6-4,3,ATP
20230102,Hard,Sebastian Korda,Yoshihito Nishioka,33.0,36.0,7-6(5) 1-0 RET,3,ATP
20230102,Hard,Novak Djokovic,Denis Shapovalov,5.0,18.0,6-3 6-4,3,ATP
20230102,Hard,Daniil Medvedev,Karen Khachanov,7.0,20.0,6-3 6-3,3,ATP
20230102,Hard,Sebastian Korda,Jannik Sinner,33.0,15.0,7-5 6-1,3,ATP
20230102,Hard,Yoshihito Nishioka,Alexei Popyrin,36.0,120.0,7-6(4) 6-7(8) 6-2,3,ATP
20230102,Hard,Novak Djokovic,Quentin Halys,5.0,64.0,7-6(3) 7-6(5),3,ATP
20230102,Hard,Denis Shapovalov,Roman Safiullin,18.0,88.0,6-4 6-3,3,ATP
20230102,Hard,Daniil Medvedev,Miomir Kecmanovic,7.0,29.0,6-0 6-3,3,ATP
20230102,Hard,Karen Khachanov,Jack Draper,20.0,42.0,6-4 6-2,3,ATP
20230102,Hard,Jannik Sinner,Thanasi Kokkinakis,15.0,93.0,7-6(2) 6-4,3,ATP
20230102,Hard,Sebastian Korda,Roberto Bautista Agut,33.0,21.0,6-4 6-4,3,ATP
20230102,Hard,Yoshihito Nishioka,Mackenzie Mcdonald,36.0,63.0,6-4 6-3,3,ATP
20230102,Hard,Alexei Popyrin,Marcos Giron,120.0,61.0,4-6 6-4 6-3,3,ATP
20230102,Hard,Novak Djokovic,Constant Lestienne,5.0,65.0,6-3 6-2,3,ATP
20230102,Hard,Quentin Halys,Jordan Thompson,64.0,84.0,6-3 6-4,3,ATP
20230102,Hard,Roman Safiullin,Mikael Ymer,88.0,69.0,6-4 6-2,3,ATP
20230102,Hard,Denis Shapovalov,Rinky Hijikata,18.0,164.0,2-6 6-4 6-3,3,ATP
20230102,Hard,Daniil Medvedev,Lorenzo Sonego,7.0,45.0,7-6(6) 2-1 RET,3,ATP
20230102,Hard,Miomir Kecmanovic,Christopher Oconnell,29.0,78.0,6-4 6-4,3,ATP
20230102,Hard,Jack Draper,Soon Woo Kwon,42.0,83.0,6-2 6-1,3,ATP
20230102,Hard,Karen Khachanov,Pedro Cachin,20.0,57.0,6-2 6-4,3,ATP
20230102,Hard,Jannik Sinner,Kyle Edmund,15.0,582.0,6-3 6-2,3,ATP
20230102,Hard,Thanasi Kokkinakis,Maxime Cressy,93.0,34.0,7-6(4) 7-6(7),3,ATP
20230102,Hard,Sebastian Korda,Andy Murray,33.0,49.0,7-6(3) 6-3,3,ATP
20230102,Hard,Roberto Bautista Agut,Andrey Rublev,21.0,8.0,4-6 6-3 6-4,3,ATP
20230102,Hard,Yoshihito Nishioka,Holger Rune,36.0,11.0,2-6 6-4 6-4,3,ATP
20230102,Hard,Mackenzie Mcdonald,Daniel Elahi Galan,63.0,67.0,6-3 0-0 RET,3,ATP
20230102,Hard,Marcos Giron,Richard Gasquet,61.0,68.0,7-6(5) 6-7(6) 7-5,3,ATP
20230102,Hard,Alexei Popyrin,Felix Auger Aliassime,120.0,6.0,6-4 7-6(5),3,ATP
20230102,Hard,Tallon Griekspoor,Benjamin Bonzi,95.0,60.0,4-6 7-5 6-3,3,ATP
