matchup+side,bets,wins,winrate,total_staked,profit,roi
Alex de Minaur vs Yu Hsiou Hsu (p2),1,1,1.0,17.78,160.03,900.0
Daniil Medvedev vs Thiago Seyboth Wild (p2),1,1,1.0,18.87,169.83,900.0
Kaia Kanepi vs Kimberly Birrell (p2),1,1,1.0,16.87,126.55,750.0
Belinda Bencic vs Elina Avanesyan (p2),1,1,1.0,18.14,108.86,600.0
Anna Karolina Schmiedlova vs Veronika Kudermetova (p1),1,1,1.0,21.25,127.52,600.0
Lorenzo Musetti vs Titouan Droguet (p2),1,1,1.0,24.17,132.94,550.0
Patricia Maria Tig vs Rebecca Marino (p1),1,1,1.0,25.65,134.67,525.0
Jiri Vesely vs Sebastian Korda (p1),1,1,1.0,22.75,113.75,500.0
Thanasi Kokkinakis vs Yu Hsiou Hsu (p2),1,1,1.0,26.32,131.61,500.0
Botic Van De Zandschulp vs Thiago Agustin Tirante (p2),1,1,1.0,18.67,71.86,385.0
Barbora Krejcikova vs Lucia Bronzetti (p2),1,1,1.0,21.76,82.7,380.0
Kayla Day vs Madison Keys (p1),1,1,1.0,18.78,71.35,380.0
Juan Pablo Varillas vs Miomir Kecmanovic (p1),1,1,1.0,26.67,93.34,350.0
Alexandre Muller vs Arthur Rinderknech (p1),1,1,1.0,21.37,66.24,310.0
Casper Ruud vs Zhizhen Zhang (p2),1,1,1.0,26.75,81.57,305.0
Barbora Krejcikova vs Lesia Tsurenko (p2),1,1,1.0,19.84,56.54,285.0
Donna Vekic vs Sachia Vickery (p2),1,1,1.0,20.61,57.7,280.0
Jaume Munar vs John Isner (p1),1,1,1.0,23.3,54.76,235.0
Botic Van De Zandschulp vs Jordan Thompson (p1),1,1,1.0,28.38,60.18,212.0
Ilya Ivashka vs Juan Manuel Cerundolo (p2),1,1,1.0,24.67,50.57,205.0
Borna Coric vs Sebastian Baez (p2),1,1,1.0,22.95,40.16,175.0
Fabian Marozsan vs Richard Gasquet (p1),1,1,1.0,25.77,45.09,175.0
Enzo Couacaud vs Jiri Vesely (p2),1,1,1.0,23.49,39.47,168.0
Jiri Lehecka vs Marcos Giron (p2),1,1,1.0,19.07,31.47,165.0
Diego Schwartzman vs Miomir Kecmanovic (p1),1,1,1.0,22.12,35.4,160.0
Marton Fucsovics vs Sebastian Korda (p1),1,1,1.0,22.81,34.22,150.0
Aslan Karatsev vs Jiri Lehecka (p1),1,1,1.0,24.28,36.43,150.0
Sebastian Korda vs Sebastian Ofner (p2),1,1,1.0,21.27,30.85,145.0
Corentin Moutet vs Richard Gasquet (p1),1,1,1.0,24.4,33.67,138.0
Benjamin Bonzi vs Quentin Halys (p1),1,1,1.0,25.01,33.77,135.0
Jason Kubler vs Ugo Humbert (p1),1,1,1.0,23.14,30.08,130.0
Laslo Djere vs Maxime Cressy (p1),1,1,1.0,22.24,25.57,115.0
Daniel Elahi Galan vs Yoshihito Nishioka (p1),1,1,1.0,22.1,23.65,107.0
Gregoire Barrere vs Lloyd Harris (p1),1,1,1.0,20.95,20.95,100.0
Marton Fucsovics vs Tallon Griekspoor (p1),1,1,1.0,20.54,20.54,100.0
Stan Wawrinka vs Thanasi Kokkinakis (p2),1,1,1.0,18.73,17.05,91.0
Kamilla Rakhimova vs Kateryna Baindl (p2),1,1,1.0,18.56,16.89,91.0
Anastasia Pavlyuchenkova vs Camila Giorgi (p2),1,1,1.0,18.15,15.61,86.0
Alexander Bublik vs Giulio Zeppieri (p2),1,1,1.0,21.78,18.73,86.0
Arthur Cazaux vs Corentin Moutet (p2),1,1,1.0,21.7,18.44,85.0
Maximilian Marterer vs Michael Mmoh (p1),1,1,1.0,24.52,20.85,85.0
Aslan Karatsev vs Luca Van Assche (p1),1,1,1.0,24.57,18.92,77.0
Petra Martic vs Viktorija Golubic (p1),1,1,1.0,19.6,14.9,76.0
Petra Martic vs Shelby Rogers (p1),1,1,1.0,22.34,16.76,75.0
Jack Draper vs Tomas Martin Etcheverry (p2),1,1,1.0,19.27,14.26,74.0
Alexei Popyrin vs Aslan Karatsev (p2),1,1,1.0,18.78,13.15,70.0
Jurij Rodionov vs Lucas Pouille (p2),1,1,1.0,20.97,14.26,68.0
Botic Van De Zandschulp vs Zhizhen Zhang (p1),1,1,1.0,22.83,15.3,67.0
Evgeniya Rodina vs Katie Volynets (p2),1,1,1.0,18.73,12.36,66.0
Alejandro Davidovich Fokina vs Arthur Fils (p1),1,1,1.0,23.95,15.57,65.0
Karolina Muchova vs Lesia Tsurenko (p1),1,1,1.0,18.33,11.91,65.0
Claire Liu vs Madison Brengle (p1),1,1,1.0,17.38,11.12,64.0
Danielle Collins vs Karolina Muchova (p1),1,1,1.0,16.91,9.47,56.0
Thiago Agustin Tirante vs Zhizhen Zhang (p2),1,1,1.0,19.7,10.24,52.0
Daniel Elahi Galan vs Matteo Arnaldi (p2),1,1,1.0,22.39,11.19,50.0
Mackenzie Mcdonald vs Sebastian Korda (p2),1,1,1.0,22.63,10.64,47.0
David Goffin vs Hubert Hurkacz (p2),1,1,1.0,22.43,10.09,45.0
Dominic Stricker vs Tommy Paul (p2),1,1,1.0,19.7,8.28,42.0
Maxime Cressy vs Sebastian Ofner (p2),1,1,1.0,22.07,9.27,42.0
Ben Shelton vs Lorenzo Sonego (p2),1,1,1.0,21.52,9.04,42.0
John Isner vs Nuno Borges (p2),1,1,1.0,22.61,9.27,41.0
Patrick Kypson vs Radu Albot (p2),1,1,1.0,22.25,8.9,40.0
Donna Vekic vs Oksana Selekhmeteva (p1),1,1,1.0,16.75,6.03,36.0
Thiago Monteiro vs Yannick Hanfmann (p2),1,1,1.0,18.73,6.74,36.0
Filip Krajinovic vs Frances Tiafoe (p2),1,1,1.0,20.19,5.86,29.0
Jil Teichmann vs Lin Zhu (p1),1,0,0.0,17.25,-17.25,-100.0
Nadia Podoroska vs Victoria Azarenka (p1),1,0,0.0,17.09,-17.09,-100.0
Daniel Evans vs Facundo Bagnis (p2),1,0,0.0,10.07,-10.07,-100.0
Bernabe Zapata Miralles vs Karen Khachanov (p1),1,0,0.0,18.82,-18.82,-100.0
Sorana Cirstea vs Yulia Putintseva (p1),1,0,0.0,19.9,-19.9,-100.0
Daniil Medvedev vs Marcos Giron (p2),1,0,0.0,20.0,-20.0,-100.0
Anett Kontaveit vs Julia Grabher (p2),1,0,0.0,18.97,-18.97,-100.0
Patricia Maria Tig vs Shuai Zhang (p1),1,0,0.0,19.11,-19.11,-100.0
Laura Siegemund vs Lucia Bronzetti (p2),1,0,0.0,19.5,-19.5,-100.0
Arianne Hartono vs Shelby Rogers (p1),1,0,0.0,13.48,-13.48,-100.0
Leolia Jeanjean vs Nadia Podoroska (p1),1,0,0.0,18.9,-18.9,-100.0
Anna Karolina Schmiedlova vs Martina Trevisan (p2),1,0,0.0,18.52,-18.52,-100.0
Iga Swiatek vs Jule Niemeier (p2),1,0,0.0,18.47,-18.47,-100.0
Dalma Galfi vs Qinwen Zheng (p1),1,0,0.0,18.1,-18.1,-100.0
Elisabetta Cocciaretto vs Simona Waltert (p2),1,0,0.0,18.35,-18.35,-100.0
Kayla Day vs Kristina Mladenovic (p2),1,0,0.0,19.91,-19.91,-100.0
Kateryna Baindl vs Olga Danilovic (p1),1,0,0.0,17.82,-17.82,-100.0
Karolina Muchova vs Nadia Podoroska (p2),1,0,0.0,19.16,-19.16,-100.0
Alycia Parks vs Marketa Vondrousova (p1),1,0,0.0,19.28,-19.28,-100.0
Jelena Ostapenko vs Tereza Martincova (p2),1,0,0.0,18.89,-18.89,-100.0
Lorenzo Musetti vs Mikael Ymer (p2),1,0,0.0,18.51,-18.51,-100.0
Danielle Collins vs Jessica Pegula (p1),1,0,0.0,20.32,-20.32,-100.0
Fabio Fognini vs Thanasi Kokkinakis (p1),1,0,0.0,19.88,-19.88,-100.0
Alexander Zverev vs Juan Pablo Varillas (p2),1,0,0.0,10.18,-10.18,-100.0
Alexei Popyrin vs Chun Hsin Tseng (p2),1,0,0.0,13.63,-13.63,-100.0
Cristian Garin vs Sebastian Korda (p1),1,0,0.0,19.2,-19.2,-100.0
Cameron Norrie vs Luca Van Assche (p2),1,0,0.0,14.91,-14.91,-100.0
Corentin Moutet vs Francisco Cerundolo (p1),1,0,0.0,18.14,-18.14,-100.0
Mackenzie McDonald vs Rafael Nadal (p1),1,0,0.0,20.98,-20.98,-100.0
Pablo Carreno Busta vs Pedro Cachin (p2),1,0,0.0,20.56,-20.56,-100.0
Anastasia Potapova vs Sloane Stephens (p2),1,0,0.0,17.6,-17.6,-100.0
Lin Zhu vs Rebecca Marino (p2),1,0,0.0,17.73,-17.73,-100.0
Cameron Norrie vs Lucas Pouille (p2),1,0,0.0,19.11,-19.11,-100.0
Fabio Fognini vs Jason Kubler (p2),1,0,0.0,19.51,-19.51,-100.0
Andrea Vavassori vs Miomir Kecmanovic (p2),1,0,0.0,21.02,-21.02,-100.0
Borna Coric vs Pedro Cachin (p2),1,0,0.0,20.6,-20.6,-100.0
Juan Pablo Varillas vs Roberto Bautista Agut (p2),1,0,0.0,21.89,-21.89,-100.0
Karen Khachanov vs Radu Albot (p2),1,0,0.0,21.45,-21.45,-100.0
Qinwen Zheng vs Tamara Zidansek (p2),1,0,0.0,22.68,-22.68,-100.0
