matchup+side,bets,wins,winrate,total_staked,profit,roi
Alex de Minaur vs Yu Hsiou Hsu (p2),1,1,1.0,18.15,163.34,900.0
Daniil Medvedev vs Marcos Giron (p2),1,0,0.0,20.0,-20.0,-100.0
Bernabe Zapata Miralles vs Karen Khachanov (p1),1,0,0.0,19.21,-19.21,-100.0
Cristian Garin vs Sebastian Korda (p1),1,0,0.0,19.6,-19.6,-100.0
Cameron Norrie vs Luca Van Assche (p2),1,0,0.0,15.21,-15.21,-100.0
Corentin Moutet vs Francisco Cerundolo (p1),1,0,0.0,18.52,-18.52,-100.0
Mackenzie McDonald vs Rafael Nadal (p1),1,0,0.0,21.42,-21.42,-100.0
Pablo Carreno Busta vs Pedro Cachin (p2),1,0,0.0,20.99,-20.99,-100.0
Daniel Evans vs Facundo Bagnis (p2),1,0,0.0,10.67,-10.67,-100.0
Alexei Popyrin vs Chun Hsin Tseng (p2),1,0,0.0,13.77,-13.77,-100.0
Fabio Fognini vs Thanasi Kokkinakis (p1),1,0,0.0,20.08,-20.08,-100.0
Alexander Zverev vs Juan Pablo Varillas (p2),1,0,0.0,10.28,-10.28,-100.0
