matchup+side,bets,wins,winrate,total_staked,profit,roi
Daniil Medvedev vs Thiago Seyboth Wild (p2),1,1,1.0,17.56,158.07,900.0
Botic Van De Zandschulp vs Thiago Agustin Tirante (p2),1,1,1.0,19.98,76.91,385.0
Jiri Lehecka vs Marcos Giron (p2),1,1,1.0,19.92,32.86,165.0
Sebastian Korda vs Sebastian Ofner (p2),1,1,1.0,19.36,28.08,145.0
Stan Wawrinka vs Thanasi Kokkinakis (p2),1,1,1.0,19.56,17.8,91.0
Alexander Bublik vs Giulio Zeppieri (p2),1,1,1.0,18.94,16.29,86.0
Arthur Cazaux vs Corentin Moutet (p2),1,1,1.0,20.42,17.36,85.0
Jack Draper vs Tomas Martin Etcheverry (p2),1,1,1.0,20.63,15.26,74.0
Alexei Popyrin vs Aslan Karatsev (p2),1,1,1.0,20.1,14.07,70.0
Jurij Rodionov vs Lucas Pouille (p2),1,1,1.0,20.77,14.12,68.0
Thiago Agustin Tirante vs Zhizhen Zhang (p2),1,1,1.0,19.65,10.22,52.0
Daniel Elahi Galan vs Matteo Arnaldi (p2),1,1,1.0,20.16,10.08,50.0
Mackenzie Mcdonald vs Sebastian Korda (p2),1,1,1.0,19.96,9.38,47.0
David Goffin vs Hubert Hurkacz (p2),1,1,1.0,20.15,9.07,45.0
Dominic Stricker vs Tommy Paul (p2),1,1,1.0,18.88,7.93,42.0
Ben Shelton vs Lorenzo Sonego (p2),1,1,1.0,20.25,8.5,42.0
Maxime Cressy vs Sebastian Ofner (p2),1,1,1.0,20.49,8.61,42.0
John Isner vs Nuno Borges (p2),1,1,1.0,20.0,8.2,41.0
Patrick Kypson vs Radu Albot (p2),1,1,1.0,20.33,8.13,40.0
Thiago Monteiro vs Yannick Hanfmann (p2),1,1,1.0,20.72,7.46,36.0
Filip Krajinovic vs Frances Tiafoe (p2),1,1,1.0,21.09,6.11,29.0
Andrey Rublev vs Laslo Djere (p2),1,0,0.0,20.37,-20.37,-100.0
Roberto Bautista Agut vs Yibing Wu (p2),1,0,0.0,20.93,-20.93,-100.0
Lorenzo Musetti vs Mikael Ymer (p2),1,0,0.0,21.05,-21.05,-100.0
Alexander Shevchenko vs Oscar Otte (p2),1,0,0.0,20.66,-20.66,-100.0
Alejandro Davidovich Fokina vs Arthur Fils (p2),1,0,0.0,21.52,-21.52,-100.0
Hubert Hurkacz vs Tallon Griekspoor (p2),1,0,0.0,20.78,-20.78,-100.0
Denis Shapovalov vs Matteo Arnaldi (p2),1,0,0.0,21.21,-21.21,-100.0
Alex De Minaur vs Ilya Ivashka (p2),1,0,0.0,20.39,-20.39,-100.0
Borna Coric vs Federico Coria (p2),1,0,0.0,20.51,-20.51,-100.0
Juan Pablo Varillas vs Roberto Bautista Agut (p2),1,0,0.0,19.76,-19.76,-100.0
Karen Khachanov vs Radu Albot (p2),1,0,0.0,20.16,-20.16,-100.0
Borna Coric vs Pedro Cachin (p2),1,0,0.0,20.57,-20.57,-100.0
Fabio Fognini vs Jason Kubler (p2),1,0,0.0,20.37,-20.37,-100.0
Cameron Norrie vs Lucas Pouille (p2),1,0,0.0,19.96,-19.96,-100.0
Alexander Zverev vs Lloyd Harris (p2),1,0,0.0,19.33,-19.33,-100.0
Alex Molcan vs Hugo Gaston (p2),1,0,0.0,19.72,-19.72,-100.0
Roberto Carballes Baena vs Stefanos Tsitsipas (p1),1,0,0.0,10.17,-10.17,-100.0
Alejandro Davidovich Fokina vs Luca Van Assche (p2),1,0,0.0,18.66,-18.66,-100.0
Arthur Rinderknech vs Richard Gasquet (p2),1,0,0.0,19.04,-19.04,-100.0
Andrea Vavassori vs Miomir Kecmanovic (p2),1,0,0.0,19.27,-19.27,-100.0
Gael Monfils vs Sebastian Baez (p2),1,0,0.0,17.92,-17.92,-100.0
Grigor Dimitrov vs Timofey Skatov (p2),1,0,0.0,18.29,-18.29,-100.0
Emil Ruusuvuori vs Gregoire Barrere (p2),1,0,0.0,20.87,-20.87,-100.0
Guido Pella vs Quentin Halys (p2),1,0,0.0,20.46,-20.46,-100.0
Francisco Cerundolo vs Jaume Munar (p2),1,0,0.0,20.05,-20.05,-100.0
