matchup+side,bets,wins,winrate,total_staked,profit,roi
Lorenzo Musetti vs Titouan Droguet (p2),1,1,1.0,19.21,105.64,550.0
Thanasi Kokkinakis vs Yu Hsiou Hsu (p2),1,1,1.0,22.48,112.38,500.0
Juan Pablo Varillas vs Miomir Kecmanovic (p1),1,1,1.0,22.92,80.21,350.0
Casper Ruud vs Zhizhen Zhang (p2),1,1,1.0,21.72,66.25,305.0
Botic Van De Zandschulp vs Jordan Thompson (p1),1,1,1.0,20.83,44.16,212.0
Ilya Ivashka vs Juan Manuel Cerundolo (p2),1,1,1.0,20.77,42.58,205.0
Borna Coric vs Sebastian Baez (p2),1,1,1.0,21.72,38.0,175.0
Fabian Marozsan vs Richard Gasquet (p1),1,1,1.0,20.07,35.12,175.0
Enzo Couacaud vs Jiri Vesely (p2),1,1,1.0,22.41,37.65,168.0
Aslan Karatsev vs Jiri Lehecka (p1),1,1,1.0,21.76,32.64,150.0
Marton Fucsovics vs Sebastian Korda (p1),1,1,1.0,23.17,34.75,150.0
Benjamin Bonzi vs Quentin Halys (p1),1,1,1.0,21.19,28.6,135.0
Milos Raonic vs Stefanos Tsitsipas (p1),1,0,0.0,20.0,-20.0,-100.0
Casper Ruud vs Emilio Nava (p2),1,0,0.0,19.6,-19.6,-100.0
Francisco Cerundolo vs Zachary Svajda (p2),1,0,0.0,23.86,-23.86,-100.0
Bernabe Zapata Miralles vs Ethan Quinn (p2),1,0,0.0,21.62,-21.62,-100.0
Ben Shelton vs Pedro Cachin (p2),1,0,0.0,21.32,-21.32,-100.0
Adrian Mannarino vs Yosuke Watanuki (p2),1,0,0.0,20.89,-20.89,-100.0
Alejandro Davidovich Fokina vs Marcos Giron (p2),1,0,0.0,20.48,-20.48,-100.0
Jack Draper vs Radu Albot (p2),1,0,0.0,23.55,-23.55,-100.0
Guido Pella vs Lloyd Harris (p1),1,0,0.0,24.03,-24.03,-100.0
Daniel Elahi Galan vs Daniel Evans (p1),1,0,0.0,24.52,-24.52,-100.0
Marco Cecchinato vs Roman Safiullin (p1),1,0,0.0,23.38,-23.38,-100.0
Alejandro Davidovich Fokina vs Juan Manuel Cerundolo (p2),1,0,0.0,23.05,-23.05,-100.0
Otto Virtanen vs Tomas Martin Etcheverry (p1),1,0,0.0,23.08,-23.08,-100.0
Facundo Diaz Acosta vs John Isner (p1),1,0,0.0,22.62,-22.62,-100.0
Adrian Mannarino vs Fabian Marozsan (p2),1,0,0.0,22.16,-22.16,-100.0
Luca Van Assche vs Nicolas Jarry (p1),1,0,0.0,21.69,-21.69,-100.0
Gael Monfils vs Taro Daniel (p2),1,0,0.0,22.13,-22.13,-100.0
Lorenzo Sonego vs Nicolas Moreno De Alboran (p2),1,0,0.0,22.59,-22.59,-100.0
Aleksandar Vukic vs Alexander Zverev (p1),1,0,0.0,21.26,-21.26,-100.0
Alex Molcan vs Grigor Dimitrov (p1),1,0,0.0,24.72,-24.72,-100.0
Alexander Shevchenko vs Cameron Norrie (p1),1,0,0.0,24.23,-24.23,-100.0
Andy Murray vs Corentin Moutet (p2),1,0,0.0,23.74,-23.74,-100.0
Frances Tiafoe vs Sebastian Ofner (p2),1,0,0.0,23.27,-23.27,-100.0
