matchup+side,bets,wins,winrate,total_staked,profit,roi
Jiri Vesely vs Sebastian Korda (p1),1,1,1.0,19.8,98.98,500.0
Alexandre Muller vs Arthur Rinderknech (p1),1,1,1.0,19.41,60.17,310.0
Jaume Munar vs John Isner (p1),1,1,1.0,20.0,47.0,235.0
Diego Schwartzman vs Miomir Kecmanovic (p1),1,1,1.0,18.61,29.77,160.0
Corentin Moutet vs Richard Gasquet (p1),1,1,1.0,20.94,28.9,138.0
Jason Kubler vs Ugo Humbert (p1),1,1,1.0,19.46,25.3,130.0
Laslo Djere vs Maxime Cressy (p1),1,1,1.0,21.78,25.04,115.0
Daniel Elahi Galan vs Yoshihito Nishioka (p1),1,1,1.0,18.59,19.89,107.0
Marton Fucsovics vs Tallon Griekspoor (p1),1,1,1.0,18.65,18.65,100.0
Gregoire Barrere vs Lloyd Harris (p1),1,1,1.0,19.03,19.03,100.0
Maximilian Marterer vs Michael Mmoh (p1),1,1,1.0,21.83,18.56,85.0
Aslan Karatsev vs Luca Van Assche (p1),1,1,1.0,21.09,16.24,77.0
Botic Van De Zandschulp vs Zhizhen Zhang (p1),1,1,1.0,19.2,12.87,67.0
Alejandro Davidovich Fokina vs Arthur Fils (p1),1,1,1.0,19.17,12.46,65.0
Dominik Koepfer vs Oscar Otte (p1),1,0,0.0,18.99,-18.99,-100.0
Benjamin Bonzi vs Harold Mayot (p1),1,0,0.0,18.97,-18.97,-100.0
Daniel Evans vs Quentin Halys (p1),1,0,0.0,19.75,-19.75,-100.0
Bernabe Zapata Miralles vs Tomas Martin Etcheverry (p1),1,0,0.0,19.36,-19.36,-100.0
Borna Gojo vs Maximilian Marterer (p1),1,0,0.0,20.15,-20.15,-100.0
Brandon Nakashima vs Jordan Thompson (p1),1,0,0.0,20.56,-20.56,-100.0
Andrey Rublev vs Max Purcell (p2),1,0,0.0,21.41,-21.41,-100.0
Constant Lestienne vs Liam Broady (p1),1,0,0.0,20.98,-20.98,-100.0
Alex Molcan vs Mikael Ymer (p1),1,0,0.0,21.52,-21.52,-100.0
Federico Coria vs Ilya Ivashka (p1),1,0,0.0,19.42,-19.42,-100.0
Andy Murray vs Ryan Peniston (p2),1,0,0.0,19.97,-19.97,-100.0
Alexander Zverev vs Gijs Brouwer (p2),1,0,0.0,19.57,-19.57,-100.0
Jaume Munar vs Lorenzo Musetti (p1),1,0,0.0,19.04,-19.04,-100.0
Dominic Thiem vs Stefanos Tsitsipas (p1),1,0,0.0,20.61,-20.61,-100.0
Grigor Dimitrov vs Sho Shimabukuro (p2),1,0,0.0,20.2,-20.2,-100.0
Dennis Novak vs Milos Raonic (p1),1,0,0.0,22.28,-22.28,-100.0
