matchup+side,bets,wins,winrate,total_staked,profit,roi
Daniil Medvedev vs Thiago Seyboth Wild (p2),78,78,1.0,37583033.44,324104234.17,862.37
Anna Karolina Schmiedlova vs Veronika Kudermetova (p1),53,53,1.0,3235860415.14,21178276516.18,654.49
Belinda Bencic vs Elina Avanesyan (p2),7,7,1.0,73789016.12,451764940.04,612.24
Botic Van De Zandschulp vs Thiago Agustin Tirante (p2),3,3,1.0,41001.81,163165.51,397.95
Kayla Day vs Madison Keys (p1),1,1,1.0,234241524.89,890117794.58,380.0
Dusan Lajovic vs Zhizhen Zhang (p2),3,3,1.0,177540.11,322064.56,181.4
Jiri Lehecka vs Marcos Giron (p2),1,1,1.0,2321823.01,4156063.18,179.0
Sebastian Korda vs Sebastian Ofner (p2),7,7,1.0,4988023.38,7249702.88,145.34
Bernabe Zapata Miralles vs Diego Schwartzman (p2),33,33,1.0,146908.51,194337.05,132.28
Facundo Diaz Acosta vs Jason Kubler (p2),23,23,1.0,2315.33,2950.54,127.43
Hamad Medjedovic vs Marcos Giron (p2),43,43,1.0,1299707.12,1462868.03,112.55
Alex De Minaur vs Tomas Martin Etcheverry (p2),23,23,1.0,53665211.89,58824494.67,109.61
Jordan Thompson vs Max Purcell (p2),77,77,1.0,15555315.98,16784368.17,107.9
Dominic Thiem vs Pedro Cachin (p2),47,47,1.0,836906.03,898377.27,107.35
Brandon Nakashima vs Denis Shapovalov (p2),57,57,1.0,450000.64,481091.42,106.91
Daniel Evans vs Thanasi Kokkinakis (p2),29,29,1.0,1535.14,1635.44,106.53
Pedro Martinez vs Tallon Griekspoor (p2),28,28,1.0,812.67,854.21,105.11
Stan Wawrinka vs Thanasi Kokkinakis (p2),23,23,1.0,26270650.02,25422138.58,96.77
Aslan Karatsev vs Frances Tiafoe (p2),11,11,1.0,22929186.6,21115467.55,92.09
Jurij Rodionov vs Lucas Pouille (p2),2,2,1.0,261.49,211.81,81.0
Mackenzie Mcdonald vs Sebastian Korda (p2),3,3,1.0,408.65,224.74,55.0
Daniel Elahi Galan vs Matteo Arnaldi (p2),3,3,1.0,222.19,121.49,54.68
David Goffin vs Hubert Hurkacz (p2),3,3,1.0,60.57,28.47,46.99
Thiago Monteiro vs Yannick Hanfmann (p2),3,3,1.0,14102076.26,6347168.13,45.01
Ben Shelton vs Lorenzo Sonego (p2),3,3,1.0,406.33,176.08,43.33
John Isner vs Nuno Borges (p2),3,3,1.0,216.08,92.22,42.68
Maxime Cressy vs Sebastian Ofner (p2),3,3,1.0,62.23,26.55,42.67
Patrick Kypson vs Radu Albot (p2),3,3,1.0,63.84,27.03,42.33
Dominic Stricker vs Tommy Paul (p2),5,5,1.0,1505194.68,619200.44,41.14
Filip Krajinovic vs Frances Tiafoe (p2),1,1,1.0,31218.89,10614.42,34.0
Hugo Dellien vs Nicolas Jarry (p2),3,3,1.0,220583.74,67396.6,30.55
Adrian Mannarino vs Ugo Humbert (p2),1,1,1.0,131.25,38.06,29.0
Andrea Vavassori vs Miomir Kecmanovic (p2),6,0,0.0,853570.62,-853570.62,-100.0
Alex Molcan vs Hugo Gaston (p2),7,0,0.0,997387.37,-997387.37,-100.0
Alexander Zverev vs Lloyd Harris (p2),55,0,0.0,3312986.43,-3312986.43,-100.0
Guido Pella vs Quentin Halys (p2),6,0,0.0,15263779.02,-15263779.02,-100.0
Francisco Cerundolo vs Jaume Munar (p2),4,0,0.0,11101946.63,-11101946.63,-100.0
Genaro Alberto Olivieri vs Giovanni Mpetshi Perricard (p2),81,0,0.0,22017182.96,-22017182.96,-100.0
Grigor Dimitrov vs Timofey Skatov (p2),78,0,0.0,94661965.85,-94661965.85,-100.0
Emil Ruusuvuori vs Gregoire Barrere (p2),8,0,0.0,29227675.08,-29227675.08,-100.0
Borna Coric vs Federico Coria (p2),10,0,0.0,84691.12,-84691.12,-100.0
Carlos Alcaraz vs Flavio Cobolli (p2),2,0,0.0,7162.32,-7162.32,-100.0
