matchup+side,bets,wins,winrate,total_staked,profit,roi
Alex de Minaur vs Timofey Skatov (p2),28,28,1.0,7.200065346082453e+54,6.404607789860726e+55,889.52
Lorenzo Musetti vs Titouan Droguet (p2),94,94,1.0,7.055756120957112e+45,4.0917265675864996e+46,579.91
Thanasi Kokkinakis vs Yu Hsiou Hsu (p2),174,174,1.0,2.0156678380291677e+57,8.743250527560134e+57,433.76
Casper Ruud vs Zhizhen Zhang (p2),56,56,1.0,4.865471760929564e+54,1.5077719184462328e+55,309.89
Lloyd Harris vs Lorenzo Musetti (p1),64,64,1.0,2.711729711066516e+31,6.078130102252556e+31,224.14
Denis Kudla vs Roman Safiullin (p1),68,68,1.0,2.7566561190556623e+35,5.7141017901443856e+35,207.28
Ilya Ivashka vs Juan Manuel Cerundolo (p2),86,86,1.0,6.883146438966418e+38,1.3707428571211408e+39,199.14
Borna Coric vs Sebastian Baez (p2),166,166,1.0,2.3517489193968506e+50,4.225682480096915e+50,179.68
Corentin Moutet vs Yibing Wu (p1),48,48,1.0,9.636358756417493e+26,1.6580966847997356e+27,172.07
Dalibor Svrcina vs Jaume Munar (p1),68,68,1.0,9.947168805166362e+29,1.6610931853988652e+30,166.99
Brandon Nakashima vs Mackenzie McDonald (p2),64,64,1.0,4.977189926640247e+28,7.846192378378388e+28,157.64
Daniel Elahi Galan vs Jeremy Chardy (p2),16,16,1.0,1.0532676068586674e+31,1.5227924316634962e+31,144.58
Brandon Nakashima vs Laslo Djere (p2),94,94,1.0,1.501837282101259e+49,2.1590094953601716e+49,143.76
Enzo Couacaud vs Jiri Vesely (p2),94,94,1.0,8.659552771320102e+51,1.22414913953179e+52,141.36
Alexander Bublik vs Dominic Thiem (p2),94,94,1.0,8.251668274551137e+37,1.1249222974793746e+38,136.33
Laslo Djere vs Zizou Bergs (p1),8,8,1.0,2.4908742136740775e+30,3.3586164076139064e+30,134.84
Alexei Popyrin vs Dominic Stricker (p2),96,96,1.0,9.22576489469587e+51,1.2237239304177397e+52,132.64
Karen Khachanov vs Michael Mmoh (p2),176,176,1.0,2.0209695241472634e+47,2.51592030125934e+47,124.49
Mikael Ymer vs Yoshihito Nishioka (p2),66,66,1.0,3.4321175342161944e+29,3.932396721835408e+29,114.58
Botic Van de Zandschulp vs Ilya Ivashka (p2),38,38,1.0,3.300878079272645e+25,3.7546701282059305e+25,113.75
Constant Lestienne vs Thiago Monteiro (p1),66,66,1.0,1.7984313803175621e+30,1.8857596205235523e+30,104.86
Adrian Mannarino vs John Isner (p1),136,136,1.0,1.073731327510228e+32,1.0921037303070813e+32,101.71
Lloyd Harris vs Marton Fucsovics (p2),62,62,1.0,2.573994024951662e+37,2.5935754013334474e+37,100.76
Gregoire Barrere vs Jakub Mensik (p2),96,96,1.0,1.1470859330176703e+37,1.146059045953504e+37,99.91
Botic Van de Zandschulp vs Tallon Griekspoor (p2),66,66,1.0,1.870297097290294e+37,1.8625773044022978e+37,99.59
Richard Gasquet vs Ugo Humbert (p2),134,134,1.0,3.662837072565619e+33,3.64607089134491e+33,99.54
Rinky Hijikata vs Yannick Hanfmann (p1),66,66,1.0,1.3589982042212788e+33,1.3496709401330597e+33,99.31
Benjamin Bonzi vs Mattia Bellucci (p1),36,36,1.0,5.919591998257007e+31,5.795444360202833e+31,97.9
Jason Kubler vs Matteo Arnaldi (p2),12,12,1.0,4.755881810877079e+48,4.5362152854835694e+48,95.38
Miomir Kecmanovic vs Nicolas Jarry (p2),34,34,1.0,6.58698047003367e+30,6.222470695316552e+30,94.47
Constant Lestienne vs Daniel Altmaier (p2),14,14,1.0,3.647787877026299e+44,3.1329332196242027e+44,85.89
Pavel Kotov vs Rinky Hijikata (p2),10,10,1.0,2.1742630038257835e+46,1.8482202821282886e+46,85.0
Dusan Lajovic vs Yibing Wu (p2),12,12,1.0,2.098189262701442e+53,1.772854724784464e+53,84.49
Nuno Borges vs Sebastian Ofner (p2),10,10,1.0,7.583100823630455e+38,5.498790206305667e+38,72.51
Diane Parry vs Katie Boulter (p2),1,1,1.0,2.6106942974542136e+52,1.5664165784725286e+52,60.0
Otto Virtanen vs Tomas Martin Etcheverry (p2),18,18,1.0,2.7509879857030406e+53,1.588031993754256e+53,57.73
Harriet Dart vs Jil Teichmann (p2),1,1,1.0,8.486617221730244e+49,4.837371816386238e+49,57.0
Danielle Collins vs Karolina Muchova (p1),1,1,1.0,4.422525532590922e+53,2.4766142982509163e+53,56.0
Luca Van Assche vs Nicolas Jarry (p2),10,10,1.0,9.436575453181497e+48,5.1901164992498233e+48,55.0
Jasmine Paolini vs Jelena Ostapenko (p2),3,3,1.0,7.103303959765269e+52,3.622685019480287e+52,51.0
