matchup,total_bets,total_profit,roi_percent
Adrian Mannarino vs Fabian Marozsan,38,-38.0,-100.0
Adrian Mannarino vs John Isner,68,69.0,101.47058823529412
Adrian Mannarino vs Yosuke Watanuki,47,-47.0,-100.0
Ajla Tomljanovic vs Panna Udvardy,4,2.0,50.0
Alejandro Davidovich Fokina vs Alexander Bublik,60,-30.240000000000002,-50.4
Alejandro Davidovich Fokina vs Juan Manuel Cerundolo,33,-33.0,-100.0
Alejandro Davidovich Fokina vs Marcos Giron,48,-48.0,-100.0
Aleksandar Vukic vs Alexander Zverev,18,-18.0,-100.0
Alex Molcan vs Grigor Dimitrov,4,0.7999999999999996,19.99999999999999
Alex de Minaur vs Timofey Skatov,86,946.51,1100.593023255814
Alex de Minaur vs Yu Hsiou Hsu,42,-42.0,-100.0
Alexander Bublik vs Dominic Thiem,47,65.37,139.08510638297872
Alexander Shevchenko vs Cameron Norrie,8,1.96,24.5
Alexander Zverev vs Juan Pablo Varillas,65,4.73,7.276923076923078
Alexandre Muller vs Novak Djokovic,78,-78.0,-100.0
Alexei Popyrin vs Chun Hsin Tseng,69,10.469999999999994,15.173913043478251
Alexei Popyrin vs Dominic Stricker,48,64.86,135.125
Aliaksandra Sasnovich vs Brenda Fruhvirtova,35,14.069999999999997,40.199999999999996
Aliaksandra Sasnovich vs Jessica Pegula,31,5.259999999999997,16.96774193548386
Aliaksandra Sasnovich vs Magda Linette,4,5.44,136.0
Alison Van Uytvanck vs Petra Kvitova,35,8.809999999999999,25.171428571428567
Alycia Parks vs Daria Kasatkina,4,0.7199999999999996,17.99999999999999
Ana Bogdan vs Sofia Kenin,55,33.65,61.18181818181818
Anastasia Pavlyuchenkova vs Camila Giorgi,25,-25.0,-100.0
Anastasia Pavlyuchenkova vs Fiona Crawley,6,2.0200000000000005,33.66666666666668
Anastasia Potapova vs Clara Tauson,3,-3.0,-100.0
Anastasia Potapova vs Sloane Stephens,1,1.0699999999999998,106.99999999999999
Andrey Rublev vs Dominic Thiem,43,10.120000000000001,23.534883720930235
Andy Murray vs Corentin Moutet,89,-89.0,-100.0
Andy Murray vs Matteo Berrettini,8,13.0,162.5
Anett Kontaveit vs Julia Grabher,44,3.75,8.522727272727273
Anhelina Kalinina vs Coco Vandeweghe,36,12.240000000000002,34.00000000000001
Anhelina Kalinina vs Petra Kvitova,31,-31.0,-100.0
Anhelina Kalinina vs Sara Sorribes Tormo,17,11.709999999999999,68.88235294117646
Anna Blinkova vs Madison Keys,32,7.679999999999999,23.999999999999996
Anna Kalinskaya vs Danielle Collins,20,7.289999999999998,36.44999999999999
Anna Kalinskaya vs Katerina Siniakova,5,-5.0,-100.0
Anna Karolina Schmiedlova vs Kateryna Baindl,2,-2.0,-100.0
Anna Karolina Schmiedlova vs Martina Trevisan,23,21.0,91.30434782608695
Anna Karolina Schmiedlova vs Rebeka Masarova,36,-36.0,-100.0
Arantxa Rus vs Madison Keys,5,0.8999999999999996,17.999999999999993
Arianne Hartono vs Shelby Rogers,32,4.789999999999997,14.968749999999991
Arthur Fils vs Tallon Griekspoor,85,-85.0,-100.0
Arthur Rinderknech vs Diego Schwartzman,86,-86.0,-100.0
Arthur Rinderknech vs Yosuke Watanuki,6,-6.0,-100.0
Aryna Sabalenka vs Maryna Zanevska,69,-69.0,-100.0
Ashlyn Krueger vs Marie Bouzkova,82,29.74,36.26829268292683
Aslan Karatsev vs Grigor Dimitrov,37,-33.73,-91.16216216216215
Aslan Karatsev vs Jiri Lehecka,44,-44.0,-100.0
Attila Balazs vs Daniil Medvedev,57,-57.0,-100.0
Barbora Krejcikova vs Clara Burel,31,5.499999999999997,17.74193548387096
Barbora Krejcikova vs Sara Bejlek,35,7.089999999999996,20.25714285714285
Barbora Strycova vs Kaia Kanepi,82,27.200000000000003,33.17073170731708
Beatriz Haddad Maia vs Sloane Stephens,6,-6.0,-100.0
Belinda Bencic vs Kamilla Rakhimova,4,-4.0,-100.0
Belinda Bencic vs Viktoriya Tomova,3,0.21000000000000002,7.000000000000001
Ben Shelton vs Dominic Thiem,40,-40.0,-100.0
Ben Shelton vs Pedro Cachin,47,-47.0,-100.0
Ben Shelton vs Zhizhen Zhang,53,-53.0,-100.0
Benjamin Bonzi vs Mattia Bellucci,32,12.74,39.8125
Benjamin Bonzi vs Quentin Halys,45,-45.0,-100.0
Bernabe Zapata Miralles vs Ethan Quinn,45,-45.0,-100.0
Bernabe Zapata Miralles vs Karen Khachanov,11,0.76,6.909090909090909
Bernarda Pera vs Moyuka Uchijima,35,8.879999999999999,25.371428571428567
Bernarda Pera vs Qinwen Zheng,31,-31.0,-100.0
Bernarda Pera vs Veronika Kudermetova,38,-38.0,-100.0
Bianca Andreescu vs Cristina Bucsa,31,-31.0,-100.0
Bianca Andreescu vs Marie Bouzkova,7,1.1499999999999997,16.428571428571423
Borna Coric vs Jiri Lehecka,3,-3.0,-100.0
Borna Coric vs Sebastian Baez,83,144.99,174.6867469879518
Borna Gojo vs Hugo Dellien,56,-56.0,-100.0
Botic Van De Zandschulp vs Jordan Thompson,81,-81.0,-100.0
Botic Van de Zandschulp vs Ilya Ivashka,22,28.5,129.54545454545453
