matchup+side,bets,wins,winrate,total_staked,profit,roi
Kaia Kanepi vs Kimberly Birrell (p2),1,1,1.0,18.52,138.89,750.0
Kamilla Rakhimova vs Kateryna Baindl (p2),1,1,1.0,19.97,18.17,91.0
Anastasia Pavlyuchenkova vs Camila Giorgi (p2),1,1,1.0,19.52,16.79,86.0
Petra Martic vs Viktorija Golubic (p1),1,1,1.0,19.9,15.13,76.0
Evgeniya Rodina vs Katie Volynets (p2),1,1,1.0,20.87,13.77,66.0
Karolina Muchova vs Lesia Tsurenko (p1),1,1,1.0,19.71,12.81,65.0
Claire Liu vs Madison Brengle (p1),1,1,1.0,18.69,11.96,64.0
Danielle Collins vs Karolina Muchova (p1),1,1,1.0,18.18,10.18,56.0
Donna Vekic vs Oksana Selekhmeteva (p1),1,1,1.0,18.39,6.62,36.0
Arianne Hartono vs Shelby Rogers (p1),1,0,0.0,14.5,-14.5,-100.0
Anna Karolina Schmiedlova vs Martina Trevisan (p2),1,0,0.0,19.92,-19.92,-100.0
Leolia Jeanjean vs Nadia Podoroska (p1),1,0,0.0,20.33,-20.33,-100.0
Lin Zhu vs Rebecca Marino (p2),1,0,0.0,19.07,-19.07,-100.0
Iga Swiatek vs Jule Niemeier (p2),1,0,0.0,19.86,-19.86,-100.0
Anastasia Potapova vs Sloane Stephens (p2),1,0,0.0,18.93,-18.93,-100.0
Jil Teichmann vs Lin Zhu (p1),1,0,0.0,18.55,-18.55,-100.0
Dalma Galfi vs Qinwen Zheng (p1),1,0,0.0,19.46,-19.46,-100.0
Anett Kontaveit vs Julia Grabher (p2),1,0,0.0,21.3,-21.3,-100.0
Patricia Maria Tig vs Shuai Zhang (p1),1,0,0.0,21.15,-21.15,-100.0
Laura Siegemund vs Lucia Bronzetti (p2),1,0,0.0,20.72,-20.72,-100.0
Sorana Cirstea vs Yulia Putintseva (p1),1,0,0.0,20.31,-20.31,-100.0
Nadia Podoroska vs Victoria Azarenka (p1),1,0,0.0,20.2,-20.2,-100.0
