matchup+side,bets,wins,winrate,total_staked,profit,roi
Patricia Maria Tig vs Rebecca Marino (p1),1,1,1.0,19.34,101.54,525.0
Barbora Krejcikova vs Lucia Bronzetti (p2),1,1,1.0,18.08,68.7,380.0
Donna Vekic vs Sachia Vickery (p2),1,1,1.0,19.06,53.38,280.0
Fiona Ferro vs Victoria Azarenka (p1),1,0,0.0,19.21,-19.21,-100.0
Karolina Muchova vs Storm Hunter (p2),1,0,0.0,19.6,-19.6,-100.0
Belinda Bencic vs Kamilla Rakhimova (p2),1,0,0.0,20.0,-20.0,-100.0
Mirra Andreeva vs Olivia Gadecki (p2),1,0,0.0,18.82,-18.82,-100.0
Anastasia Pavlyuchenkova vs Fiona Crawley (p2),1,0,0.0,19.45,-19.45,-100.0
Danielle Collins vs Linda Fruhvirtova (p2),1,0,0.0,18.45,-18.45,-100.0
Karolina Muchova vs Magdalena Frech (p2),1,0,0.0,20.13,-20.13,-100.0
Arantxa Rus vs Madison Keys (p1),1,0,0.0,19.37,-19.37,-100.0
