snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-01-16,2023-01-16,Daniil Medvedev,Marcos Giron,Daniil Medvedev,Marcos Giron,1.04,10.0,0.9615384615384616,0.1,Paddy Power,Daniil Medvedev,True,False,-0.06153846153846154,0.8615384615384616,1
2023-01-16,2023-01-16,Tallon Griekspoor,Pavel Kotov,Pavel Kotov,Tallon Griekspoor,3.4,1.32,0.2941176470588235,0.7575757575757576,Barstool Sportsbook,Tallon Griekspoor,False,True,-0.051693404634581164,-0.4634581105169341,0
2023-01-16,2023-01-16,Yoshihito Nishioka,Mikael Ymer,Mikael Ymer,Yoshihito Nishioka,1.63,2.23,0.6134969325153374,0.4484304932735426,Unibet,Yoshihito Nishioka,False,True,-0.06192742578888,0.16506643924179482,0
2023-01-16,2023-01-16,Sebastian Korda,Cristian Garin,Cristian Garin,Sebastian Korda,10.0,1.03,0.1,0.970873786407767,Bet Victor,Sebastian Korda,False,True,-0.07087378640776709,-0.870873786407767,0
2023-01-16,2023-01-16,Karen Khachanov,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Karen Khachanov,10.0,1.05,0.1,0.9523809523809524,TAB,Karen Khachanov,False,True,-0.05238095238095242,-0.8523809523809525,0
2023-01-16,2023-01-16,Frances Tiafoe,Daniel Altmaier,Daniel Altmaier,Frances Tiafoe,6.75,1.1,0.1481481481481481,0.9090909090909092,SportsBet,Frances Tiafoe,False,True,-0.05723905723905731,-0.760942760942761,0
2023-01-16,2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.43,2.75,0.6993006993006994,0.3636363636363636,Bovada,Botic Van De Zandschulp,False,False,-0.06293706293706292,0.3356643356643358,0
2023-01-16,2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,4.8,0.8547008547008548,0.2083333333333333,Unibet,Juncheng Shang,True,False,-0.06303418803418803,0.6463675213675215,1
2023-01-16,2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.0,1.37,0.3333333333333333,0.7299270072992701,Unibet,Tomas Martin Etcheverry,False,True,-0.06326034063260333,-0.39659367396593675,0
2023-01-16,2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.01,19.0,0.99009900990099,0.0526315789473684,Bet Victor,Francisco Cerundolo,True,False,-0.04273058884835845,0.9374674309536216,1
