snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-05-28,2023-05-29,Nuno Borges,John Isner,John Isner,Nuno Borges,2.9,1.41,0.3448275862068966,0.7092198581560284,Unibet,Nuno Borges,False,True
2023-05-28,2023-05-29,Stefanos Tsitsipas,Jiri Vesely,Jiri Vesely,Stefanos Tsitsipas,17.0,1.02,0.0588235294117647,0.9803921568627452,LowVig.ag,Stefanos Tsitsipas,False,True
2023-05-28,2023-05-29,Matteo Arnaldi,Daniel Elahi Galan,Daniel Elahi Galan,Matteo Arnaldi,2.6,1.5,0.3846153846153846,0.6666666666666666,William Hill,Matteo Arnaldi,False,True
2023-05-28,2023-05-29,Andrey Rublev,Laslo Djere,Andrey Rublev,Laslo Djere,1.2,4.4,0.8333333333333334,0.2272727272727272,SportsBet,Andrey Rublev,True,False
2023-05-28,2023-05-29,Sebastian Korda,Mackenzie Mcdonald,Mackenzie Mcdonald,Sebastian Korda,2.7,1.47,0.3703703703703703,0.6802721088435374,Unibet,Sebastian Korda,False,True
2023-05-28,2023-05-29,Jason Kubler,Facundo Diaz Acosta,Facundo Diaz Acosta,Jason Kubler,1.68,2.15,0.5952380952380952,0.4651162790697674,SportsBet,Jason Kubler,False,True
2023-05-28,2023-05-29,Hubert Hurkacz,David Goffin,David Goffin,Hubert Hurkacz,2.75,1.45,0.3636363636363636,0.6896551724137931,Unibet,Hubert Hurkacz,False,True
2023-05-28,2023-05-29,Karen Khachanov,Constant Lestienne,Constant Lestienne,Karen Khachanov,13.0,1.03,0.0769230769230769,0.970873786407767,Bet Victor,Karen Khachanov,False,True
2023-05-28,2023-05-29,Marton Fucsovics,Hugo Grenier,Hugo Grenier,Marton Fucsovics,4.5,1.21,0.2222222222222222,0.8264462809917356,Unibet,Marton Fucsovics,False,True
2023-05-28,2023-05-29,Thanasi Kokkinakis,Daniel Evans,Daniel Evans,Thanasi Kokkinakis,1.79,2.05,0.5586592178770949,0.4878048780487805,FanDuel,Thanasi Kokkinakis,False,True
2023-05-28,2023-05-29,Radu Albot,Patrick Kypson,Patrick Kypson,Radu Albot,2.98,1.4,0.3355704697986577,0.7142857142857143,1xBet,Radu Albot,False,True
2023-05-28,2023-05-29,Tallon Griekspoor,Pedro Martinez,Pedro Martinez,Tallon Griekspoor,1.78,2.09,0.5617977528089888,0.4784688995215311,LowVig.ag,Tallon Griekspoor,False,True
2023-05-28,2023-05-29,Sebastian Ofner,Maxime Cressy,Maxime Cressy,Sebastian Ofner,2.9,1.42,0.3448275862068966,0.7042253521126761,DraftKings,Sebastian Ofner,False,True
2023-05-28,2023-05-29,Alexander Shevchenko,Oscar Otte,Alexander Shevchenko,Oscar Otte,1.38,3.04,0.7246376811594204,0.3289473684210526,Marathon Bet,Alexander Shevchenko,True,False
2023-05-28,2023-05-29,Lorenzo Sonego,Ben Shelton,Ben Shelton,Lorenzo Sonego,2.9,1.42,0.3448275862068966,0.7042253521126761,Barstool Sportsbook,Lorenzo Sonego,False,True
2023-05-28,2023-05-29,Corentin Moutet,Arthur Cazaux,Arthur Cazaux,Corentin Moutet,1.95,1.85,0.5128205128205129,0.5405405405405405,SportsBet,Corentin Moutet,False,True
2023-05-28,2023-05-29,Ugo Humbert,Adrian Mannarino,Adrian Mannarino,Ugo Humbert,4.1,1.24,0.2439024390243902,0.8064516129032259,Unibet,Ugo Humbert,False,True
2023-05-28,2023-05-29,Lucas Pouille,Jurij Rodionov,Jurij Rodionov,Lucas Pouille,2.1,1.68,0.4761904761904761,0.5952380952380952,Mr Green,Lucas Pouille,False,True
2023-05-28,2023-05-29,Lorenzo Musetti,Mikael Ymer,Lorenzo Musetti,Mikael Ymer,1.2,4.6,0.8333333333333334,0.2173913043478261,TwinSpires,Lorenzo Musetti,True,False
2023-05-29,2023-05-29,Tomas Martin Etcheverry,Jack Draper,Jack Draper,Tomas Martin Etcheverry,2.1,1.74,0.4761904761904761,0.5747126436781609,Unibet,Tomas Martin Etcheverry,False,True
2023-05-29,2023-05-29,Roberto Bautista Agut,Yibing Wu,Roberto Bautista Agut,Yibing Wu,1.47,2.76,0.6802721088435374,0.3623188405797102,FanDuel,Roberto Bautista Agut,True,False
2023-05-29,2023-05-29,Borna Coric,Federico Coria,Borna Coric,Federico Coria,1.09,6.5,0.9174311926605504,0.1538461538461538,TAB,Borna Coric,True,False
2023-05-29,2023-05-29,Novak Djokovic,Aleksandar Kovacevic,Aleksandar Kovacevic,Novak Djokovic,29.0,1.01,0.0344827586206896,0.99009900990099,FanDuel,Novak Djokovic,False,True
2023-05-29,2023-05-29,Cameron Norrie,Benoit Paire,Benoit Paire,Cameron Norrie,5.2,1.17,0.1923076923076923,0.8547008547008548,Unibet,Cameron Norrie,False,True
2023-05-29,2023-05-29,Juan Pablo Varillas,Juncheng Shang,Juan Pablo Varillas,Juncheng Shang,1.53,2.45,0.6535947712418301,0.4081632653061224,SportsBet,Juan Pablo Varillas,True,False
2023-05-29,2023-05-29,Aslan Karatsev,Alexei Popyrin,Alexei Popyrin,Aslan Karatsev,2.1,1.7,0.4761904761904761,0.5882352941176471,Coral,Aslan Karatsev,False,True
2023-05-29,2023-05-29,Diego Schwartzman,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Diego Schwartzman,1.63,2.28,0.6134969325153374,0.4385964912280702,Unibet,Diego Schwartzman,False,True
2023-05-29,2023-05-29,Denis Shapovalov,Brandon Nakashima,Brandon Nakashima,Denis Shapovalov,1.76,2.07,0.5681818181818182,0.4830917874396135,Barstool Sportsbook,Denis Shapovalov,False,True
2023-05-29,2023-05-29,Alex De Minaur,Ilya Ivashka,Alex De Minaur,Ilya Ivashka,1.28,3.5,0.78125,0.2857142857142857,FOX Bet,Alex De Minaur,True,False
2023-05-29,2023-05-29,Luca Van Assche,Marco Cecchinato,Luca Van Assche,Marco Cecchinato,1.82,2.0,0.5494505494505494,0.5,Unibet,Luca Van Assche,True,False
2023-05-29,2023-05-29,Zhizhen Zhang,Dusan Lajovic,Dusan Lajovic,Zhizhen Zhang,1.5,2.5,0.6666666666666666,0.4,FOX Bet,Zhizhen Zhang,False,True
2023-05-29,2023-05-29,Jannik Sinner,Alexandre Muller,Alexandre Muller,Jannik Sinner,12.0,1.01,0.0833333333333333,0.99009900990099,TAB,Jannik Sinner,False,True
2023-05-29,2023-05-29,Pedro Cachin,Dominic Thiem,Dominic Thiem,Pedro Cachin,1.76,2.06,0.5681818181818182,0.4854368932038835,Unibet,Pedro Cachin,False,True
2023-05-29,2023-05-29,Carlos Alcaraz,Flavio Cobolli,Carlos Alcaraz,Flavio Cobolli,1.01,12.0,0.99009900990099,0.0833333333333333,BlueBet,Carlos Alcaraz,True,False
2023-05-29,2023-05-29,Thiago Agustin Tirante,Botic Van De Zandschulp,Botic Van De Zandschulp,Thiago Agustin Tirante,1.19,4.85,0.8403361344537815,0.2061855670103093,FanDuel,Thiago Agustin Tirante,False,True
2023-05-29,2023-05-29,Alejandro Davidovich Fokina,Arthur Fils,Alejandro Davidovich Fokina,Arthur Fils,1.25,3.7,0.8,0.2702702702702702,FOX Bet,Alejandro Davidovich Fokina,True,False
2023-05-29,2023-05-29,Frances Tiafoe,Filip Krajinovic,Filip Krajinovic,Frances Tiafoe,3.6,1.29,0.2777777777777778,0.7751937984496123,William Hill,Frances Tiafoe,False,True
2023-05-29,2023-05-29,Marcos Giron,Hamad Medjedovic,Hamad Medjedovic,Marcos Giron,1.71,2.15,0.5847953216374269,0.4651162790697674,DraftKings,Marcos Giron,False,True
2023-05-30,2023-05-29,Denis Shapovalov,Matteo Arnaldi,Denis Shapovalov,Matteo Arnaldi,1.95,1.85,0.5128205128205129,0.5405405405405405,Unibet,Denis Shapovalov,True,False
2023-05-30,2023-05-29,Diego Schwartzman,Nuno Borges,Diego Schwartzman,Nuno Borges,1.7,2.1,0.5882352941176471,0.4761904761904761,TAB,Diego Schwartzman,True,False
2023-05-30,2023-05-29,Hubert Hurkacz,Tallon Griekspoor,Hubert Hurkacz,Tallon Griekspoor,1.42,2.88,0.7042253521126761,0.3472222222222222,Unibet,Hubert Hurkacz,True,False
2023-05-30,2023-05-29,Fabio Fognini,Jason Kubler,Fabio Fognini,Jason Kubler,1.5,2.55,0.6666666666666666,0.3921568627450981,BetMGM,Fabio Fognini,True,False
2023-05-30,2023-05-29,Lorenzo Musetti,Alexander Shevchenko,Alexander Shevchenko,Lorenzo Musetti,4.0,1.25,0.25,0.8,PointsBet (AU),Lorenzo Musetti,False,True
2023-05-30,2023-05-29,Carlos Alcaraz,Taro Daniel,Carlos Alcaraz,Taro Daniel,1.01,16.0,0.99009900990099,0.0625,Virgin Bet,Carlos Alcaraz,True,False
2023-05-30,2023-05-29,Andrey Rublev,Corentin Moutet,Andrey Rublev,Corentin Moutet,1.09,11.0,0.9174311926605504,0.0909090909090909,Matchbook,Andrey Rublev,True,False
2023-05-30,2023-05-29,Cameron Norrie,Lucas Pouille,Cameron Norrie,Lucas Pouille,1.22,4.35,0.819672131147541,0.2298850574712644,Unibet,Cameron Norrie,True,False
2023-05-30,2023-05-29,Tomas Martin Etcheverry,Alex De Minaur,Alex De Minaur,Tomas Martin Etcheverry,1.73,2.12,0.5780346820809249,0.4716981132075471,Unibet,Tomas Martin Etcheverry,False,True
2023-05-30,2023-05-29,Thanasi Kokkinakis,Stan Wawrinka,Stan Wawrinka,Thanasi Kokkinakis,1.91,1.91,0.5235602094240838,0.5235602094240838,Virgin Bet,Thanasi Kokkinakis,False,True
2023-05-30,2023-05-29,Marcos Giron,Jiri Lehecka,Jiri Lehecka,Marcos Giron,1.48,2.65,0.6756756756756757,0.3773584905660377,BetRivers,Marcos Giron,False,True
2023-05-30,2023-05-29,Frances Tiafoe,Aslan Karatsev,Aslan Karatsev,Frances Tiafoe,1.85,1.94,0.5405405405405405,0.5154639175257733,Unibet,Frances Tiafoe,False,True
2023-05-30,2023-05-29,Daniel Altmaier,Jannik Sinner,Daniel Altmaier,Jannik Sinner,8.5,1.08,0.1176470588235294,0.9259259259259258,Unibet,Daniel Altmaier,True,False
2023-05-30,2023-05-29,Borna Coric,Pedro Cachin,Borna Coric,Pedro Cachin,1.43,3.05,0.6993006993006994,0.3278688524590164,Pinnacle,Borna Coric,True,False
