snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-08-28,2023-08-28,Stefanos Tsitsipas,Milos Raonic,Milos Raonic,Stefanos Tsitsipas,3.55,1.3,0.2816901408450704,0.7692307692307692,BetRivers,Stefanos Tsitsipas,False,True,-0.050920910075839654,-0.4875406283856988,0
2023-08-28,2023-08-28,Jakub Mensik,Gregoire Barrere,Gregoire Barrere,Jakub Mensik,1.82,2.0,0.5494505494505494,0.5,Unibet,Jakub Mensik,False,True,-0.049450549450549275,0.049450549450549386,0
2023-08-28,2023-08-28,Casper Ruud,Emilio Nava,Casper Ruud,Emilio Nava,1.15,4.6,0.8695652173913044,0.2173913043478261,LeoVegas,Casper Ruud,True,False,-0.0869565217391306,0.6521739130434783,1
2023-08-28,2023-08-28,Frances Tiafoe,Learner Tien,Frances Tiafoe,Learner Tien,1.01,18.0,0.99009900990099,0.0555555555555555,Betway,Frances Tiafoe,True,False,-0.04565456545654545,0.9345434543454345,1
2023-08-28,2023-08-28,Titouan Droguet,Lorenzo Musetti,Lorenzo Musetti,Titouan Droguet,1.1,6.5,0.9090909090909092,0.1538461538461538,888sport,Titouan Droguet,False,True,-0.06293706293706292,0.7552447552447554,0
2023-08-28,2023-08-28,Rinky Hijikata,Pavel Kotov,Pavel Kotov,Rinky Hijikata,2.05,1.77,0.4878048780487805,0.5649717514124294,Casumo,Rinky Hijikata,False,True,-0.05277662946120998,-0.07716687336364891,0
2023-08-28,2023-08-28,Ben Shelton,Pedro Cachin,Ben Shelton,Pedro Cachin,1.22,5.3,0.819672131147541,0.1886792452830188,Matchbook,Ben Shelton,True,False,-0.008351376430559831,0.6309928858645222,1
2023-08-28,2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.45,2.75,0.6896551724137931,0.3636363636363636,Betway,Adrian Mannarino,True,False,-0.053291536050156685,0.32601880877742956,1
2023-08-28,2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.57,2.38,0.6369426751592356,0.4201680672268907,Neds,Dominic Thiem,False,True,-0.057110742386126345,0.21677460793234493,0
2023-08-28,2023-08-28,Sebastian Ofner,Nuno Borges,Nuno Borges,Sebastian Ofner,2.15,1.67,0.4651162790697674,0.5988023952095809,Virgin Bet,Sebastian Ofner,False,True,-0.06391867427934828,-0.13368611613981352,0
2023-08-28,2023-08-28,Alejandro Davidovich Fokina,Marcos Giron,Alejandro Davidovich Fokina,Marcos Giron,1.34,3.3,0.7462686567164178,0.303030303030303,Unibet,Alejandro Davidovich Fokina,True,False,-0.04929895974672083,0.44323835368611486,1
2023-08-28,2023-08-28,Fabian Marozsan,Richard Gasquet,Fabian Marozsan,Richard Gasquet,2.75,1.45,0.3636363636363636,0.6896551724137931,Betway,Fabian Marozsan,True,False,-0.053291536050156685,-0.32601880877742956,1
2023-08-28,2023-08-28,Juan Manuel Cerundolo,Ilya Ivashka,Ilya Ivashka,Juan Manuel Cerundolo,1.38,3.05,0.7246376811594204,0.3278688524590164,Betr,Juan Manuel Cerundolo,False,True,-0.05250653361843671,0.396768828700404,0
2023-08-28,2023-08-28,Dominic Stricker,Alexei Popyrin,Alexei Popyrin,Dominic Stricker,1.55,2.4,0.6451612903225806,0.4166666666666667,TAB,Dominic Stricker,False,True,-0.06182795698924726,0.22849462365591394,0
2023-08-28,2023-08-28,Tommy Paul,Stefano Travaglia,Stefano Travaglia,Tommy Paul,10.0,1.05,0.1,0.9523809523809524,Betway,Tommy Paul,False,True,-0.05238095238095242,-0.8523809523809525,0
2023-08-28,2023-08-28,Taylor Fritz,Steve Johnson,Steve Johnson,Taylor Fritz,12.0,1.05,0.0833333333333333,0.9523809523809524,Neds,Taylor Fritz,False,True,-0.03571428571428581,-0.8690476190476192,0
2023-08-28,2023-08-28,Hugo Gaston,Sho Shimabukuro,Hugo Gaston,Sho Shimabukuro,2.04,1.78,0.4901960784313725,0.5617977528089888,Marathon Bet,Hugo Gaston,True,False,-0.05199383124036139,-0.07160167437761633,1
2023-08-28,2023-08-28,Bernabe Zapata Miralles,Ethan Quinn,Bernabe Zapata Miralles,Ethan Quinn,1.44,2.75,0.6944444444444444,0.3636363636363636,Barstool Sportsbook,Bernabe Zapata Miralles,True,False,-0.058080808080807955,0.33080808080808083,1
2023-08-28,2023-08-28,Benjamin Bonzi,Quentin Halys,Benjamin Bonzi,Quentin Halys,2.35,1.6,0.425531914893617,0.625,Unibet,Benjamin Bonzi,True,False,-0.05053191489361697,-0.19946808510638298,1
