snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,is_fav_p1
2023-07-03,2023-07-03,Jannik Sinner,Juan Manuel Cerundolo,Jannik Sinner,Juan Manuel Cerundolo,1.03,13.0,0.970873786407767,0.07692307692307693,Unibet,Jannik Sinner,True,False,0.047796863330843875,0.8939507094846901,1
2023-07-03,2023-07-03,Taylor Fritz,Yannick Hanfmann,Taylor Fritz,Yannick Hanfmann,1.25,4.0,0.8,0.25,Unibet,Taylor Fritz,True,False,0.050000000000000044,0.55,1
2023-07-03,2023-07-03,Jaume Munar,John Isner,Jaume Munar,John Isner,3.35,1.33,0.29850746268656714,0.7518796992481203,Unibet,Jaume Munar,True,False,0.0503871619346874,-0.4533722365615531,0
2023-07-03,2023-07-03,Corentin Moutet,Richard Gasquet,Corentin Moutet,Richard Gasquet,2.38,1.59,0.42016806722689076,0.6289308176100629,Betr,Corentin Moutet,True,False,0.04909888483695357,-0.2087627503831721,0
2023-07-03,2023-07-03,Novak Djokovic,Pedro Cachin,Novak Djokovic,Pedro Cachin,1.01,21.0,0.9900990099009901,0.047619047619047616,William Hill,Novak Djokovic,True,False,0.03771805752003776,0.9424799622819424,1
2023-07-03,2023-07-03,Aleksandar Vukic,Daniel Altmaier,Aleksandar Vukic,Daniel Altmaier,1.56,2.43,0.641025641025641,0.4115226337448559,Barstool Sportsbook,Aleksandar Vukic,True,False,0.05254827477049684,0.22950300728078504,1
2023-07-03,2023-07-03,Casper Ruud,Laurent Lokoli,Casper Ruud,Laurent Lokoli,1.22,4.2,0.819672131147541,0.23809523809523808,Betsson,Casper Ruud,True,False,0.05776736924277914,0.5815768930523029,1
2023-07-03,2023-07-03,Mikael Ymer,Alex Molcan,Alex Molcan,Mikael Ymer,2.51,1.51,0.39840637450199207,0.6622516556291391,BlueBet,Mikael Ymer,False,True,0.060658030131131246,-0.26384528112714706,0
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.77,2.05,0.5649717514124294,0.48780487804878053,TAB,Aslan Karatsev,True,False,0.05277662946120998,0.07716687336364886,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,8.0,0.9433962264150942,0.125,888sport,Andrey Rublev,True,False,0.06839622641509413,0.8183962264150942,1
2023-07-03,2023-07-03,Liam Broady,Constant Lestienne,Constant Lestienne,Liam Broady,2.32,1.61,0.4310344827586207,0.6211180124223602,Unibet,Liam Broady,False,True,0.05215249518098086,-0.19008352966373948,0
2023-07-03,2023-07-03,Jordan Thompson,Brandon Nakashima,Brandon Nakashima,Jordan Thompson,1.88,1.89,0.5319148936170213,0.5291005291005292,BlueBet,Jordan Thompson,False,True,0.06101542271755056,0.002814364516492085,1
2023-07-03,2023-07-03,Lorenzo Musetti,Juan Pablo Varillas,Juan Pablo Varillas,Lorenzo Musetti,13.0,1.01,0.07692307692307693,0.9900990099009901,TopSport,Lorenzo Musetti,False,True,0.06702208682406696,-0.9131759329779132,0
2023-07-03,2023-07-03,Maximilian Marterer,Borna Gojo,Borna Gojo,Maximilian Marterer,1.83,1.91,0.5464480874316939,0.5235602094240838,William Hill (US),Maximilian Marterer,False,True,0.07000829685577781,0.022887878007610163,1
2023-07-03,2023-07-03,Quentin Halys,Daniel Evans,Daniel Evans,Quentin Halys,1.81,2.04,0.5524861878453039,0.49019607843137253,LowVig.ag,Quentin Halys,False,True,0.04268226627667637,0.06229010941393137,1
2023-07-03,2023-07-03,Roman Safiullin,Roberto Bautista Agut,Roberto Bautista Agut,Roman Safiullin,1.3,3.6,0.7692307692307692,0.2777777777777778,Betsson,Roman Safiullin,False,True,0.04700854700854684,0.4914529914529914,1
2023-07-03,2023-07-03,Guido Pella,Borna Coric,Borna Coric,Guido Pella,1.35,3.2,0.7407407407407407,0.3125,Betway,Guido Pella,False,True,0.0532407407407407,0.4282407407407407,1
