snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,winner_name,won
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.05,9.5,0.9523809523809524,0.1052631578947368,SportsBet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,7.8,0.9345794392523364,0.1282051282051282,MyBookie.ag,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,9.3,0.9433962264150942,0.1075268817204301,1xBet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,Bovada,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,7.5,0.9259259259259258,0.1333333333333333,William Hill,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,9.32,0.9174311926605504,0.1072961373390558,Pinnacle,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,9.0,0.9433962264150942,0.1111111111111111,Marathon Bet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,Ladbrokes,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,7.8,0.9345794392523364,0.1282051282051282,Betclic,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,11.0,0.9174311926605504,0.0909090909090909,Matchbook,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,Coral,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,Ladbrokes,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,7.5,0.9259259259259258,0.1333333333333333,Mr Green,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Unibet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Casumo,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Barstool Sportsbook,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,BetRivers,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,Neds,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.5,0.9259259259259258,0.1176470588235294,LowVig.ag,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,DraftKings,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,8.0,0.9345794392523364,0.125,TAB,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.5,0.9259259259259258,0.1176470588235294,BetOnline.ag,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,7.5,0.9259259259259258,0.1333333333333333,BetMGM,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.5,0.9259259259259258,0.1176470588235294,PointsBet (AU),Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,8.5,0.9345794392523364,0.1176470588235294,Betway,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,10.2,0.9433962264150942,0.0980392156862745,FanDuel,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,9.0,0.9433962264150942,0.1111111111111111,Betfair Sportsbook,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,8.5,0.9345794392523364,0.1176470588235294,Nordic Bet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.5,0.9259259259259258,0.1176470588235294,BetUS,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,Virgin Bet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Unibet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Unibet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Unibet,Andrey Rublev,True,False,Andrey Rublev,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,TwinSpires,Andrey Rublev,True,False,Andrey Rublev,1
