tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_date,market_id,market_time,market_name,runner_1,runner_2,player_1,player_2,actual_winner,odds_player_1,odds_player_2
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208696866,2023-01-16 20:01:00+00:00,Match Odds,Joao Lucas Reis Da Silv,Evan Zhu,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566276,2023-01-16 05:50:00+00:00,Match Odds,Jil Teichmann,Harriet Dart,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.20856628,2023-01-16 01:40:00+00:00,Match Odds,Yue Yuan,Maria Sakkari,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566284,2023-01-16 06:50:00+00:00,Match Odds,Xinyu Wang,Storm Hunter,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566288,2023-01-16 03:55:00+00:00,Match Odds,Lin Zhu,Rebecca Marino,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566292,2023-01-16 03:45:00+00:00,Match Odds,Sofia Kenin,Victoria Azarenka,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566296,2023-01-16 10:10:00+00:00,Match Odds,Madison Keys,Anna Blinkova,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.2085663,2023-01-16 00:05:00+00:00,Match Odds,Jessica Pegula,Jaqueline Cristian,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566304,2023-01-16 00:10:00+00:00,Match Odds,Marta Kostyuk,Amanda Anisimova,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566308,2023-01-16 00:10:00+00:00,Match Odds,Katerina Siniakova,Coco Gauff,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566312,2023-01-16 02:20:00+00:00,Match Odds,Alison Van Uytvanck,Petra Kvitova,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566316,2023-01-16 00:05:00+00:00,Match Odds,Emma Raducanu,Tamara Korpatsch,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.20856632,2023-01-16 02:15:00+00:00,Match Odds,Bernarda Pera,Moyuka Uchijima,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566324,2023-01-16 03:50:00+00:00,Match Odds,Dayana Yastremska,Jelena Ostapenko,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566328,2023-01-16 02:10:00+00:00,Match Odds,Kamilla Rakhimova,Kateryna Baindl,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566336,2023-01-16 03:55:00+00:00,Match Odds,Qinwen Zheng,Dalma Galfi,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.20856634,2023-01-16 04:00:00+00:00,Match Odds,Anna Bondar,Ana Bogdan,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566344,2023-01-16 06:00:00+00:00,Match Odds,Elena Rybakina,Elisabetta Cocciaretto,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566348,2023-01-16 00:05:00+00:00,Match Odds,Anna Kalinskaya,Danielle Collins,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566352,2023-01-16 05:50:00+00:00,Match Odds,Panna Udvardy,Camila Osorio,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208566356,2023-01-16 00:00:00+00:00,Match Odds,Iga Swiatek,Jule Niemeier,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.20856636,2023-01-16 00:10:00+00:00,Match Odds,Bianca Andreescu,Marie Bouzkova,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.20856756,2023-01-16 05:50:00+00:00,Match Odds,Federico Coria,Marton Fucsovics,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208567578,2023-01-16 05:10:00+00:00,Match Odds,John Millman,Marc-Andrea Huesler,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208567584,2023-01-16 00:05:00+00:00,Match Odds,Kyle Edmund,Jannik Sinner,Rafael Nadal,Jack Draper,Rafael Nadal,,
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.20856759,2023-01-16 01:45:00+00:00,Match Odds,Dusan Lajovic,Denis Shapovalov,Rafael Nadal,Jack Draper,Rafael Nadal,,
