tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_date,market_id,market_time,market_name,runner_1,runner_2,player_1,player_2,actual_winner,odds_player_1,odds_player_2,selection_id_1,selection_id_2,odds_margin,implied_prob_diff,player_1_lc,player_2_lc,won
2023-580,Australian Open,Hard,128,G,2023-01-16,100,104745,1.0,,Rafael Nadal,L,185.0,ESP,36.6,207733,,,Jack Draper,L,193.0,GBR,21.0,7-5 2-6 6-4 6-1,5,R128,221.0,6.0,3.0,119.0,78.0,57.0,21.0,19.0,7.0,11.0,13.0,3.0,115.0,67.0,42.0,27.0,18.0,6.0,12.0,2.0,5770.0,38.0,1020.0,2023-01-16,1.208567895,2023-01-16 03:50:00+00:00,Match Odds,Rafael Nadal,Jack Draper,Jack Draper,Rafael Nadal,Rafael Nadal,1.42,1.42,2251410,15313804,1.4084507042253522,0.0,rafael nadal,jack draper,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,102,207494,,Q,Dalibor Svrcina,R,178.0,CZE,20.2,144719,,,Jaume Munar,R,183.0,ESP,25.7,6-3 6-2 6-2,5,R128,136.0,0.0,4.0,69.0,48.0,37.0,12.0,13.0,4.0,5.0,7.0,6.0,102.0,65.0,40.0,10.0,12.0,11.0,18.0,216.0,249.0,64.0,777.0,2023-01-16,1.208575172,2023-01-16 05:00:00+00:00,Match Odds,Jaume Munar,Dalibor Svrcina,Jaume Munar,Dalibor Svrcina,Dalibor Svrcina,2.98,1.51,13714711,9350385,0.9978221254277968,0.3266811858304814,dalibor svrcina,jaume munar,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,103,106415,31.0,,Yoshihito Nishioka,L,170.0,JPN,27.3,144707,,,Mikael Ymer,R,183.0,SWE,24.3,6-4 6-2 7-5,5,R128,138.0,1.0,1.0,86.0,55.0,40.0,19.0,15.0,3.0,5.0,6.0,3.0,90.0,66.0,41.0,12.0,15.0,6.0,12.0,33.0,1212.0,69.0,751.0,2023-01-16,1.208567799,2023-01-16 01:40:00+00:00,Match Odds,Mikael Ymer,Yoshihito Nishioka,Mikael Ymer,Yoshihito Nishioka,Yoshihito Nishioka,2.24,1.8,7137497,8679651,1.001984126984127,0.1091269841269841,yoshihito nishioka,mikael ymer,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,103,106415,31.0,,Yoshihito Nishioka,L,170.0,JPN,27.3,144707,,,Mikael Ymer,R,183.0,SWE,24.3,6-4 6-2 7-5,5,R128,138.0,1.0,1.0,86.0,55.0,40.0,19.0,15.0,3.0,5.0,6.0,3.0,90.0,66.0,41.0,12.0,15.0,6.0,12.0,33.0,1212.0,69.0,751.0,2023-01-16,1.208567799,2023-01-16 01:40:00+00:00,Match Odds,Mikael Ymer,Yoshihito Nishioka,Yoshihito Nishioka,Mikael Ymer,Yoshihito Nishioka,2.24,1.8,7137497,8679651,1.001984126984127,0.1091269841269841,yoshihito nishioka,mikael ymer,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,103,106415,31.0,,Yoshihito Nishioka,L,170.0,JPN,27.3,144707,,,Mikael Ymer,R,183.0,SWE,24.3,6-4 6-2 7-5,5,R128,138.0,1.0,1.0,86.0,55.0,40.0,19.0,15.0,3.0,5.0,6.0,3.0,90.0,66.0,41.0,12.0,15.0,6.0,12.0,33.0,1212.0,69.0,751.0,2023-01-16,1.208567799,2023-01-16 01:40:00+00:00,Match Odds,Mikael Ymer,Yoshihito Nishioka,Mikael Ymer,Yoshihito Nishioka,Yoshihito Nishioka,2.24,1.8,7137497,8679651,1.001984126984127,0.1091269841269841,yoshihito nishioka,mikael ymer,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,103,106415,31.0,,Yoshihito Nishioka,L,170.0,JPN,27.3,144707,,,Mikael Ymer,R,183.0,SWE,24.3,6-4 6-2 7-5,5,R128,138.0,1.0,1.0,86.0,55.0,40.0,19.0,15.0,3.0,5.0,6.0,3.0,90.0,66.0,41.0,12.0,15.0,6.0,12.0,33.0,1212.0,69.0,751.0,2023-01-16,1.208567799,2023-01-16 01:40:00+00:00,Match Odds,Mikael Ymer,Yoshihito Nishioka,Yoshihito Nishioka,Mikael Ymer,Yoshihito Nishioka,2.24,1.8,7137497,8679651,1.001984126984127,0.1091269841269841,yoshihito nishioka,mikael ymer,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,1.07,1.07,7659623,9630472,1.8691588785046729,0.0,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,1.07,1.07,7659623,9630472,1.8691588785046729,0.0,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,1.07,1.07,7659623,9630472,1.8691588785046729,0.0,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,1.07,1.07,7659623,9630472,1.8691588785046729,0.0,karen khachanov,bernabe zapata miralles,1.0
