snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.07,21.0,0.9345794392523364,0.0476190476190476,DraftKings,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.0,46.0,1.0,0.0217391304347826,Coral,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.0,23.0,1.0,0.0434782608695652,Virgin Bet,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.0,23.0,1.0,0.0434782608695652,LiveScore Bet,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.0,19.0,1.0,0.0526315789473684,Betway,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.22,4.2,0.819672131147541,0.238095238095238,MyBookie.ag,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.0,19.0,1.0,0.0526315789473684,SportsBet,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.02,2.3,0.9803921568627452,0.4347826086956522,Matchbook,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.53,2.35,0.6535947712418301,0.425531914893617,FOX Bet,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.02,21.0,0.9803921568627452,0.0476190476190476,TAB,Cristina Bucsa,True,False
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.04,21.0,0.9615384615384616,0.0476190476190476,Betfair,Cristina Bucsa,True,False
