snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-01-16,2023-01-16,Taylor Townsend,Diane Parry,Diane Parry,Taylor Townsend,2.62,1.44,0.381679389312977,0.6944444444444444,Paddy Power,Taylor Townsend,False,True,-0.07612383375742149,-0.3127650551314674,0
2023-01-16,2023-01-16,Shelby Rogers,Arianne Hartono,Arianne Hartono,Shelby Rogers,5.8,1.15,0.1724137931034483,0.8695652173913044,BetRivers,Shelby Rogers,False,True,-0.04197901049475261,-0.6971514242878561,0
2023-01-16,2023-01-16,Ekaterina Alexandrova,Ysaline Bonaventure,Ekaterina Alexandrova,Ysaline Bonaventure,1.38,3.05,0.7246376811594204,0.3278688524590164,Unibet,Ekaterina Alexandrova,True,False,-0.05250653361843671,0.396768828700404,1
2023-01-16,2023-01-16,Karolina Muchova,Lesia Tsurenko,Karolina Muchova,Lesia Tsurenko,1.65,2.23,0.6060606060606061,0.4484304932735426,Unibet,Karolina Muchova,True,False,-0.05449109933414875,0.15763011278706346,1
2023-01-16,2023-01-16,Clara Burel,Talia Gibson,Clara Burel,Talia Gibson,1.15,5.0,0.8695652173913044,0.2,FOX Bet,Clara Burel,True,False,-0.06956521739130439,0.6695652173913045,1
2023-01-16,2023-01-16,Anhelina Kalinina,Coco Vandeweghe,Anhelina Kalinina,Coco Vandeweghe,1.36,3.2,0.7352941176470588,0.3125,Unibet,Anhelina Kalinina,True,False,-0.047794117647058876,0.42279411764705876,1
2023-01-16,2023-01-16,Kateryna Baindl,Kamilla Rakhimova,Kamilla Rakhimova,Kateryna Baindl,1.91,1.91,0.5235602094240838,0.5235602094240838,WynnBET,Kateryna Baindl,False,True,-0.04712041884816753,0.0,0
2023-01-16,2023-01-16,Danielle Collins,Anna Kalinskaya,Anna Kalinskaya,Danielle Collins,4.0,1.2,0.25,0.8333333333333334,FOX Bet,Danielle Collins,False,True,-0.08333333333333348,-0.5833333333333334,0
2023-01-16,2023-01-16,Cristina Bucsa,Eva Lys,Cristina Bucsa,Eva Lys,1.02,21.0,0.9803921568627452,0.0476190476190476,TAB,Cristina Bucsa,True,False,-0.02801120448179284,0.9327731092436976,1
2023-01-16,2023-01-16,Bianca Andreescu,Marie Bouzkova,Bianca Andreescu,Marie Bouzkova,1.02,13.5,0.9803921568627452,0.074074074074074,Betclic,Bianca Andreescu,True,False,-0.05446623093681913,0.9063180827886712,1
