snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.08,1.75,0.4807692307692307,0.5714285714285714,SportsBet,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.77,0.4878048780487805,0.5649717514124294,TAB,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.75,0.4878048780487805,0.5714285714285714,Ladbrokes,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.75,0.4878048780487805,0.5714285714285714,Everygame,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.77,0.4761904761904761,0.5649717514124294,Bovada,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.75,0.4761904761904761,0.5714285714285714,Bet Victor,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.7,0.4878048780487805,0.5882352941176471,Mr Green,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.75,0.4878048780487805,0.5714285714285714,Coral,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.75,0.4878048780487805,0.5714285714285714,Ladbrokes,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.75,0.4878048780487805,0.5714285714285714,Neds,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.08,1.75,0.4807692307692307,0.5714285714285714,PointsBet (AU),Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.75,0.4761904761904761,0.5714285714285714,Betsson,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.12,1.79,0.4716981132075471,0.5586592178770949,Pinnacle,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.15,1.7,0.4651162790697674,0.5882352941176471,LiveScore Bet,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.02,1.68,0.495049504950495,0.5952380952380952,LeoVegas,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.13,1.72,0.4694835680751174,0.5813953488372093,Marathon Bet,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.73,0.4761904761904761,0.5780346820809249,Unibet,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.77,0.4761904761904761,0.5649717514124294,LowVig.ag,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.77,0.4761904761904761,0.5649717514124294,BetOnline.ag,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.73,0.4761904761904761,0.5780346820809249,BetRivers,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.24,1.8,0.4464285714285714,0.5555555555555556,Matchbook,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.71,0.4761904761904761,0.5847953216374269,William Hill (US),Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.11,1.74,0.4739336492890995,0.5747126436781609,1xBet,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.15,1.71,0.4651162790697674,0.5847953216374269,DraftKings,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.74,0.4761904761904761,0.5747126436781609,Barstool Sportsbook,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.74,0.4878048780487805,0.5747126436781609,BetMGM,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.05,1.73,0.4878048780487805,0.5780346820809249,888sport,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.07,1.74,0.4830917874396135,0.5747126436781609,MyBookie.ag,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.12,1.75,0.4716981132075471,0.5714285714285714,FanDuel,Anna Karolina Schmiedlova,True,False
2023-08-28,2023-08-28,Anna Karolina Schmiedlova,Kateryna Baindl,Anna Karolina Schmiedlova,Kateryna Baindl,2.1,1.75,0.4761904761904761,0.5714285714285714,Nordic Bet,Anna Karolina Schmiedlova,True,False
