snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.45,1.3,0.2898550724637681,0.7692307692307692,SportsBet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.29,1.34,0.303951367781155,0.7462686567164178,1xBet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.32,1.33,0.3012048192771084,0.7518796992481203,Marathon Bet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.4,1.33,0.2941176470588235,0.7518796992481203,Bovada,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.24,1.33,0.3086419753086419,0.7518796992481203,MyBookie.ag,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.39,1.36,0.2949852507374631,0.7352941176470588,Pinnacle,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.45,1.4,0.2898550724637681,0.7142857142857143,Matchbook,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.2,1.33,0.3125,0.7518796992481203,Coral,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.25,1.33,0.3076923076923077,0.7518796992481203,Betclic,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.4,1.33,0.2941176470588235,0.7518796992481203,Bet Victor,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.2,1.33,0.3125,0.7518796992481203,Ladbrokes,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.2,1.33,0.3125,0.7518796992481203,Ladbrokes,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.34,0.303030303030303,0.7462686567164178,BetRivers,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.2,1.33,0.3125,0.7518796992481203,Neds,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.33,0.303030303030303,0.7518796992481203,William Hill,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.34,0.303030303030303,0.7462686567164178,Barstool Sportsbook,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.2,1.32,0.3125,0.7575757575757576,Mr Green,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.34,0.303030303030303,0.7462686567164178,Casumo,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.34,0.303030303030303,0.7462686567164178,Unibet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.46,1.34,0.2890173410404624,0.7462686567164178,LowVig.ag,Ana Bogdan,True,False
