market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date
1.211618189,Aliaksandra Sasnovich,Dalma Galfi,1.01,130.0,Aliaksandra Sasnovich,Aliaksandra Sasnovich,Dalma Galfi,2023-03-20
1.211618192,Lucia Bronzetti,Linda Noskova,4.9,1.26,Linda Noskova,Linda Noskova,Lucia Bronzetti,2023-03-20
1.211618461,Fernanda Contreras Gome,Sorana Cirstea ,9.2,1.12,Sorana Cirstea,Sorana Cirstea,Fernanda Contreras Gomez,2023-03-20
1.211618471,Tatjana Maria,Marketa Vondrousova,7.6,1.15,Marketa Vondrousova,Marketa Vondrousova,Tatjana Maria,2023-03-20
1.211618788,Ashlyn Krueger,Erika Andreeva,26.0,1.01,Erika Andreeva,Erika Andreeva,Ashlyn Krueger,2023-03-20
1.211618942,Madison Brengle,Amanda Anisimova,3.0,990.0,Madison Brengle,Madison Brengle,Amanda Anisimova,2023-03-20
1.211619128,Sloane Stephens,Shelby Rogers,2.62,1.01,Shelby Rogers,Shelby Rogers,Sloane Stephens,2023-03-20
1.211619223,Anna Blinkova,Jule Niemeier,1.77,990.0,Anna Blinkova,Anna Blinkova,Jule Niemeier,2023-03-20
1.21161956,Xiyu Wang,Brenda Fruhvirtova,1.72,2.34,Xiyu Wang,Xiyu Wang,Brenda Fruhvirtova,2023-03-20
1.211619562,Bianca Andreescu,Emma Raducanu,1.01,990.0,Bianca Andreescu,Bianca Andreescu,Emma Raducanu,2023-03-20
1.211619574,Evgeniya Rodina,Bernarda Pera,1.01,990.0,Evgeniya Rodina,Evgeniya Rodina,Bernarda Pera,2023-03-20
1.211619833,Marta Kostyuk,Elisabetta Cocciaretto,1.55,1000.0,Marta Kostyuk,Marta Kostyuk,Elisabetta Cocciaretto,2023-03-20
1.211620144,Taylor Townsend,Anna Bondar,1.72,1000.0,Taylor Townsend,Taylor Townsend,Anna Bondar,2023-03-20
1.211620155,Rebecca Marino,Yulia Putintseva,2.48,1000.0,Rebecca Marino,Rebecca Marino,Yulia Putintseva,2023-03-20
1.211620425,Elise Mertens,Alycia Parks,1.4,3.5,Elise Mertens,Elise Mertens,Alycia Parks,2023-03-20
1.211620652,Irinia-Camelia Begu,Alexandra Eala,1.3,4.4,Irina Camelia Begu,Irina Camelia Begu,Alexandra Eala,2023-03-20
1.211620663,Anna Kalinskaya,Victoria Jimenez Kasint,1.01,100.0,Anna Kalinskaya,Anna Kalinskaya,Victoria Jimenez Kasintseva,2023-03-20
1.211673317,Danka Kovinic,Nao Hibino,2.36,1.74,Nao Hibino,Nao Hibino,Danka Kovinic,2023-03-20
1.211673466,Katherine Sebov,Linda Fruhvirtova,1.01,5.7,Katherine Sebov,Katherine Sebov,Linda Fruhvirtova,2023-03-20
1.211673644,Viktorija Golubic,Hailey Baptiste,1.31,990.0,Viktorija Golubic,Viktorija Golubic,Hailey Baptiste,2023-03-20
1.211673657,Tereza Martincova,Tamara Korpatsch,1.01,1000.0,Tereza Martincova,Tereza Martincova,Tamara Korpatsch,2023-03-20
1.211673949,Jasmine Paolini,Mirjam Bjorklund,100.0,1.01,Mirjam Bjorklund,Mirjam Bjorklund,Jasmine Paolini,2023-03-20
1.211674666,Anna-Lena Friedsam,Xinyu Wang,26.0,1.01,Xin Yu Wang,Xin Yu Wang,Anna Lena Friedsam,2023-03-20
1.21167467,Jil Teichmann,Karolina Muchova,990.0,1.27,Karolina Muchova,Karolina Muchova,Jil Teichmann,2023-03-20
1.211674675,Maryna Zanevska,Varvara Gracheva,3.6,1.38,Varvara Gracheva,Varvara Gracheva,Maryna Zanevska,2023-03-20
1.211674944,Lesia Tsurenko,Leylah Fernandez,26.0,1.01,Leylah Fernandez,Leylah Fernandez,Lesia Tsurenko,2023-03-20
1.21167516,Sofia Kenin,Storm Hunter,1.01,16.0,Sofia Kenin,Sofia Kenin,Storm Hunter,2023-03-20
1.211675306,Laura Siegemund,Mayar Sherif,1.65,2.52,Laura Siegemund,Laura Siegemund,Mayar Sherif,2023-03-20
1.211701753,Anastasia Potapova,Marta Kostyuk,2.32,1.76,Anastasia Potapova,Anastasia Potapova,Marta Kostyuk,2023-03-20
1.211701755,Nao Hibino,Martina Trevisan,34.0,1.01,Martina Trevisan,Martina Trevisan,Nao Hibino,2023-03-20
1.211704565,Irinia-Camelia Begu,Qinwen Zheng,1000.0,1.65,Qinwen Zheng,Qinwen Zheng,Irina Camelia Begu,2023-03-20
1.211705496,Petra Martic,Xiyu Wang,1.75,2.14,Petra Martic,Petra Martic,Xiyu Wang,2023-03-20
1.211705642,Anna Kalinskaya,Elena Rybakina,5.9,1.2,Elena Rybakina,Elena Rybakina,Anna Kalinskaya,2023-03-20
1.211706749,Rebecca Marino,Coco Gauff,7.2,1.18,Coco Gauff,Coco Gauff,Rebecca Marino,2023-03-20
1.211706957,Jelena Ostapenko,Mirjam Bjorklund,1.18,5.8,Jelena Ostapenko,Jelena Ostapenko,Mirjam Bjorklund,2023-03-20
1.211708977,Viktoriya Tomova,Anna Karolina Schmiedlova,2.1,110.0,Viktoriya Tomova,Viktoriya Tomova,Anna Karolina Schmiedlova,2023-03-20
1.211709615,Daria Kasatkina,Elise Mertens,270.0,2.36,Elise Mertens,Elise Mertens,Daria Kasatkina,2023-03-20
1.211711261,Beatriz Haddad Maia,Tereza Martincova,1.27,500.0,Beatriz Haddad Maia,Beatriz Haddad Maia,Tereza Martincova,2023-03-20
1.211713012,Jessica Pegula,Katherine Sebov,1.1,11.0,Jessica Pegula,Jessica Pegula,Katherine Sebov,2023-03-20
1.211713016,Laura Siegemund,Paula Badosa,50.0,1.46,Paula Badosa,Paula Badosa,Laura Siegemund,2023-03-20
1.211719319,Evgeniya Rodina,Magda Linette,160.0,1.3,Magda Linette,Magda Linette,Evgeniya Rodina,2023-03-20
1.211719451,Viktoriya Tomova,Danielle Collins,990.0,1.26,Danielle Collins,Danielle Collins,Viktoriya Tomova,2023-03-20
1.211720113,Viktorija Golubic,Liudmila Samsonova,5.6,1.23,Liudmila Samsonova,Liudmila Samsonova,Viktorija Golubic,2023-03-20
1.211740374,Julia Grabher,Claire Liu,100.0,1.01,Claire Liu,Claire Liu,Julia Grabher,2023-03-20
