market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2
1.211618189,Aliaksandra Sasnovich,Dalma Galfi,1.01,130.0,Aliaksandra Sasnovich,Aliaksandra Sasnovich,Dalma Galfi,2023-03-20,aliaksandra sasnovich,dalma galfi,7283310,9304691,1.01,130.0,1.01,130.0
1.211618192,Lucia Bronzetti,Linda Noskova,4.9,1.26,Linda Noskova,Linda Noskova,Lucia Bronzetti,2023-03-20,lucia bronzetti,linda noskova,9631351,22088831,4.9,1.26,4.9,1.26
1.211618461,Fernanda Contreras Gome,Sorana Cirstea ,9.2,1.12,Sorana Cirstea,Sorana Cirstea,Fernanda Contreras Gomez,2023-03-20,fernanda contreras gome,sorana cirstea,9632169,51395204,9.2,1.12,9.2,1.12
1.211618471,Tatjana Maria,Marketa Vondrousova,7.6,1.15,Marketa Vondrousova,Marketa Vondrousova,Tatjana Maria,2023-03-20,tatjana maria,marketa vondrousova,7299657,9433253,7.6,1.15,7.6,1.15
1.211618788,Ashlyn Krueger,Erika Andreeva,26.0,1.01,Erika Andreeva,Erika Andreeva,Ashlyn Krueger,2023-03-20,ashlyn krueger,erika andreeva,24143371,27187697,26.0,1.01,26.0,1.01
1.211618942,Madison Brengle,Amanda Anisimova,3.0,990.0,Madison Brengle,Madison Brengle,Amanda Anisimova,2023-03-20,madison brengle,amanda anisimova,2263603,11636088,3.0,990.0,3.0,990.0
1.211619128,Sloane Stephens,Shelby Rogers,2.62,1.01,Shelby Rogers,Shelby Rogers,Sloane Stephens,2023-03-20,sloane stephens,shelby rogers,2923342,4943786,2.62,1.01,2.62,1.01
1.211619223,Anna Blinkova,Jule Niemeier,1.77,990.0,Anna Blinkova,Anna Blinkova,Jule Niemeier,2023-03-20,anna blinkova,jule niemeier,9635244,11173943,1.77,990.0,1.77,990.0
1.21161956,Xiyu Wang,Brenda Fruhvirtova,1.72,2.34,Xiyu Wang,Xiyu Wang,Brenda Fruhvirtova,2023-03-20,xiyu wang,brenda fruhvirtova,11352357,42133537,1.72,2.34,1.72,2.34
1.211619562,Bianca Andreescu,Emma Raducanu,1.01,990.0,Bianca Andreescu,Bianca Andreescu,Emma Raducanu,2023-03-20,bianca andreescu,emma raducanu,10141729,18849246,1.01,990.0,1.01,990.0
1.211619574,Evgeniya Rodina,Bernarda Pera,1.01,990.0,Evgeniya Rodina,Evgeniya Rodina,Bernarda Pera,2023-03-20,evgeniya rodina,bernarda pera,2415530,8784983,1.01,990.0,1.01,990.0
1.211619833,Marta Kostyuk,Elisabetta Cocciaretto,1.55,1000.0,Marta Kostyuk,Marta Kostyuk,Elisabetta Cocciaretto,2023-03-20,marta kostyuk,elisabetta cocciaretto,11694656,18848114,1.55,1000.0,1.55,1000.0
1.211620144,Taylor Townsend,Anna Bondar,1.72,1000.0,Taylor Townsend,Taylor Townsend,Anna Bondar,2023-03-20,taylor townsend,anna bondar,7066166,9304685,1.72,1000.0,1.72,1000.0
1.211620155,Rebecca Marino,Yulia Putintseva,2.48,1000.0,Rebecca Marino,Rebecca Marino,Yulia Putintseva,2023-03-20,rebecca marino,yulia putintseva,3444552,4259580,2.48,1000.0,2.48,1000.0
1.211620425,Elise Mertens,Alycia Parks,1.4,3.5,Elise Mertens,Elise Mertens,Alycia Parks,2023-03-20,elise mertens,alycia parks,9002334,11233227,1.4,3.5,1.4,3.5
1.211620652,Irinia-Camelia Begu,Alexandra Eala,1.3,4.4,Irina Camelia Begu,Irina Camelia Begu,Alexandra Eala,2023-03-20,irinia camelia begu,alexandra eala,18309994,35532661,1.3,4.4,1.3,4.4
