market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date
1.226310298,Alex Rybakov,Louis Wessels,1.71,2.4,4bdc8a8101,,,,
1.22631031,Renzo Olivo,Adolfo Daniel Vallejo,2.16,1.86,2d896a62e0,,,,
1.226310381,Shelby Rogers,Linda Fruhvirtova,1.02,40.0,87a067dc67,,,,
1.226310557,Magdalena Frech,C Giorgi,250.0,2.2,2f7a825115,,,,
1.226310778,Marie Bouzkova,Lin Zhu,50.0,1.01,1a19e26339,,,,
1.226310779,Elisabetta Cocciaretto,Naomi Osaka,2.86,1.54,7f5eac13d3,,,,
1.226310956,Arantxa Rus,Sara Sorribes Tormo,2.0,2.0,f62341e26c,,,,
1.226311168,Angelique Kerber,Sloane Stephens,2.66,1.58,2670babcfa,,,,
1.226311453,Elina Avanesyan,Erika Andreeva,1.03,40.0,3452eb5804,,,,
1.226363927,Gergana Topalova,Emma Fulvia Wiesenfeld,1.04,34.0,1e8327021c,,,,
1.226363928,Hanne Vandewinkel,Ilinca Dalina Amariei,1.62,2.6,d5907e35ed,,,,
1.22636393,Maja Chwalinska,Lucija Ciric Bagaric,3.4,1.3,1968ab6329,,,,
1.22636814,Petra Martic,Claire Liu,1.6,2.56,5b485ad37d,,,,
1.226368144,Viktoriya Tomova,Tamara Korpatsch,1.55,2.8,87ee66ddea,,,,
1.22636833,Martina Trevisan,Storm Hunter,110.0,1.58,4882714869,,,,
1.226368337,Bernarda Pera,Danielle Collins,4.1,1.32,d880dae370,,,,
1.226368683,Varvara Gracheva,Maria Timofeeva,100.0,1.46,2ca5b08224,,,,
1.22636869,Nadia Podoroska,Ashlyn Krueger,3.2,70.0,8011ff9712,,,,
1.22636898,Sofia Kenin,Katie Volynets,100.0,1.01,902c778bd9,,,,
1.226369241,Tatjana Maria,Emiliana Arango,50.0,2.74,6ffb781b66,,,,
1.226373671,Alexander Weis,Juan Bautista Torres,1.01,1.63,f8966c4a51,,,,
1.226384914,Jebavy/Kolar,Dodig/Simundza,1.01,4.7,1b315bb3b3,,,,
1.226385708,Cabral/Rocha,Johnson/Martinez,1.01,100.0,e14ca267ad,,,,
1.226388412,Matteo Arnaldi,Arthur Fils,2.12,1.89,a03e6fb59f,Matteo Arnaldi,Matteo Arnaldi,Arthur Fils,2024-03-18
1.226388582,Miomir Kecmanovic,Juncheng Shang,1.93,2.2,b244f990aa,Juncheng Shang,Juncheng Shang,Miomir Kecmanovic,2024-03-18
1.226388752,Roberto Carballes Baena,Aleksandar Vukic,3.65,1.36,8b575b34b2,Roberto Carballes Baena,Roberto Carballes Baena,Aleksandar Vukic,2024-03-18
1.226388837,Andy Murray,Matteo Berrettini,2.26,1.81,7c1f510a36,Andy Murray,Andy Murray,Matteo Berrettini,2024-03-18
1.226388922,Sebastian Ofner,Kei Nishikori,1.81,2.04,da3db4eac4,Sebastian Ofner,Sebastian Ofner,Kei Nishikori,2024-03-18
