player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Thiago Seyboth Wild,1,1,1.0,18.87,169.83,900.0,1.035
Kimberly Birrell,1,1,1.0,16.87,126.55,750.0,0.1501
Yu Hsiou Hsu,2,2,1.0,44.1,291.64,661.27,0.5542
Anna Karolina Schmiedlova,1,1,1.0,21.25,127.52,600.0,0.4168
Elina Avanesyan,1,1,1.0,18.14,108.86,600.0,0.4202
Titouan Droguet,1,1,1.0,24.17,132.94,550.0,0.9609
Thiago Agustin Tirante,1,1,1.0,18.67,71.86,385.0,0.3149
Kayla Day,1,1,1.0,18.78,71.35,380.0,0.1592
Jiri Vesely,2,2,1.0,46.24,153.22,331.33,0.4308
Alexandre Muller,1,1,1.0,21.37,66.24,310.0,0.4468
Lesia Tsurenko,1,1,1.0,19.84,56.54,285.0,0.0576
Sachia Vickery,1,1,1.0,20.61,57.7,280.0,0.0589
Patricia Maria Tig,2,1,0.5,44.76,115.56,258.16,0.1644
Juan Pablo Varillas,2,1,0.5,36.85,83.17,225.72,0.3299
Zhizhen Zhang,2,2,1.0,46.45,91.82,197.69,0.2588
Diego Schwartzman,1,1,1.0,22.12,35.4,160.0,0.2056
Botic Van De Zandschulp,2,2,1.0,51.22,75.47,147.36,0.1528
Marton Fucsovics,2,2,1.0,43.35,54.75,126.31,0.0984
Aslan Karatsev,3,3,1.0,67.64,68.49,101.26,0.1184
Thanasi Kokkinakis,1,1,1.0,18.73,17.05,91.0,0.2481
Giulio Zeppieri,1,1,1.0,21.78,18.73,86.0,0.2629
Camila Giorgi,1,1,1.0,18.15,15.61,86.0,0.1054
Maximilian Marterer,1,1,1.0,24.52,20.85,85.0,0.0913
Petra Martic,2,2,1.0,41.94,31.65,75.47,0.1019
Tomas Martin Etcheverry,1,1,1.0,19.27,14.26,74.0,0.2047
Katie Volynets,1,1,1.0,18.73,12.36,66.0,0.0867
Alejandro Davidovich Fokina,1,1,1.0,23.95,15.57,65.0,0.053
Karolina Muchova,1,1,1.0,18.33,11.91,65.0,0.1105
Lucia Bronzetti,3,1,0.3333,63.48,40.97,64.54,0.1109
Claire Liu,1,1,1.0,17.38,11.12,64.0,0.1084
Sebastian Korda,1,1,1.0,22.63,10.64,47.0,0.1272
Hubert Hurkacz,1,1,1.0,22.43,10.09,45.0,0.1194
Juan Manuel Cerundolo,2,1,0.5,51.96,23.28,44.81,0.7434
Lorenzo Sonego,1,1,1.0,21.52,9.04,42.0,0.1108
Tommy Paul,1,1,1.0,19.7,8.28,42.0,0.1259
Nuno Borges,1,1,1.0,22.61,9.27,41.0,0.1053
Sebastian Baez,2,1,0.5,45.21,17.89,39.57,0.0725
Donna Vekic,1,1,1.0,16.75,6.03,36.0,0.0564
