player,num_bets,total_staked,total_payout,roi
Thiago Seyboth Wild,1,19.54137843158176,195.4137843158176,9.0
Elina Avanesyan,1,20.77896181380408,145.45273269662854,5.999999999999999
Titouan Droguet,1,21.489922181132528,139.68449417736144,5.500000000000001
Patricia Maria Tig,1,22.973970648356687,143.58731655222928,5.25
Yu Hsiou Hsu,1,24.364045553103367,146.1842733186202,5.0
Thiago Agustin Tirante,1,20.359681929632902,98.7444573587196,3.8500000000000014
Kayla Day,1,24.12123972416743,115.78195067600366,3.7999999999999994
Jiri Vesely,2,50.06268946359114,234.83015397994689,3.6907219028001026
Alexandre Muller,1,25.445813642241628,106.87241729741484,3.2
Jaqueline Cristian,1,27.22512660799184,100.7329684495698,2.6999999999999997
Jule Niemeier,1,26.38247050021497,96.29601732578465,2.6500000000000004
Diane Parry,1,26.513260891301485,88.81942398585997,2.3499999999999996
Anna Karolina Schmiedlova,2,49.15523329496119,153.32682219926983,2.1192369951580936
Anastasia Pavlyuchenkova,1,25.265741839490023,78.32379970241908,2.1000000000000005
Juan Manuel Cerundolo,2,23.07066666159977,70.36553331787928,2.0499999999999994
Daria Kasatkina,1,25.954453943204157,77.60381729018043,1.99
Sebastian Baez,1,23.540140631017746,64.7353867352988,1.75
Bianca Andreescu,1,25.80036493681363,65.79093058887474,1.5499999999999996
Anna Blinkova,2,49.560677272019745,123.63321315567804,1.494582801544504
Dominic Stricker,1,24.01656399472536,57.63975358734085,1.3999999999999995
Lucia Bronzetti,2,49.06705909252507,111.1119386606548,1.264491508470735
Michael Mmoh,1,22.96599085952951,51.6734794339414,1.2500000000000004
Bernarda Pera,1,22.627804619294025,50.91256039341155,1.2499999999999998
Diego Schwartzman,3,64.70360214873266,144.83695357137802,1.238468165009495
Juan Pablo Varillas,2,51.23002733066738,109.03287645029556,1.128300181191318
Max Purcell,1,20.622187558615803,43.30659387309319,1.1000000000000003
Denis Shapovalov,1,19.732174760172786,40.84560175355767,1.0700000000000003
Marton Fucsovics,1,29.38162034602268,59.35087309896582,1.0200000000000002
Rinky Hijikata,1,18.64987650413492,37.67275053835254,1.02
Adrian Mannarino,1,17.693686698420017,35.38737339684003,1.0
Zhizhen Zhang,2,41.05911042291609,81.37904864128416,0.981997364362393
Thanasi Kokkinakis,2,38.635705324983945,76.42126195842124,0.9779957765907046
Sebastian Ofner,2,40.60042746255856,79.14597284149687,0.9493876736762134
Frances Tiafoe,1,20.90028432835753,40.5465515970136,0.9399999999999996
Giulio Zeppieri,1,20.65435817120724,38.417106198445474,0.8600000000000004
Maximilian Marterer,1,29.38138529305992,54.35556279216085,0.85
Sorana Cirstea,1,26.706373521164192,48.33853607330719,0.81
Petra Martic,1,24.8923564921084,43.561623861189695,0.7499999999999997
Laslo Djere,4,89.8276191330842,156.4238833012857,0.741378484823646
Tomas Martin Etcheverry,1,19.8655365928853,34.56603367162042,0.7399999999999999
Aslan Karatsev,2,46.11302069406853,80.02047618624891,0.7353119570529861
Jaume Munar,2,48.26990519817576,83.07498201322757,0.7210512776471575
Ana Bogdan,2,49.161765315926424,84.14031627451403,0.7114990833589122
Dalma Galfi,2,49.898305703807154,85.22499183112551,0.7079736602083263
Botic Van De Zandschulp,1,26.755734814966917,43.61184774839607,0.6299999999999999
Alejandro Davidovich Fokina,1,25.139116421894517,40.47397743925017,0.6099999999999999
Anett Kontaveit,1,29.22936006029845,45.01321449285962,0.5400000000000001
Jiri Lehecka,1,26.069793408549607,40.1474818491664,0.54
Jason Kubler,4,82.71129719251229,126.8228685627078,0.5333197866250954
Marcos Giron,3,65.26293473883192,99.81739614048618,0.5294653318906621
Jasmine Paolini,2,54.97522992770611,81.92854284955295,0.4902810403392795
Belinda Bencic,1,26.64944849570993,39.44118377365069,0.47999999999999987
Sebastian Korda,1,18.009955813569075,26.47463504594654,0.4699999999999999
Ben Shelton,2,44.29001264861323,63.424532576458034,0.4320278722802291
Tommy Paul,1,20.589420869116967,29.236977634146093,0.42
Alexander Bublik,1,27.09853406926845,37.93794769697583,0.40000000000000013
Donna Vekic,1,25.224369238438108,34.30514216427583,0.3600000000000001
Hubert Hurkacz,2,36.633948624942505,49.15117867824191,0.3416838894832362
Christopher Eubanks,1,27.092857073635496,35.76257133719886,0.32000000000000006
Francisco Cerundolo,1,25.66277764899217,33.87486649666966,0.31999999999999995
Daniel Elahi Galan,2,45.23229057402581,56.815870470991,0.2560909418904588
Taylor Fritz,1,25.014046190939816,31.267557738674768,0.24999999999999992
Casper Ruud,1,27.263223656919585,33.53376509801109,0.22999999999999993
Nadia Podoroska,3,73.18821146365843,85.04389584755437,0.16198898902978204
Dominic Thiem,2,49.63012893339187,54.52390219195852,0.0986048870663732
Corentin Moutet,4,89.22114636765505,97.37000939063844,0.09133331451945526
Katerina Siniakova,2,50.16855601075721,52.2538205798234,0.04156517019583073
Tallon Griekspoor,2,40.42462195437636,40.36224441477027,-0.0015430580816932883
Gregoire Barrere,2,47.63058115726237,46.686333755192194,-0.019824393889978878
Pedro Cachin,3,43.79083078677675,41.07025536138248,-0.06212659994146054
Constant Lestienne,2,44.41809300022959,37.34336334910261,-0.15927585299734529
Lucas Pouille,2,40.275456291705545,33.598269127667095,-0.1657879954401304
Cristina Bucsa,2,52.67945556927894,43.65090812900475,-0.17138649863988667
Aleksandar Vukic,2,50.82331903628173,40.5351790388973,-0.2024295184271602
Benjamin Bonzi,2,44.046821993740245,34.803141169067274,-0.2098603351221717
Lorenzo Sonego,3,68.13183562970123,52.86835742633529,-0.2240285772766119
Matteo Arnaldi,2,40.1786234048417,27.293325641901003,-0.3207003294539943
Nuno Borges,2,39.590971949757964,25.447060209667665,-0.35725093483532844
Emil Ruusuvuori,2,44.19311623037959,24.574564858916688,-0.4439277662428466
Radu Albot,3,66.3776129425412,26.82233148243638,-0.5959129849147372
Borna Gojo,1,26.460489245989677,0.0,-1.0
Borna Coric,2,44.10355297257018,0.0,-1.0
Bernabe Zapata Miralles,2,44.7929173344397,0.0,-1.0
Alycia Parks,3,74.90444180371315,0.0,-1.0
Alex Molcan,2,54.45201548521824,0.0,-1.0
Alexander Shevchenko,1,26.264441106245428,0.0,-1.0
Aliona Bolsova,1,26.326902996748604,0.0,-1.0
Arthur Fery,1,27.074345715345093,0.0,-1.0
Arantxa Rus,1,24.90759291643012,0.0,-1.0
Anna Bondar,1,27.78074143672637,0.0,-1.0
Arthur Fils,1,21.92737743821464,0.0,-1.0
Botic Van de Zandschulp,1,18.780275396258748,0.0,-1.0
Kamilla Rakhimova,1,26.07736540528745,0.0,-1.0
Kaia Kanepi,2,49.86133633509818,0.0,-1.0
Juncheng Shang,1,19.361228491695385,0.0,-1.0
Jordan Thompson,1,29.981005401081543,0.0,-1.0
Jessika Ponchet,1,23.9354344712019,0.0,-1.0
Ilya Ivashka,1,20.154443300040484,0.0,-1.0
Jil Teichmann,1,26.57939073205654,0.0,-1.0
Emilio Nava,1,21.92849202156381,0.0,-1.0
Fiona Ferro,2,50.44506550269561,0.0,-1.0
Federico Coria,2,45.94286340886485,0.0,-1.0
Fabio Fognini,1,18.27703104280708,0.0,-1.0
Ethan Quinn,1,24.195247230846118,0.0,-1.0
Greet Minnen,1,26.920888265525484,0.0,-1.0
Giovanni Mpetshi Perricard,1,20.76237200441755,0.0,-1.0
Hugo Dellien,1,25.82701942594572,0.0,-1.0
Hugo Gaston,1,21.0430485291998,0.0,-1.0
Daniel Altmaier,1,16.8513230420146,0.0,-1.0
Cristian Garin,1,19.6,0.0,-1.0
Clervie Ngounoue,1,26.6095565360076,0.0,-1.0
Clara Burel,1,27.706743581848816,0.0,-1.0
Camila Osorio,1,23.089596550300023,0.0,-1.0
Camila Giorgi,2,47.48206504336809,0.0,-1.0
Caroline Dolehide,1,26.905283201268745,0.0,-1.0
Claire Liu,2,50.45724397551693,0.0,-1.0
Dayana Yastremska,1,22.350848717094728,0.0,-1.0
Daria Saville,1,28.95413640597068,0.0,-1.0
Danielle Collins,1,23.456725781777862,0.0,-1.0
Danka Kovinic,1,26.98744121014368,0.0,-1.0
Daniel Evans,1,27.18352613966088,0.0,-1.0
Dennis Novak,1,27.26625135890676,0.0,-1.0
Dominik Koepfer,1,28.882019970060178,0.0,-1.0
Dusan Lajovic,1,28.304379570658977,0.0,-1.0
Brandon Nakashima,1,27.5515298271446,0.0,-1.0
Oscar Otte,1,19.898839870953857,0.0,-1.0
Miomir Kecmanovic,2,39.12915787417552,0.0,-1.0
Nicolas Moreno De Alboran,1,24.898941502414296,0.0,-1.0
Mayar Sherif,1,26.660112540726224,0.0,-1.0
Maryna Zanevska,1,24.532291551883173,0.0,-1.0
Mikael Ymer,2,40.27095570702582,0.0,-1.0
Katie Volynets,1,22.527839440819463,0.0,-1.0
Lloyd Harris,1,21.075875684905352,0.0,-1.0
Linda Fruhvirtova,1,24.10279108111524,0.0,-1.0
Kateryna Baindl,2,54.20707653913346,0.0,-1.0
Madison Brengle,1,22.98759126614231,0.0,-1.0
Magdalena Frech,1,27.807552604294244,0.0,-1.0
Marco Cecchinato,2,44.47536269941283,0.0,-1.0
Marta Kostyuk,1,24.423912725716228,0.0,-1.0
Martina Trevisan,1,27.2041964701288,0.0,-1.0
Olivia Gadecki,1,22.05083097090322,0.0,-1.0
Taro Daniel,1,24.40096267236601,0.0,-1.0
Stefano Travaglia,1,24.689027786577668,0.0,-1.0
Storm Hunter,1,25.5558180971817,0.0,-1.0
Rebecca Peterson,1,29.545037148949675,0.0,-1.0
Quentin Halys,2,39.231060006851195,0.0,-1.0
Richard Gasquet,2,38.258614986280136,0.0,-1.0
Roberto Bautista Agut,1,27.7382919792458,0.0,-1.0
Timofey Skatov,1,19.94018207304261,0.0,-1.0
Tereza Martincova,1,22.077282652003078,0.0,-1.0
Ugo Humbert,2,45.38544191810215,0.0,-1.0
Viktoria Hruncakova,1,24.922359924200236,0.0,-1.0
Yoshihito Nishioka,1,25.407083165728874,0.0,-1.0
Yibing Wu,1,20.15954653446,0.0,-1.0
Yosuke Watanuki,1,23.376737348635967,0.0,-1.0
Zachary Svajda,1,25.228579862625654,0.0,-1.0
Jeremy Chardy,1,0.0,0.0,
Sho Shimabukuro,1,0.0,0.0,
