player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Yu Hsiou Hsu,1,1,1.0,18.15,163.34,900.0,0.195
Marcos Giron,1,0,0.0,20.0,-20.0,-100.0,0.195
Bernabe Zapata Miralles,1,0,0.0,19.21,-19.21,-100.0,0.2665
Cristian Garin,1,0,0.0,19.6,-19.6,-100.0,0.2151
Luca Van Assche,1,0,0.0,15.21,-15.21,-100.0,0.1212
Corentin Moutet,1,0,0.0,18.52,-18.52,-100.0,0.0597
Mackenzie McDonald,1,0,0.0,21.42,-21.42,-100.0,0.1783
Pedro Cachin,1,0,0.0,20.99,-20.99,-100.0,0.2926
Facundo Bagnis,1,0,0.0,10.67,-10.67,-100.0,0.0726
Chun Hsin Tseng,1,0,0.0,13.77,-13.77,-100.0,0.0755
Fabio Fognini,1,0,0.0,20.08,-20.08,-100.0,0.0949
Juan Pablo Varillas,1,0,0.0,10.28,-10.28,-100.0,0.0784
