player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Thiago Seyboth Wild,1,1,1.0,17.56,158.07,900.0,1.035
Thiago Agustin Tirante,1,1,1.0,19.98,76.91,385.0,0.3149
Marcos Giron,1,1,1.0,19.92,32.86,165.0,0.0724
Sebastian Ofner,2,2,1.0,39.85,36.68,92.05,0.0839
Thanasi Kokkinakis,1,1,1.0,19.56,17.8,91.0,0.2481
Giulio Zeppieri,1,1,1.0,18.94,16.29,86.0,0.2629
Corentin Moutet,1,1,1.0,20.42,17.36,85.0,0.2298
Tomas Martin Etcheverry,1,1,1.0,20.63,15.26,74.0,0.2047
Aslan Karatsev,1,1,1.0,20.1,14.07,70.0,0.1862
Zhizhen Zhang,1,1,1.0,19.65,10.22,52.0,0.1316
Sebastian Korda,1,1,1.0,19.96,9.38,47.0,0.1272
Hubert Hurkacz,1,1,1.0,20.15,9.07,45.0,0.1194
Tommy Paul,1,1,1.0,18.88,7.93,42.0,0.1259
Lorenzo Sonego,1,1,1.0,20.25,8.5,42.0,0.1108
Nuno Borges,1,1,1.0,20.0,8.2,41.0,0.1053
Yannick Hanfmann,1,1,1.0,20.72,7.46,36.0,0.0749
Frances Tiafoe,1,1,1.0,21.09,6.11,29.0,0.0598
Lucas Pouille,2,1,0.5,40.73,-5.84,-14.34,0.2131
Matteo Arnaldi,2,1,0.5,41.37,-11.13,-26.89,0.1832
Radu Albot,2,1,0.5,40.49,-12.03,-29.72,0.2178
Oscar Otte,1,0,0.0,20.66,-20.66,-100.0,0.1047
Laslo Djere,1,0,0.0,20.37,-20.37,-100.0,0.2383
Ilya Ivashka,1,0,0.0,20.39,-20.39,-100.0,0.1316
Federico Coria,1,0,0.0,20.51,-20.51,-100.0,0.4828
Mikael Ymer,1,0,0.0,21.05,-21.05,-100.0,0.2774
Yibing Wu,1,0,0.0,20.93,-20.93,-100.0,0.0929
Roberto Bautista Agut,1,0,0.0,19.76,-19.76,-100.0,0.1222
Pedro Cachin,1,0,0.0,20.57,-20.57,-100.0,0.1376
Tallon Griekspoor,1,0,0.0,20.78,-20.78,-100.0,0.0931
Jason Kubler,1,0,0.0,20.37,-20.37,-100.0,0.0586
Arthur Fils,1,0,0.0,21.52,-21.52,-100.0,0.1474
Lloyd Harris,1,0,0.0,19.33,-19.33,-100.0,1.035
Hugo Gaston,1,0,0.0,19.72,-19.72,-100.0,0.0861
Roberto Carballes Baena,1,0,0.0,10.17,-10.17,-100.0,0.0898
Luca Van Assche,1,0,0.0,18.66,-18.66,-100.0,0.1089
Richard Gasquet,1,0,0.0,19.04,-19.04,-100.0,0.1769
Miomir Kecmanovic,1,0,0.0,19.27,-19.27,-100.0,0.1359
Sebastian Baez,1,0,0.0,17.92,-17.92,-100.0,0.0561
Timofey Skatov,1,0,0.0,18.29,-18.29,-100.0,0.554
Gregoire Barrere,1,0,0.0,20.87,-20.87,-100.0,0.1321
Quentin Halys,1,0,0.0,20.46,-20.46,-100.0,0.0894
Jaume Munar,1,0,0.0,20.05,-20.05,-100.0,0.1369
