player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Titouan Droguet,1,1,1.0,19.21,105.64,550.0,0.9609
Yu Hsiou Hsu,1,1,1.0,22.48,112.38,500.0,0.9133
Juan Pablo Varillas,1,1,1.0,22.92,80.21,350.0,0.5815
Zhizhen Zhang,1,1,1.0,21.72,66.25,305.0,0.386
Botic Van De Zandschulp,1,1,1.0,20.83,44.16,212.0,0.2447
Sebastian Baez,1,1,1.0,21.72,38.0,175.0,0.0889
Jiri Vesely,1,1,1.0,22.41,37.65,168.0,0.1113
Aslan Karatsev,1,1,1.0,21.76,32.64,150.0,0.0905
Marton Fucsovics,1,1,1.0,23.17,34.75,150.0,0.0839
Benjamin Bonzi,1,1,1.0,21.19,28.6,135.0,0.0556
Juan Manuel Cerundolo,2,1,0.5,43.82,19.53,44.57,0.7434
Fabian Marozsan,2,1,0.5,42.23,12.95,30.67,0.1813
Milos Raonic,1,0,0.0,20.0,-20.0,-100.0,0.3516
Ethan Quinn,1,0,0.0,21.62,-21.62,-100.0,0.0889
Marcos Giron,1,0,0.0,20.48,-20.48,-100.0,0.2217
Pedro Cachin,1,0,0.0,21.32,-21.32,-100.0,0.7478
Yosuke Watanuki,1,0,0.0,20.89,-20.89,-100.0,0.0924
Daniel Elahi Galan,1,0,0.0,24.52,-24.52,-100.0,0.3058
Marco Cecchinato,1,0,0.0,23.38,-23.38,-100.0,1.8835
Zachary Svajda,1,0,0.0,23.86,-23.86,-100.0,0.263
Emilio Nava,1,0,0.0,19.6,-19.6,-100.0,0.4839
Facundo Diaz Acosta,1,0,0.0,22.62,-22.62,-100.0,0.2039
Guido Pella,1,0,0.0,24.03,-24.03,-100.0,0.1882
Otto Virtanen,1,0,0.0,23.08,-23.08,-100.0,0.0785
Radu Albot,1,0,0.0,23.55,-23.55,-100.0,0.3845
Luca Van Assche,1,0,0.0,21.69,-21.69,-100.0,0.1193
Taro Daniel,1,0,0.0,22.13,-22.13,-100.0,0.1952
Nicolas Moreno De Alboran,1,0,0.0,22.59,-22.59,-100.0,0.3396
Aleksandar Vukic,1,0,0.0,21.26,-21.26,-100.0,1.4787
Alex Molcan,1,0,0.0,24.72,-24.72,-100.0,0.7152
Alexander Shevchenko,1,0,0.0,24.23,-24.23,-100.0,0.5373
Corentin Moutet,1,0,0.0,23.74,-23.74,-100.0,0.391
Sebastian Ofner,1,0,0.0,23.27,-23.27,-100.0,0.9261
