player,bet_side,matches_played,total_profit,roi_percent
Adrian Mannarino,P1,68,69.0,101.47058823529412
Ajla Tomljanovic,P1,4,2.0,50.0
Alejandro Davidovich Fokina,P1,26,3.759999999999998,14.461538461538453
Aleksandar Vukic,P1,18,-18.0,-100.0
Alex de Minaur,P1,42,-42.0,-100.0
Alexander Bublik,P2,34,-34.0,-100.0
Alexander Zverev,P1,65,4.73,7.276923076923078
Alexandre Muller,P1,78,-78.0,-100.0
Alexei Popyrin,P1,69,10.469999999999994,15.173913043478251
Aliaksandra Sasnovich,P1,35,14.069999999999997,40.199999999999996
Anastasia Pavlyuchenkova,P1,31,-22.98,-74.12903225806451
Anastasia Potapova,P1,4,-1.9300000000000002,-48.25000000000001
Andrey Rublev,P1,43,10.120000000000001,23.534883720930235
Andy Murray,P1,6,15.0,250.0
Anett Kontaveit,P1,44,3.75,8.522727272727273
Anhelina Kalinina,P1,36,12.240000000000002,34.00000000000001
Anna Karolina Schmiedlova,P1,23,21.0,91.30434782608695
Arthur Rinderknech,P1,6,-6.0,-100.0
Aslan Karatsev,P1,34,-34.0,-100.0
Attila Balazs,P1,57,-57.0,-100.0
Barbora Krejcikova,P1,66,12.589999999999993,19.075757575757564
Belinda Bencic,P1,3,0.21000000000000002,7.000000000000001
Benjamin Bonzi,P1,25,19.740000000000002,78.96000000000001
Bernarda Pera,P1,35,8.879999999999999,25.371428571428567
Bianca Andreescu,P1,38,-29.85,-78.55263157894737
Borna Coric,P1,3,-3.0,-100.0
Cameron Norrie,P1,68,5.770000000000002,8.485294117647062
Cameron Norrie,P2,8,1.96,24.5
Caroline Garcia,P1,50,5.460000000000002,10.920000000000005
Caroline Wozniacki,P1,6,3.06,51.0
Casper Ruud,P1,68,11.619999999999994,17.088235294117638
Claire Liu,P1,67,41.86,62.47761194029851
Clara Burel,P1,35,4.759999999999997,13.599999999999993
Clara Burel,P2,37,23.26,62.86486486486486
Coco Gauff,P1,29,9.56,32.96551724137931
Constant Lestienne,P1,33,34.589999999999996,104.8181818181818
Corentin Moutet,P1,52,14.07,27.057692307692307
Corentin Moutet,P2,89,-89.0,-100.0
Cristina Bucsa,P1,3,0.82,27.333333333333332
Dalibor Svrcina,P1,36,54.53,151.47222222222223
Daniel Altmaier,P2,85,63.67,74.90588235294118
Daniel Elahi Galan,P1,3,-3.0,-100.0
Daniel Evans,P1,59,5.660000000000003,9.593220338983055
Daniel Evans,P2,67,21.71,32.40298507462686
Danielle Collins,P1,31,17.32,55.87096774193548
Danielle Collins,P2,20,7.289999999999998,36.44999999999999
Daniil Medvedev,P1,21,0.93,4.428571428571429
Daria Kasatkina,P1,64,-64.0,-100.0
Daria Kasatkina,P2,4,0.7199999999999996,17.99999999999999
Daria Saville,P1,35,-35.0,-100.0
Daria Saville,P2,43,17.389999999999997,40.44186046511627
Denis Kudla,P1,35,71.97,205.62857142857143
Denis Shapovalov,P1,69,8.999999999999998,13.043478260869563
Diego Schwartzman,P1,1,0.33,33.0
Diego Schwartzman,P2,86,-86.0,-100.0
Dominic Stricker,P2,48,64.86,135.125
Dominic Thiem,P2,87,25.37,29.160919540229884
Dominik Koepfer,P2,60,-60.0,-100.0
Donna Vekic,P1,71,17.64,24.845070422535212
Ekaterina Alexandrova,P1,31,11.649999999999999,37.58064516129031
Elena Rybakina,P1,71,18.97,26.718309859154928
Elisabetta Cocciaretto,P1,1,-1.0,-100.0
Elise Mertens,P1,4,2.04,51.0
Emil Ruusuvuori,P1,27,8.93,33.074074074074076
Emilio Nava,P2,45,-45.0,-100.0
Enzo Couacaud,P1,68,9.309999999999997,13.69117647058823
Ernesto Escobedo,P1,36,-36.0,-100.0
Ethan Quinn,P2,45,-45.0,-100.0
Eva Lys,P2,8,-8.0,-100.0
Fabian Marozsan,P2,38,-38.0,-100.0
Fiona Ferro,P1,5,-5.0,-100.0
Frances Tiafoe,P1,34,5.249999999999997,15.441176470588228
Frances Tiafoe,P2,28,2.970000000000002,10.607142857142863
Francisco Cerundolo,P1,2,0.07,3.5000000000000004
Gregoire Barrere,P1,25,-25.0,-100.0
Grigor Dimitrov,P2,7,1.0699999999999994,15.285714285714278
Hubert Hurkacz,P1,47,8.839999999999998,18.808510638297868
Hugo Dellien,P2,56,-56.0,-100.0
Iga Swiatek,P1,26,2.32,8.923076923076922
Ilya Ivashka,P2,22,28.5,129.54545454545453
Jack Draper,P1,37,-37.0,-100.0
Jakub Mensik,P2,48,48.47,100.97916666666667
Jannik Sinner,P1,31,1.9700000000000002,6.35483870967742
Jason Kubler,P1,26,7.08,27.23076923076923
Jelena Ostapenko,P2,77,33.43999999999999,43.428571428571416
Jennifer Brady,P1,4,1.12,28.000000000000004
Jeremy Chardy,P2,13,21.23,163.30769230769232
Jessica Pegula,P2,69,13.279999999999994,19.246376811594192
Jil Teichmann,P1,31,-31.0,-100.0
Jil Teichmann,P2,34,16.65,48.97058823529411
Jiri Lehecka,P2,44,-44.0,-100.0
Jiri Vesely,P2,47,67.9,144.468085106383
John Isner,P2,82,31.65,38.59756097560975
Jordan Thompson,P2,81,-81.0,-100.0
Juan Manuel Cerundolo,P2,76,54.25,71.38157894736842
Juncheng Shang,P1,23,4.2799999999999985,18.608695652173907
Kaia Kanepi,P1,40,-40.0,-100.0
Kaia Kanepi,P2,82,27.200000000000003,33.17073170731708
Kaja Juvan,P1,33,12.030000000000001,36.45454545454545
Kamilla Rakhimova,P1,35,-35.0,-100.0
