player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Thiago Seyboth Wild,78,78,1.0,37583033.44,324104234.17,862.37,0.237
Anna Karolina Schmiedlova,53,53,1.0,3235860415.14,21178276516.18,654.49,0.2039
Elina Avanesyan,7,7,1.0,73789016.12,451764940.04,612.24,0.0763
Thiago Agustin Tirante,3,3,1.0,41001.81,163165.51,397.95,0.0696
Kayla Day,1,1,1.0,234241524.89,890117794.58,380.0,0.0509
Zhizhen Zhang,3,3,1.0,177540.11,322064.56,181.4,0.0829
Marcos Giron,44,44,1.0,3621530.12,5618931.22,155.15,0.0744
Sebastian Ofner,10,10,1.0,4988085.61,7249729.43,145.34,0.0692
Diego Schwartzman,33,33,1.0,146908.51,194337.05,132.28,0.0662
Tomas Martin Etcheverry,23,23,1.0,53665211.89,58824494.67,109.61,0.076
Max Purcell,77,77,1.0,15555315.98,16784368.17,107.9,0.0816
Pedro Cachin,47,47,1.0,836906.03,898377.27,107.35,0.0792
Denis Shapovalov,57,57,1.0,450000.64,481091.42,106.91,0.0832
Tallon Griekspoor,28,28,1.0,812.67,854.21,105.11,0.0867
Thanasi Kokkinakis,52,52,1.0,26272185.15,25423774.02,96.77,0.0862
Frances Tiafoe,12,12,1.0,22960405.49,21126081.98,92.01,0.0809
Lucas Pouille,2,2,1.0,261.49,211.81,81.0,0.0534
Sebastian Korda,3,3,1.0,408.65,224.74,55.0,0.062
Matteo Arnaldi,3,3,1.0,222.19,121.49,54.68,0.0667
Hubert Hurkacz,3,3,1.0,60.57,28.47,46.99,0.0678
Yannick Hanfmann,3,3,1.0,14102076.26,6347168.13,45.01,0.0639
Lorenzo Sonego,3,3,1.0,406.33,176.08,43.33,0.0662
Tommy Paul,5,5,1.0,1505194.68,619200.44,41.14,0.0606
Nicolas Jarry,3,3,1.0,220583.74,67396.6,30.55,0.0564
Jason Kubler,26,23,0.8846,3899095.2,-3893829.33,-99.86,0.0676
Laslo Djere,2,0,0.0,246.81,-246.81,-100.0,0.0672
Radu Albot,6,3,0.5,1965280.28,-1965189.42,-100.0,0.064
Elias Ymer,45,0,0.0,3844197.97,-3844197.97,-100.0,0.1752
Flavio Cobolli,2,0,0.0,7162.32,-7162.32,-100.0,0.0668
Federico Coria,10,0,0.0,84691.12,-84691.12,-100.0,0.1086
Ugo Humbert,43,1,0.0233,28283637.14,-28283467.82,-100.0,0.0801
Arthur Fils,2,0,0.0,58404.59,-58404.59,-100.0,0.0605
Hugo Gaston,7,0,0.0,997387.37,-997387.37,-100.0,0.0923
Lloyd Harris,55,0,0.0,3312986.43,-3312986.43,-100.0,0.2189
Miomir Kecmanovic,6,0,0.0,853570.62,-853570.62,-100.0,0.0644
Oscar Otte,3,0,0.0,405.18,-405.18,-100.0,0.0792
Mikael Ymer,1,0,0.0,133.93,-133.93,-100.0,0.1037
Nuno Borges,31,3,0.0968,50402131.44,-50401823.14,-100.0,0.0774
Giovanni Mpetshi Perricard,81,0,0.0,22017182.96,-22017182.96,-100.0,0.0797
Quentin Halys,6,0,0.0,15263779.02,-15263779.02,-100.0,0.0611
Jaume Munar,4,0,0.0,11101946.63,-11101946.63,-100.0,0.0651
Timofey Skatov,78,0,0.0,94661965.85,-94661965.85,-100.0,0.1262
Gregoire Barrere,8,0,0.0,29227675.08,-29227675.08,-100.0,0.0861
Corentin Moutet,49,0,0.0,72724524.65,-72724524.65,-100.0,0.1716
Marco Cecchinato,59,0,0.0,1756663.74,-1756663.74,-100.0,0.0889
Yibing Wu,4,0,0.0,59447.88,-59447.88,-100.0,0.0766
Ilya Ivashka,1,0,0.0,6588.23,-6588.23,-100.0,0.0708
Juncheng Shang,9,0,0.0,144111.34,-144111.34,-100.0,0.0914
Marta Kostyuk,2,0,0.0,4761789.66,-4761789.66,-100.0,0.1353
Sebastian Baez,2,0,0.0,6065117.0,-6065117.0,-100.0,0.0649
Roberto Bautista Agut,1,0,0.0,1247319.43,-1247319.43,-100.0,0.0539
Alycia Parks,55,0,0.0,522760665.25,-522760665.25,-100.0,0.3241
Danielle Collins,2,0,0.0,3330304.48,-3330304.48,-100.0,0.0637
Viktoria Hruncakova,12,0,0.0,19073213.1,-19073213.1,-100.0,0.1174
Tereza Martincova,2,0,0.0,393563947.69,-393563947.69,-100.0,0.0956
Kateryna Baindl,3,0,0.0,673088677.06,-673088677.06,-100.0,0.0802
Lucia Bronzetti,14,0,0.0,2333290021.84,-2333290021.84,-100.0,0.062
Kaia Kanepi,1,0,0.0,18385765.85,-18385765.85,-100.0,0.0546
Iryna Shymanovich,1,0,0.0,280647669.68,-280647669.68,-100.0,0.1373
