player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Timofey Skatov,28,28,1.0,7.200065346082453e+54,6.404607789860726e+55,889.52,0.9255
Titouan Droguet,94,94,1.0,7.055756120957112e+45,4.0917265675864996e+46,579.91,0.6659
Yu Hsiou Hsu,174,174,1.0,2.0156678380291677e+57,8.743250527560134e+57,433.76,0.459
Zhizhen Zhang,112,56,0.5,4.865471760929564e+54,1.5077719184462328e+55,309.89,0.2066
Denis Kudla,68,68,1.0,2.7566561190556623e+35,5.7141017901443856e+35,207.28,0.1653
Sebastian Baez,166,166,1.0,2.3517489193968506e+50,4.225682480096915e+50,179.68,0.239
Dalibor Svrcina,68,68,1.0,9.947168805166362e+29,1.6610931853988652e+30,166.99,0.339
Mackenzie McDonald,64,64,1.0,4.977189926640247e+28,7.846192378378388e+28,157.64,0.1451
Jeremy Chardy,16,16,1.0,1.0532676068586674e+31,1.5227924316634962e+31,144.58,0.1405
Laslo Djere,102,102,1.0,1.501837282101259e+49,2.1590094953601716e+49,143.76,0.2437
Jiri Vesely,94,94,1.0,8.659552771320102e+51,1.22414913953179e+52,141.36,0.2288
Dominic Stricker,96,96,1.0,9.22576489469587e+51,1.2237239304177397e+52,132.64,0.2222
Michael Mmoh,176,176,1.0,2.0209695241472634e+47,2.51592030125934e+47,124.49,0.2159
Ilya Ivashka,38,38,1.0,3.300878079272645e+25,3.7546701282059305e+25,113.75,0.2974
Constant Lestienne,66,66,1.0,1.7984313803175621e+30,1.8857596205235523e+30,104.86,0.5549
Adrian Mannarino,136,136,1.0,1.073731327510228e+32,1.0921037303070813e+32,101.71,0.5587
Marton Fucsovics,62,62,1.0,2.573994024951662e+37,2.5935754013334474e+37,100.76,0.4156
Jakub Mensik,96,96,1.0,1.1470859330176703e+37,1.146059045953504e+37,99.91,0.2044
Benjamin Bonzi,36,36,1.0,5.919591998257007e+31,5.795444360202833e+31,97.9,0.5449
Matteo Arnaldi,12,12,1.0,4.755881810877079e+48,4.5362152854835694e+48,95.38,0.0627
Daniel Altmaier,14,14,1.0,3.647787877026299e+44,3.1329332196242027e+44,85.89,0.0659
Rinky Hijikata,76,76,1.0,2.1742630038259194e+46,1.8482202821284235e+46,85.0,0.4996
Yibing Wu,14,12,0.8571,2.098189262701442e+53,1.772854724784464e+53,84.49,0.1152
Katie Boulter,1,1,1.0,2.6106942974542136e+52,1.5664165784725286e+52,60.0,0.0518
Tomas Martin Etcheverry,18,18,1.0,2.7509879857030406e+53,1.588031993754256e+53,57.73,0.0591
Danielle Collins,2,2,1.0,4.422528877397969e+53,2.4766156361737352e+53,56.0,0.0684
Nicolas Jarry,44,44,1.0,9.436575453181497e+48,5.1901164992498233e+48,55.0,0.3285
Jelena Ostapenko,6,6,1.0,7.107295670708585e+52,3.624574415548214e+52,51.0,0.0586
Victoria Azarenka,3,3,1.0,7.253250519132386e+49,3.624233948707058e+49,49.97,0.0588
Lloyd Harris,76,72,0.9474,2.7217159233759686e+53,1.3127525191120153e+53,48.23,0.1321
Daria Saville,4,4,1.0,8.777411154220217e+52,4.0376091309413e+52,46.0,0.0533
Lauren Davis,8,8,1.0,8.586250973086872e+52,3.558630363024308e+52,41.45,0.0622
Aliaksandra Sasnovich,35,35,1.0,2.620463116625474e+49,1.0515524942884012e+49,40.13,0.0694
Ekaterina Alexandrova,31,31,1.0,1.6343774147850929e+52,6.14615558273811e+51,37.61,0.0695
Marie Bouzkova,4,4,1.0,1.104772401487583e+53,4.0876578855040583e+52,37.0,0.0512
