player,matches_played,total_profit,roi_percent
Adrian Mannarino,68,69.0,101.47058823529412
Ajla Tomljanovic,4,2.0,50.0
Alejandro Davidovich Fokina,26,3.759999999999998,14.461538461538453
Aleksandar Vukic,18,-18.0,-100.0
Alex de Minaur,42,-42.0,-100.0
Alexander Bublik,34,-34.0,-100.0
Alexander Zverev,65,4.73,7.276923076923078
Alexandre Muller,78,-78.0,-100.0
Alexei Popyrin,69,10.469999999999994,15.173913043478251
Aliaksandra Sasnovich,35,14.069999999999997,40.199999999999996
Anastasia Pavlyuchenkova,31,-22.98,-74.12903225806451
Anastasia Potapova,4,-1.9300000000000002,-48.25000000000001
Andrey Rublev,43,10.120000000000001,23.534883720930235
Andy Murray,6,15.0,250.0
Anett Kontaveit,44,3.75,8.522727272727273
Anhelina Kalinina,36,12.240000000000002,34.00000000000001
Anna Karolina Schmiedlova,23,21.0,91.30434782608695
Arthur Rinderknech,6,-6.0,-100.0
Aslan Karatsev,34,-34.0,-100.0
Attila Balazs,57,-57.0,-100.0
Barbora Krejcikova,66,12.589999999999993,19.075757575757564
Belinda Bencic,3,0.21000000000000002,7.000000000000001
Benjamin Bonzi,25,19.740000000000002,78.96000000000001
Bernarda Pera,35,8.879999999999999,25.371428571428567
Bianca Andreescu,38,-29.85,-78.55263157894737
Borna Coric,3,-3.0,-100.0
Cameron Norrie,76,7.730000000000002,10.17105263157895
Caroline Garcia,50,5.460000000000002,10.920000000000005
Caroline Wozniacki,6,3.06,51.0
Casper Ruud,68,11.619999999999994,17.088235294117638
Claire Liu,67,41.86,62.47761194029851
Clara Burel,72,28.02,38.916666666666664
Coco Gauff,29,9.56,32.96551724137931
Constant Lestienne,33,34.589999999999996,104.8181818181818
Corentin Moutet,141,-74.93,-53.14184397163121
Cristina Bucsa,3,0.82,27.333333333333332
Dalibor Svrcina,36,54.53,151.47222222222223
Daniel Altmaier,85,63.67,74.90588235294118
Daniel Elahi Galan,3,-3.0,-100.0
Daniel Evans,126,27.370000000000005,21.722222222222225
Danielle Collins,51,24.61,48.254901960784316
Daniil Medvedev,21,0.93,4.428571428571429
Daria Kasatkina,68,-63.28,-93.05882352941177
Daria Saville,78,-17.610000000000003,-22.57692307692308
Denis Kudla,35,71.97,205.62857142857143
Denis Shapovalov,69,8.999999999999998,13.043478260869563
Diego Schwartzman,87,-85.67,-98.47126436781609
Dominic Stricker,48,64.86,135.125
Dominic Thiem,87,25.37,29.160919540229884
Dominik Koepfer,60,-60.0,-100.0
Donna Vekic,71,17.64,24.845070422535212
Ekaterina Alexandrova,31,11.649999999999999,37.58064516129031
Elena Rybakina,71,18.97,26.718309859154928
Elisabetta Cocciaretto,1,-1.0,-100.0
Elise Mertens,4,2.04,51.0
Emil Ruusuvuori,27,8.93,33.074074074074076
Emilio Nava,45,-45.0,-100.0
