player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Kimberly Birrell,1,1,1.0,18.52,138.89,750.0,0.1501
Kateryna Baindl,1,1,1.0,19.97,18.17,91.0,0.1063
Camila Giorgi,1,1,1.0,19.52,16.79,86.0,0.1054
Petra Martic,1,1,1.0,19.9,15.13,76.0,0.1447
Katie Volynets,1,1,1.0,20.87,13.77,66.0,0.0867
Karolina Muchova,1,1,1.0,19.71,12.81,65.0,0.1105
Claire Liu,1,1,1.0,18.69,11.96,64.0,0.1084
Danielle Collins,1,1,1.0,18.18,10.18,56.0,0.097
Donna Vekic,1,1,1.0,18.39,6.62,36.0,0.0564
Arianne Hartono,1,0,0.0,14.5,-14.5,-100.0,0.0696
Martina Trevisan,1,0,0.0,19.92,-19.92,-100.0,0.0839
Leolia Jeanjean,1,0,0.0,20.33,-20.33,-100.0,0.1577
Rebecca Marino,1,0,0.0,19.07,-19.07,-100.0,0.0934
Jule Niemeier,1,0,0.0,19.86,-19.86,-100.0,0.2321
Sloane Stephens,1,0,0.0,18.93,-18.93,-100.0,0.0799
Jil Teichmann,1,0,0.0,18.55,-18.55,-100.0,0.0622
Dalma Galfi,1,0,0.0,19.46,-19.46,-100.0,0.166
Julia Grabher,1,0,0.0,21.3,-21.3,-100.0,0.1484
Patricia Maria Tig,1,0,0.0,21.15,-21.15,-100.0,0.1728
Lucia Bronzetti,1,0,0.0,20.72,-20.72,-100.0,0.0826
Sorana Cirstea,1,0,0.0,20.31,-20.31,-100.0,0.1377
Nadia Podoroska,1,0,0.0,20.2,-20.2,-100.0,0.3616
