player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Elina Avanesyan,1,1,1.0,16.67,100.05,600.0,0.4202
Anna Karolina Schmiedlova,1,1,1.0,18.3,109.81,600.0,0.4168
Kayla Day,1,1,1.0,20.09,76.34,380.0,0.1592
Lesia Tsurenko,1,1,1.0,21.22,60.49,285.0,0.0576
Petra Martic,1,1,1.0,21.58,16.19,75.0,0.0591
Magda Linette,1,0,0.0,20.0,-20.0,-100.0,0.0608
Viktoria Hruncakova,1,0,0.0,19.6,-19.6,-100.0,0.5053
Marta Kostyuk,1,0,0.0,19.21,-19.21,-100.0,0.2464
Maria Sakkari,1,0,0.0,18.82,-18.82,-100.0,0.0645
Tamara Zidansek,1,0,0.0,18.08,-18.08,-100.0,0.0797
Nuria Parrizas Diaz,1,0,0.0,18.45,-18.45,-100.0,0.0514
Kristina Mladenovic,1,0,0.0,18.68,-18.68,-100.0,0.0759
Alycia Parks,1,0,0.0,17.02,-17.02,-100.0,0.6202
Tereza Martincova,1,0,0.0,17.36,-17.36,-100.0,0.2993
Danielle Collins,1,0,0.0,17.72,-17.72,-100.0,0.0646
Simona Waltert,1,0,0.0,19.63,-19.63,-100.0,0.0563
Nadia Podoroska,1,0,0.0,20.5,-20.5,-100.0,0.099
Kateryna Baindl,1,0,0.0,20.48,-20.48,-100.0,0.0603
Lucia Bronzetti,1,0,0.0,22.02,-22.02,-100.0,0.1249
