player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Patricia Maria Tig,1,1,1.0,19.34,101.54,525.0,0.1561
Lucia Bronzetti,1,1,1.0,18.08,68.7,380.0,0.1253
Sachia Vickery,1,1,1.0,19.06,53.38,280.0,0.0589
Fiona Ferro,1,0,0.0,19.21,-19.21,-100.0,0.2994
Storm Hunter,1,0,0.0,19.6,-19.6,-100.0,0.52
Kamilla Rakhimova,1,0,0.0,20.0,-20.0,-100.0,0.267
Olivia Gadecki,1,0,0.0,18.82,-18.82,-100.0,0.0976
Fiona Crawley,1,0,0.0,19.45,-19.45,-100.0,0.0728
Linda Fruhvirtova,1,0,0.0,18.45,-18.45,-100.0,0.1908
Magdalena Frech,1,0,0.0,20.13,-20.13,-100.0,0.4269
Arantxa Rus,1,0,0.0,19.37,-19.37,-100.0,0.0864
