player,num_bets,total_staked,total_payout,roi
Jaqueline Cristian,1,21.019754507544132,77.7730916779133,2.7
Jule Niemeier,1,20.784860640474008,75.86474133773012,2.65
Ana Bogdan,1,20.3963490192,66.28813431239999,2.2499999999999996
Dalma Galfi,1,22.15482125095152,65.79981911532602,1.97
Anna Blinkova,1,20.772812409276625,42.58426543901708,1.05
Katerina Siniakova,1,20.583523038054988,41.167046076109976,1.0
Diane Parry,2,42.33663011989347,69.97446845238511,0.6528114839141378
Nadia Podoroska,2,40.61923983989344,67.0,0.6494646444416516
Anett Kontaveit,1,22.115823448392742,34.058368110524825,0.54
Belinda Bencic,1,20.99519349881609,31.07288637824781,0.4799999999999998
Cristina Bucsa,2,43.13849720823901,34.389426959999994,-0.2028135149447912
Claire Liu,1,20.5212,0.0,-1.0
Anna Bondar,1,21.88645825441913,0.0,-1.0
Alycia Parks,1,22.567166784074228,0.0,-1.0
Caroline Dolehide,1,21.19674735640472,0.0,-1.0
Anna Karolina Schmiedlova,1,21.040040652952488,0.0,-1.0
Daria Saville,1,22.354674341635388,0.0,-1.0
Jil Teichmann,1,20.94,0.0,-1.0
Jasmine Paolini,1,21.90758085480268,0.0,-1.0
Greet Minnen,1,21.20904146987144,0.0,-1.0
Kaia Kanepi,1,21.314184725064003,0.0,-1.0
Kateryna Baindl,1,21.869632378999167,0.0,-1.0
Magdalena Frech,1,21.469429237706624,0.0,-1.0
Martina Trevisan,1,21.432239731419187,0.0,-1.0
Mayar Sherif,1,21.0035949367908,0.0,-1.0
