match,stake,odds,won,payout,bankroll
,1.0,4.2,True,4.2,1003.2
,1.0,4.0,True,4.0,1006.2
,1.0,2.24,True,2.24,1007.44
,1.0,2.08,True,2.08,1008.5200000000001
,1.0,1.74,True,1.74,1009.2600000000001
,1.0,1.71,True,1.71,1009.9700000000001
,1.0,1.31,True,1.31,1010.2800000000001
,1.0,1.3,True,1.3,1010.58
,1.0,1.27,True,1.27,1010.85
,1.0,1.58,False,0.0,1009.85
,1.0,1.54,True,1.54,1010.39
,1.0,1.54,True,1.54,1010.93
,1.0,1.59,True,1.59,1011.52
,1.0,1.61,False,0.0,1010.52
,1.0,1.48,False,0.0,1009.52
,1.0,1.48,True,1.48,1010.0
,1.0,1.46,True,1.46,1010.46
,1.0,1.45,True,1.45,1010.9100000000001
,1.0,1.41,True,1.41,1011.32
,1.0,1.4,True,1.4,1011.72
,1.0,1.39,True,1.39,1012.11
,1.0,1.39,True,1.39,1012.5
,1.0,1.81,True,1.81,1013.31
,1.0,1.36,True,1.36,1013.67
,1.0,1.3,True,1.3,1013.9699999999999
,1.0,1.29,True,1.29,1014.2599999999999
,1.0,1.32,True,1.32,1014.5799999999999
,1.0,2.4,True,2.4,1015.9799999999999
,1.0,1.43,True,1.43,1016.4099999999999
,1.0,1.63,True,1.63,1017.0399999999998
,1.0,1.68,True,1.68,1017.7199999999998
,1.0,1.62,False,0.0,1016.7199999999998
,1.0,2.72,True,2.72,1018.4399999999998
,1.0,1.41,True,1.41,1018.8499999999998
,1.0,2.12,True,2.12,1019.9699999999998
,1.0,1.65,True,1.65,1020.6199999999998
,1.0,2.48,True,2.48,1022.0999999999998
,1.0,2.46,True,2.46,1023.5599999999998
,1.0,3.4,True,3.4,1025.9599999999998
,1.0,1.4,True,1.4,1026.36
,1.0,2.0,True,2.0,1027.36
,1.0,3.75,True,3.75,1030.11
,1.0,3.2,True,3.2,1032.31
,1.0,3.0,True,3.0,1034.31
,1.0,2.3,True,2.3,1035.61
,1.0,1.45,True,1.45,1036.06
,1.0,1.84,True,1.84,1036.8999999999999
,1.0,3.25,True,3.25,1039.1499999999999
,1.0,4.4,True,4.4,1042.55
,1.0,3.3,True,3.3,1044.85
,1.0,2.32,True,2.32,1046.1699999999998
,1.0,1.85,True,1.85,1047.0199999999998
,1.0,1.7,True,1.7,1047.7199999999998
,1.0,1.58,True,1.58,1048.2999999999997
,1.0,2.1,True,2.1,1049.3999999999996
,1.0,1.58,True,1.58,1049.9799999999996
,1.0,1.7,True,1.7,1050.6799999999996
,1.0,1.47,True,1.47,1051.1499999999996
,1.0,1.45,True,1.45,1051.5999999999997
,1.0,1.82,True,1.82,1052.4199999999996
,1.0,1.45,True,1.45,1052.8699999999997
,1.0,1.64,True,1.64,1053.5099999999998
,1.0,1.87,True,1.87,1054.3799999999997
,1.0,1.28,True,1.28,1054.6599999999996
,1.0,1.24,True,1.24,1054.8999999999996
,1.0,1.32,True,1.32,1055.2199999999996
,1.0,1.58,True,1.58,1055.7999999999995
,1.0,1.67,True,1.67,1056.4699999999996
,1.0,1.75,True,1.75,1057.2199999999996
,1.0,1.43,False,0.0,1056.2199999999996
,1.0,1.41,True,1.41,1056.6299999999997
,1.0,1.39,True,1.39,1057.0199999999998
,1.0,1.32,True,1.32,1057.3399999999997
,1.0,1.28,True,1.28,1057.6199999999997
,1.0,1.54,False,0.0,1056.6199999999997
,1.0,1.67,False,0.0,1055.6199999999997
,1.0,1.7,True,1.7,1056.3199999999997
,1.0,1.77,False,0.0,1055.3199999999997
,1.0,1.43,True,1.43,1055.7499999999998
,1.0,1.77,False,0.0,1054.7499999999998
,1.0,1.28,True,1.28,1055.0299999999997
,1.0,1.79,True,1.79,1055.8199999999997
,1.0,1.55,True,1.55,1056.3699999999997
,1.0,1.65,True,1.65,1057.0199999999998
,1.0,1.55,True,1.55,1057.5699999999997
,1.0,1.72,True,1.72,1058.2899999999997
,1.0,1.4,True,1.4,1058.6899999999998
,1.0,1.37,True,1.37,1059.0599999999997
,1.0,1.33,False,0.0,1058.0599999999997
,1.0,1.75,True,1.75,1058.8099999999997
,1.0,1.3,False,0.0,1057.8099999999997
,1.0,1.3,True,1.3,1058.1099999999997
,1.0,1.32,True,1.32,1058.4299999999996
,1.0,1.57,True,1.57,1058.9999999999995
,1.0,1.5,False,0.0,1057.9999999999995
,1.0,1.58,False,0.0,1056.9999999999995
,1.0,1.56,True,1.56,1057.5599999999995
,1.0,1.96,True,1.96,1058.5199999999995
,1.0,1.39,False,0.0,1057.5199999999995
,1.0,1.25,True,1.25,1057.7699999999995
,1.0,1.51,True,1.51,1058.2799999999995
,1.0,1.4,True,1.4,1058.6799999999996
,1.0,2.88,True,2.88,1060.5599999999997
,1.0,2.4,True,2.4,1061.9599999999998
,1.0,1.84,False,0.0,1060.9599999999998
,1.0,2.16,False,0.0,1059.9599999999998
,1.0,1.58,False,0.0,1058.9599999999998
,1.0,1.43,True,1.43,1059.3899999999999
,1.0,1.63,True,1.63,1060.02
,1.0,2.14,False,0.0,1059.02
,1.0,1.41,True,1.41,1059.43
,1.0,1.25,False,0.0,1058.43
,1.0,3.4,True,3.4,1060.8300000000002
,1.0,2.2,False,0.0,1059.8300000000002
,1.0,1.68,True,1.68,1060.5100000000002
,1.0,5.2,True,5.2,1064.7100000000003
,1.0,1.59,True,1.59,1065.3000000000002
,1.0,1.87,True,1.87,1066.17
,1.0,1.62,False,0.0,1065.17
,1.0,1.24,True,1.24,1065.41
,1.0,1.49,True,1.49,1065.9
,1.0,2.72,True,2.72,1067.6200000000001
,1.0,1.33,True,1.33,1067.95
,1.0,1.38,True,1.38,1068.3300000000002
,1.0,1.27,True,1.27,1068.6000000000001
,1.0,1.41,True,1.41,1069.0100000000002
,1.0,1.21,True,1.21,1069.2200000000003
,1.0,2.3,True,2.3,1070.5200000000002
,1.0,3.15,True,3.15,1072.6700000000003
,1.0,2.44,True,2.44,1074.1100000000004
,1.0,2.38,True,2.38,1075.4900000000005
,1.0,1.8,True,1.8,1076.2900000000004
,1.0,1.86,True,1.86,1077.1500000000003
,1.0,1.42,True,1.42,1077.5700000000004
,1.0,1.84,True,1.84,1078.4100000000003
,1.0,1.56,True,1.56,1078.9700000000003
,1.0,1.4,True,1.4,1079.3700000000003
,1.0,1.54,True,1.54,1079.9100000000003
,1.0,1.35,True,1.35,1080.2600000000002
,1.0,1.32,True,1.32,1080.5800000000002
,1.0,1.45,True,1.45,1081.0300000000002
,1.0,1.29,True,1.29,1081.3200000000002
,1.0,1.27,True,1.27,1081.5900000000001
,1.0,2.06,True,2.06,1082.65
,1.0,1.23,True,1.23,1082.88
,1.0,1.22,True,1.22,1083.1000000000001
,1.0,3.95,True,3.95,1086.0500000000002
,1.0,3.0,True,3.0,1088.0500000000002
,1.0,2.84,True,2.84,1089.89
,1.0,3.85,True,3.85,1092.74
,1.0,2.38,True,2.38,1094.1200000000001
,1.0,2.24,True,2.24,1095.3600000000001
,1.0,1.81,True,1.81,1096.17
,1.0,1.4,True,1.4,1096.5700000000002
,1.0,1.5,True,1.5,1097.0700000000002
,1.0,1.37,True,1.37,1097.44
,1.0,1.34,True,1.34,1097.78
,1.0,1.33,True,1.33,1098.11
,1.0,1.33,True,1.33,1098.4399999999998
,1.0,1.32,True,1.32,1098.7599999999998
,1.0,1.32,True,1.32,1099.0799999999997
,1.0,1.28,True,1.28,1099.3599999999997
,1.0,1.28,True,1.28,1099.6399999999996
,1.0,1.26,True,1.26,1099.8999999999996
,1.0,1.26,True,1.26,1100.1599999999996
,1.0,1.25,True,1.25,1100.4099999999996
,1.0,1.66,True,1.66,1101.0699999999997
,1.0,1.43,True,1.43,1101.4999999999998
,1.0,1.21,True,1.21,1101.7099999999998
