match,stake,odds,won,payout,bankroll
,1.0,2.24,True,2.24,1001.24
,1.0,2.08,True,2.08,1002.32
,1.0,1.74,True,1.74,1003.0600000000001
,1.0,1.71,True,1.71,1003.7700000000001
,1.0,1.31,True,1.31,1004.08
,1.0,1.3,True,1.3,1004.38
,1.0,1.27,True,1.27,1004.65
,1.0,1.58,False,0.0,1003.65
,1.0,1.54,True,1.54,1004.1899999999999
,1.0,1.54,True,1.54,1004.7299999999999
,1.0,1.59,True,1.59,1005.3199999999999
,1.0,1.61,False,0.0,1004.3199999999999
,1.0,1.48,False,0.0,1003.3199999999999
,1.0,1.48,True,1.48,1003.8
,1.0,1.46,True,1.46,1004.26
,1.0,1.45,True,1.45,1004.71
,1.0,1.41,True,1.41,1005.12
,1.0,1.4,True,1.4,1005.52
,1.0,1.39,True,1.39,1005.91
,1.0,1.39,True,1.39,1006.3
,1.0,1.81,True,1.81,1007.1099999999999
,1.0,1.36,True,1.36,1007.4699999999999
,1.0,1.3,True,1.3,1007.7699999999999
,1.0,1.29,True,1.29,1008.0599999999998
,1.0,1.32,True,1.32,1008.3799999999999
,1.0,2.4,True,2.4,1009.7799999999999
,1.0,1.43,True,1.43,1010.2099999999998
,1.0,1.63,True,1.63,1010.8399999999998
,1.0,1.68,True,1.68,1011.5199999999998
,1.0,1.62,False,0.0,1010.5199999999998
,1.0,2.72,True,2.72,1012.2399999999998
,1.0,1.41,True,1.41,1012.6499999999997
,1.0,2.12,True,2.12,1013.7699999999998
,1.0,1.65,True,1.65,1014.4199999999997
,1.0,2.48,True,2.48,1015.8999999999997
,1.0,2.46,True,2.46,1017.3599999999998
,1.0,3.4,True,3.4,1019.7599999999998
,1.0,1.4,True,1.4,1020.1599999999997
,1.0,2.0,True,2.0,1021.1599999999997
,1.0,3.75,True,3.75,1023.9099999999997
,1.0,3.2,True,3.2,1026.1099999999997
,1.0,3.0,True,3.0,1028.1099999999997
,1.0,2.3,True,2.3,1029.4099999999996
,1.0,1.45,True,1.45,1029.8599999999997
,1.0,1.84,True,1.84,1030.6999999999996
,1.0,3.25,True,3.25,1032.9499999999996
,1.0,4.4,True,4.4,1036.3499999999997
,1.0,3.3,True,3.3,1038.6499999999996
,1.0,2.32,True,2.32,1039.9699999999996
,1.0,1.85,True,1.85,1040.8199999999995
,1.0,1.7,True,1.7,1041.5199999999995
,1.0,1.58,True,1.58,1042.0999999999995
,1.0,2.1,True,2.1,1043.1999999999994
,1.0,1.58,True,1.58,1043.7799999999993
,1.0,1.7,True,1.7,1044.4799999999993
,1.0,1.47,True,1.47,1044.9499999999994
,1.0,1.45,True,1.45,1045.3999999999994
,1.0,1.82,True,1.82,1046.2199999999993
,1.0,1.45,True,1.45,1046.6699999999994
,1.0,1.64,True,1.64,1047.3099999999995
,1.0,1.87,True,1.87,1048.1799999999994
,1.0,1.28,True,1.28,1048.4599999999994
,1.0,1.24,True,1.24,1048.6999999999994
,1.0,1.32,True,1.32,1049.0199999999993
,1.0,1.58,True,1.58,1049.5999999999992
,1.0,1.67,True,1.67,1050.2699999999993
,1.0,1.75,True,1.75,1051.0199999999993
,1.0,1.43,False,0.0,1050.0199999999993
,1.0,1.41,True,1.41,1050.4299999999994
,1.0,1.39,True,1.39,1050.8199999999995
,1.0,1.32,True,1.32,1051.1399999999994
,1.0,1.28,True,1.28,1051.4199999999994
,1.0,1.54,False,0.0,1050.4199999999994
,1.0,1.67,False,0.0,1049.4199999999994
,1.0,1.7,True,1.7,1050.1199999999994
,1.0,1.77,False,0.0,1049.1199999999994
,1.0,1.43,True,1.43,1049.5499999999995
,1.0,1.77,False,0.0,1048.5499999999995
,1.0,1.28,True,1.28,1048.8299999999995
,1.0,1.79,True,1.79,1049.6199999999994
,1.0,1.55,True,1.55,1050.1699999999994
,1.0,1.65,True,1.65,1050.8199999999995
,1.0,1.55,True,1.55,1051.3699999999994
,1.0,1.72,True,1.72,1052.0899999999995
,1.0,1.4,True,1.4,1052.4899999999996
,1.0,1.37,True,1.37,1052.8599999999994
,1.0,1.33,False,0.0,1051.8599999999994
,1.0,1.75,True,1.75,1052.6099999999994
,1.0,1.3,False,0.0,1051.6099999999994
,1.0,1.3,True,1.3,1051.9099999999994
,1.0,1.32,True,1.32,1052.2299999999993
,1.0,1.57,True,1.57,1052.7999999999993
,1.0,1.5,False,0.0,1051.7999999999993
