match_id,player,odds,pred_prob,ev,actual_winner,won,expected_value,predicted_prob,winner
,Stefanos Tsitsipas,1.3,1.0,0.3,Stefanos Tsitsipas,True,0.3,1.0,1
,Alex Michelsen,1.01,1.0,0.01,Alex Michelsen,True,0.01,1.0,1
,Roman Safiullin,1.1,0.9999999988338768,0.0999999987172645,Roman Safiullin,True,0.0999999987172645,0.9999999988338768,1
,Andy Murray,1.32,0.9999999983053762,0.3199999977630967,Andy Murray,True,0.3199999977630967,0.9999999983053762,1
,Fabian Marozsan,1.02,1.0,0.02,Fabian Marozsan,True,0.02,1.0,1
,Alejandro Davidovich Fokina,1.57,1.0,0.5700000000000001,Alejandro Davidovich Fokina,True,0.5700000000000001,1.0,1
,Ilya Ivashka,1.5,0.8515230283247609,0.2772845424871413,Juan Manuel Cerundolo,False,0.2772845424871413,0.8515230283247609,0
,Borna Coric,1.58,0.8310835195134548,0.3131119608312587,Sebastian Baez,False,0.3131119608312587,0.8310835195134548,0
,Ben Shelton,1.01,1.0,0.01,Ben Shelton,True,0.01,1.0,1
,Juan Pablo Varillas,1.08,0.9999999988343004,0.0799999987410445,Juan Pablo Varillas,True,0.0799999987410445,0.9999999988343004,1
,Bernabe Zapata Miralles,1.56,0.8363822385619509,0.3047562921566435,Bernabe Zapata Miralles,True,0.3047562921566435,0.8363822385619509,1
,Grigor Dimitrov,1.28,0.8988520675468165,0.1505306464599251,Grigor Dimitrov,True,0.1505306464599251,0.8988520675468165,1
,Rinky Hijikata,1.96,1.0,0.96,Rinky Hijikata,True,0.96,1.0,1
,Holger Rune,1.15,0.9230170746466124,0.061469635843604,Roberto Carballes Baena,False,0.061469635843604,0.9230170746466124,0
,Daniel  Evans,1.39,0.8767614861460536,0.2186984657430145,Daniel Evans,False,0.2186984657430145,0.8767614861460536,0
,Cameron Norrie,1.25,1.0,0.25,Cameron Norrie,True,0.25,1.0,1
,Alexander Zverev,1.14,0.9999780699091406,0.1399749996964202,Alexander Zverev,True,0.1399749996964202,0.9999780699091406,1
,Hubert Hurkacz,1.09,1.0,0.09,Hubert Hurkacz,True,0.09,1.0,1
,Stan Wawrinka,1.5,0.6911687963787085,0.0367531945680628,Stan Wawrinka,True,0.0367531945680628,0.6911687963787085,1
,Benjamin Bonzi,1.03,1.0,0.03,Benjamin Bonzi,True,0.03,1.0,1
,Yibing Wu,1.01,1.0,0.01,Yibing Wu,True,0.01,1.0,1
,Matteo Berrettini,1.51,0.8491134965425005,0.2821613797791757,Matteo Berrettini,True,0.2821613797791757,0.8491134965425005,1
