market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.217514818,Claire Liu,Liudmila Samsonova,5.4,1.26,Liudmila Samsonova,Liudmila Samsonova,Claire Liu,2023-08-28,claire liu,liudmila samsonova,9633041,21067365,5.4,1.26,5.4,1.26,0.18518518518518517,0.7936507936507936,0.9788359788359788,-0.6084656084656084
1.217514831,Nadia Podoroska,Qinwen Zheng,1000.0,1.24,Qinwen Zheng,Qinwen Zheng,Nadia Podoroska,2023-08-28,nadia podoroska,qinwen zheng,9042349,18848380,1000.0,1.24,10.0,1.24,0.1,0.8064516129032259,0.9064516129032258,-0.7064516129032259
1.217516343,Lauren Davis,Danka Kovinic,1.42,3.35,Lauren Davis,Lauren Davis,Danka Kovinic,2023-08-28,lauren davis,danka kovinic,4176991,7414059,1.42,3.35,1.42,3.35,0.7042253521126761,0.29850746268656714,1.0027328147992431,0.405717889426109
1.217516409,Magdalena Frech,Emma Navarro,1.01,140.0,Magdalena Frech,Magdalena Frech,Emma Navarro,2023-08-28,magdalena frech,emma navarro,8444351,10410355,1.01,140.0,1.01,10.0,0.9900990099009901,0.1,1.0900990099009902,0.8900990099009901
1.217516742,Petra Martic,Tatjana Maria,1.8,2.28,Petra Martic,Petra Martic,Tatjana Maria,2023-08-28,petra martic,tatjana maria,2346703,7299657,1.8,2.28,1.8,2.28,0.5555555555555556,0.4385964912280702,0.9941520467836258,0.11695906432748537
1.217517197,Tamara Korpatsch,Irinia-Camelia Begu,3.15,1.46,Tamara Korpatsch,Tamara Korpatsch,Irina Camelia Begu,2023-08-28,tamara korpatsch,irinia camelia begu,9166525,18309994,3.15,1.46,3.15,1.46,0.31746031746031744,0.684931506849315,1.0023918243096324,-0.3674711893889976
1.217517705,Ekaterina Alexandrova,Leylah Fernandez,1.21,5.1,Ekaterina Alexandrova,Ekaterina Alexandrova,Leylah Fernandez,2023-08-28,ekaterina alexandrova,leylah fernandez,8681458,11987709,1.21,5.1,1.21,5.1,0.8264462809917356,0.19607843137254904,1.0225247123642847,0.6303678496191865
1.217518261,Viktoriya Tomova,Peyton Stearns,27.0,1.56,Peyton Stearns,Peyton Stearns,Viktoriya Tomova,2023-08-28,viktoriya tomova,peyton stearns,4597116,13835088,27.0,1.56,10.0,1.56,0.1,0.641025641025641,0.741025641025641,-0.541025641025641
1.217518719,Jelena Ostapenko,Jasmine Paolini,1.01,2.98,Jelena Ostapenko,Jelena Ostapenko,Jasmine Paolini,2023-08-28,jelena ostapenko,jasmine paolini,8827537,8944356,1.01,2.98,1.01,2.98,0.9900990099009901,0.33557046979865773,1.3256694796996478,0.6545285401023324
1.217518755,Maryna Zanevska,A Sabalenka,42.0,1.02,Aryna Sabalenka,Aryna Sabalenka,Maryna Zanevska,2023-08-28,maryna zanevska,a sabalenka,6390239,55177835,42.0,1.02,10.0,1.02,0.1,0.9803921568627451,1.080392156862745,-0.8803921568627451
1.217518912,Clervie Ngounoue,Daria Saville,990.0,1.43,Daria Saville,Daria Saville,Clervie Ngounoue,2023-08-28,clervie ngounoue,daria saville,40673088,42231870,990.0,1.43,10.0,1.43,0.1,0.6993006993006994,0.7993006993006994,-0.5993006993006994
