market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date
1.217514818,Claire Liu,Liudmila Samsonova,5.4,1.26,Liudmila Samsonova,Liudmila Samsonova,Claire Liu,2023-08-28
1.217514831,Nadia Podoroska,Qinwen Zheng,1000.0,1.24,Qinwen Zheng,Qinwen Zheng,Nadia Podoroska,2023-08-28
1.217516343,Lauren Davis,Danka Kovinic,1.42,3.35,Lauren Davis,Lauren Davis,Danka Kovinic,2023-08-28
1.217516409,Magdalena Frech,Emma Navarro,1.01,140.0,Magdalena Frech,Magdalena Frech,Emma Navarro,2023-08-28
1.217516742,Petra Martic,Tatjana Maria,1.8,2.28,Petra Martic,Petra Martic,Tatjana Maria,2023-08-28
1.217517197,Tamara Korpatsch,Irinia-Camelia Begu,3.15,1.46,Tamara Korpatsch,Tamara Korpatsch,Irina Camelia Begu,2023-08-28
1.217517705,Ekaterina Alexandrova,Leylah Fernandez,1.21,5.1,Ekaterina Alexandrova,Ekaterina Alexandrova,Leylah Fernandez,2023-08-28
1.217518261,Viktoriya Tomova,Peyton Stearns,27.0,1.56,Peyton Stearns,Peyton Stearns,Viktoriya Tomova,2023-08-28
1.217518719,Jelena Ostapenko,Jasmine Paolini,1.01,2.98,Jelena Ostapenko,Jelena Ostapenko,Jasmine Paolini,2023-08-28
1.217518755,Maryna Zanevska,A Sabalenka,42.0,1.02,Aryna Sabalenka,Aryna Sabalenka,Maryna Zanevska,2023-08-28
1.217518912,Clervie Ngounoue,Daria Saville,990.0,1.43,Daria Saville,Daria Saville,Clervie Ngounoue,2023-08-28
1.217519043,Kayla Day,Sorana Cirstea ,4.3,1.3,Sorana Cirstea,Sorana Cirstea,Kayla Day,2023-08-28
1.217519804,Belinda Bencic,Kamilla Rakhimova,1.02,7.2,Belinda Bencic,Belinda Bencic,Kamilla Rakhimova,2023-08-28
1.217520684,Petra Kvitova,Cristina Bucsa,1.23,21.0,Petra Kvitova,Petra Kvitova,Cristina Bucsa,2023-08-28
1.217521568,Ana Bogdan,Sofia Kenin,2.42,1.69,Sofia Kenin,Sofia Kenin,Ana Bogdan,2023-08-28
1.217522015,Daria Kasatkina,Alycia Parks,1.19,6.8,Daria Kasatkina,Daria Kasatkina,Alycia Parks,2023-08-28
1.217522171,Anastasia Potapova,Clara Tauson,8.2,1.14,Clara Tauson,Clara Tauson,Anastasia Potapova,2023-08-28
1.217522624,Maria Sakkari,Rebeka Masarova,12.5,1.15,Rebeka Masarova,Rebeka Masarova,Maria Sakkari,2023-08-28
1.217523231,Victoria Azarenka,Fiona Ferro,1.11,1000.0,Victoria Azarenka,Victoria Azarenka,Fiona Ferro,2023-08-28
1.217523511,Magda Linette,Aliaksandra Sasnovich,2.44,1.68,Magda Linette,Magda Linette,Aliaksandra Sasnovich,2023-08-28
1.217524454,Alize Cornet,Elina Avanesyan,6.2,1.21,Elina Avanesyan,Elina Avanesyan,Alize Cornet,2023-08-28
